feature,arxiv,github,hackernews
apen_1000,2.6,0.0,0.66
apen_600,0.57,0.05,1.06
apen_800,1.54,0.16,1.59
cal_200,10.31,57.87,3.22
cal_200_rep1_diff,11.86,53.62,5.36
cal_200_rep2_diff,11.83,55.53,5.08
cal_300,9.23,57.77,1.94
cal_300_rep1_diff,9.77,49.47,2.72
cal_300_rep2_diff,10.49,50.74,2.58
cal_T,8.11,60.59,1.61
cal_T_rep1_diff,9.94,18.3,2.16
cal_T_rep2_diff,10.2,14.79,3.22
calppl_200,17.2,56.65,6.69
calppl_200_rep1_diff,17.69,50.37,6.49
calppl_200_rep2_diff,17.51,53.62,6.4
calppl_300,14.54,52.13,4.13
calppl_300_rep1_diff,13.8,46.54,4.22
calppl_300_rep2_diff,13.77,48.72,4.22
calppl_T,5.71,53.67,3.38
calppl_T_rep1_diff,6.2,20.64,3.16
calppl_T_rep2_diff,5.54,13.72,3.13
cb_const1,21.69,43.3,4.81
cb_const1_rep1_diff,0.83,0.43,1.61
cb_const1_rep2_diff,2.51,0.37,0.6
cb_const2,19.69,44.2,5.63
cb_const2_rep1_diff,0.0,0.85,1.88
cb_const2_rep2_diff,0.54,0.48,1.24
cb_const3,20.69,44.84,5.76
cb_const3_rep1_diff,1.4,0.37,0.31
cb_const3_rep2_diff,1.11,0.69,2.8
cbm_200,8.03,42.34,1.68
cbm_200_rep1_diff,0.89,18.67,0.11
cbm_200_rep2_diff,1.89,21.97,0.15
cbm_300,6.71,28.03,2.38
cbm_300_rep1_diff,0.0,10.69,0.55
cbm_300_rep2_diff,1.14,12.02,0.31
cbm_T,4.77,14.63,1.32
cbm_T_rep1_diff,0.03,2.02,0.6
cbm_T_rep2_diff,4.37,1.01,0.07
cbpm_200,7.54,31.97,4.77
cbpm_300,3.37,15.48,2.34
cbpm_T,1.66,9.57,0.71
cut_200,18.37,44.73,6.4
cut_200_rep1_diff,17.26,29.57,5.03
cut_200_rep2_diff,18.8,29.47,5.63
cut_300,11.03,32.77,4.46
cut_300_rep1_diff,12.69,15.05,4.35
cut_300_rep2_diff,12.8,15.37,3.8
cut_T,5.71,19.73,2.58
cut_T_rep1_diff,7.69,4.63,2.01
cut_T_rep2_diff,7.0,3.4,2.74
lz_bins3,0.97,15.85,0.6
lz_bins3_rep1_diff,0.4,1.17,0.4
lz_bins3_rep2_diff,0.71,0.43,0.22
lz_bins4,3.0,31.44,1.41
lz_bins4_rep1_diff,0.29,0.32,2.32
lz_bins4_rep2_diff,1.23,0.37,1.7
lz_bins5,2.89,33.83,1.15
lz_bins5_rep1_diff,0.57,0.0,0.62
lz_bins5_rep2_diff,0.14,0.16,1.24
nei_delta,3.13,1.94,1.5
ppl_200,18.37,44.73,6.4
ppl_200_rep1_diff,18.49,40.48,6.16
ppl_200_rep2_diff,18.69,40.69,6.34
ppl_300,11.03,32.77,4.46
ppl_300_rep1_diff,12.03,23.83,4.28
ppl_300_rep2_diff,11.74,24.41,4.3
ppl_T,5.71,19.73,2.58
ppl_T_rep1_diff,5.8,8.03,2.74
ppl_T_rep2_diff,5.89,6.76,2.54
slope_1000,0.4,0.0,1.46
slope_600,0.71,0.0,1.21
slope_800,1.91,0.0,1.19
