idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,elbow_frac,elbow_delta_slope,flat_frac,nei_delta
168,1,test,2.9772335370249268,1.4185805316562214,1.7187189333088597,5.048891873204772,2.405676151600342,2.914660857736275,19.633426298083656,14.881010844362418,16.113237571371158,33.29501876383353,25.2357142235646,27.325365381450254,3.3375537492712244,1.5137841548484534,2.0969377680799672,4.700779928551021,2.132090358941484,2.953433476168968,28.150180010973084,21.95501225218008,24.692437297590633,39.64814086052547,30.92255246785927,34.77808070083188,3.090161472291067,1.4328215168858587,1.9685818978601657,4.658534882850854,2.1600324375163695,2.967711403809295,21.980626951418028,16.73528751782898,18.91092775728662,33.1366235448513,25.229076660043685,28.508936317517513,0.5829145728643217,-0.002085427135678275,-0.002085427135678275,0.49246231155778897,-0.002537688442211028,-0.002537688442211028,0.4170854271356784,-0.0029145728643216184,-0.0029145728643216184,0.3719211822660099,0.12714873454153264,0.15686741882514965,0.3555555555555555,0.40703517587939697,0.14387728114255482,0.2016929388176274,0.4040404040404041,0.3712374581939799,0.12582844316893815,0.17657672404492541,0.36241610738255037,24.0,-7.0,-7.0,31.0,-6.0,-6.0,43.0,-10.0,-10.0,0.0005348160157029279,0.000975013279867474,0.00016064044075236064,-0.018438720800164177,-0.027349403941098416,-0.022133848894102748,0.0665024630541872,0.17665014996513403,0.4014778325123153,-1.07332444190979
289,1,test,2.524478617639312,1.191962985157767,1.292137375662694,4.3714317239268965,2.064024139740104,2.2374878821217967,12.484384428611913,8.693817351454278,9.0551355822106,21.618180389250774,15.054367546084428,15.68003257066615,2.7545015365704564,1.2071085607071756,1.6929653764753323,4.3161087069096125,1.8914535715017946,2.652756771012528,15.713206491585147,11.014003228454543,12.822398167027648,24.621481037995625,17.25816253907444,20.091789253846475,2.582159926822277,1.1577579057127874,1.609510760260462,3.9391113169380656,1.7661714990210382,2.4553250883565214,13.225673818720487,9.070301543951532,10.580731740275924,20.175900366313396,13.836837559395448,16.141014236441332,0.5707070707070707,-0.004292929292929237,-0.004292929292929237,0.4747474747474747,-0.005252525252525286,-0.005252525252525286,0.38383838383838387,-0.006161616161616146,-0.006161616161616146,0.40638297872340423,0.13008117213466885,0.1502734968074707,0.38592750533049036,0.4040404040404041,0.1294812100857441,0.19430886041624307,0.41624365482233505,0.4161073825503355,0.14307555675469064,0.21186631112176413,0.4006734006734006,21.0,-9.0,-9.0,30.0,-9.0,-9.0,38.0,-12.0,-12.0,-0.0001359243591888273,0.00018573873633072202,-2.433365055589023e-05,-0.04206179029337864,-0.04186523606538639,-0.041120899201859906,0.05319148936170213,0.12152753257994914,0.002127659574468085,-1.4963719844818115
199,1,test,2.8082217391545408,1.3028138209199673,1.7221149377036677,4.9177471604333105,2.281482576347885,3.01576108707915,16.580407698050273,12.074416366574244,13.617690553685813,29.03554649515024,21.144671723283125,23.84724757248329,2.991292811555568,1.3507146221624844,1.8861139705291887,4.7106973410323905,2.1271096412007626,2.9702582213058086,19.911407556928076,14.753256518501523,16.89164307863215,31.356547333745002,23.233474832285864,26.601012722255355,2.7620858127967987,1.254286632164574,1.7423170578865232,4.76221691861517,2.162563158904438,3.0039949273905573,15.832832856294928,11.316053623973534,13.06027930586105,27.29798768326712,19.510437282712992,22.517722941139745,0.6532663316582914,-0.0017336683417086274,-0.0017336683417086274,0.5025125628140703,-0.0024874371859296973,-0.0024874371859296973,0.40703517587939697,-0.00296482412060306,-0.00296482412060306,0.40821917808219177,0.12641343252815618,0.18241272646928852,0.3873626373626373,0.4120603015075377,0.12885228145741234,0.19670136995495002,0.38383838383838387,0.41137123745819393,0.1325732407970921,0.19335121521125287,0.3825503355704698,21.0,-10.0,-10.0,32.0,-16.0,-16.0,40.0,-18.0,-18.0,0.0003919384291545637,0.00012114889571804712,0.00033897949386672567,-0.008126494368831061,-0.006414696047101209,-0.007396931808674623,0.0684931506849315,0.13941901158035067,0.09041095890410959,-1.1840736865997314
452,1,test,2.081223823200287,0.9382957003516117,1.1698047211355243,3.7840433149096127,1.7059921824574755,2.126917674791862,8.014270965825268,4.8783336213487765,5.526420422492762,14.571401756045942,8.869697493361413,10.048037131805021,2.1393195647548264,0.9407272652757448,1.3254991419354913,3.6259653639912313,1.594452991992788,2.246608715144901,8.493656279099413,5.178209798621259,6.23714390772659,14.396027591693922,8.776626777324168,10.571430352078966,2.083442036842433,0.8785589674112635,1.253869815720423,3.5513216537086922,1.497543694451017,2.1372780949779937,8.032068062597432,4.695699130856605,5.7397301458480845,13.691025106700168,8.004032609414669,9.783630930422872,0.5025125628140703,-0.0024874371859296973,-0.0024874371859296973,0.3869346733668342,-0.0030653266331658324,-0.0030653266331658324,0.27638190954773867,-0.0036180904522613577,-0.0036180904522613577,0.38596491228070173,0.12063324769997585,0.16406852909399594,0.3894472361809045,0.37688442211055273,0.12625785569451264,0.17988943045779815,0.3939393939393939,0.3812709030100334,0.11582849900335557,0.17326200423361515,0.3926174496644296,15.0,0.0,0.0,24.0,0.0,0.0,28.0,0.0,0.0,6.433063464351091e-05,0.00015501017837644222,7.522670113353932e-06,-0.01966199488643916,-0.01986246399160052,-0.020204253629750646,0.06265664160401002,0.09735174330161694,0.002506265664160401,-1.3503451347351074
454,1,test,1.5128126816999223,0.6354951122867935,0.7339634815276931,4.040099749951557,1.697145770460025,1.960114238903369,4.539480969866877,2.135039668579722,2.360517698324295,12.123084472468012,5.701811820795258,6.303970794348412,1.1987331040646225,0.4596603330056752,0.7008543224367507,2.5504959660949416,0.9780007085227131,1.4911794094398951,3.315913343413172,1.2219203402708811,1.6706856639180763,7.055134773219515,2.599830511214641,3.554650348761865,1.4150931947169403,0.6087793345186967,0.8705244375995272,3.342739830040016,1.4380614201229054,2.0563569392114815,4.116870118641168,1.8772329819453168,2.3930053010148553,9.724890044034254,4.434408618768464,5.652768427594146,0.31155778894472363,-0.003442211055276312,-0.003442211055276312,0.2211055276381909,-0.003894472361809065,-0.003894472361809065,0.14572864321608037,-0.004271356783919655,-0.004271356783919655,0.29801324503311255,0.07530100688537278,0.09566720397739403,0.33849557522123896,0.2613065326633166,0.05829901386632408,0.0993699717284251,0.297979797979798,0.28428093645484953,0.07226090306586785,0.11186714335140124,0.3221476510067114,15.0,-4.0,-4.0,24.0,-13.0,-13.0,27.0,-10.0,-10.0,-0.00014802045185250098,-0.0004210606032856634,-0.00015131880825186483,-0.15334448269540069,-0.14572212898936154,-0.15095541228672893,0.06181015452538632,0.04800444379184609,0.31567328918322296,-1.4309409856796265
217,1,test,3.0539648959874266,1.429703897841823,1.9675978487251617,5.561856598652598,2.6037653768642475,3.5833735655590697,21.199230757316883,16.124563294841614,18.235742477887282,38.60787058451751,29.365926530340687,33.21078928092055,3.205127077612554,1.4718164072593682,2.0450437133842594,5.29773070679761,2.4327543921642447,3.3802375427838998,24.65863337762048,18.999274177081926,21.46843416409374,40.758071698546246,31.40375897038335,35.48501514726238,3.0539581954549218,1.4296971992515077,1.96771164312081,5.56184439569605,2.603753177444799,3.583580807008098,21.199088711658007,16.124421259038705,18.235957496023097,38.6076118920924,29.36566785586519,33.211180870240746,0.6482412060301508,-0.0017587939698492372,-0.0017587939698492372,0.5527638190954773,-0.0022361809045226,-0.0022361809045226,0.4120603015075377,-0.0029396984924623393,-0.0029396984924623393,0.3941605839416058,0.0972571231037187,0.17692757423286798,0.3992673992673993,0.39698492462311563,0.10124557625218833,0.17327874766151297,0.40909090909090906,0.3978102189781022,0.1009067581402151,0.18057720926936438,0.3992673992673993,19.0,-2.0,-2.0,29.0,-2.0,-2.0,36.0,-2.0,-2.0,0.0006452087759711892,0.0005163110292957522,0.0001138580914549528,-0.000211034476049754,0.00020048395678795572,4.730815085896012e-05,0.09124087591240876,0.14416256929344234,0.45255474452554745,-0.4095773696899414
363,1,test,3.1176001634378734,1.47897487758966,2.020228700039911,5.718569442648899,2.7128624897501763,3.7056766440732076,22.5920971938632,17.444009697123064,19.595817361157536,41.44036113845765,31.997297787294308,35.94432784532326,3.2059852291331024,1.46034056219926,2.0383634358077876,4.970519735090081,2.2640938948825733,3.160253388849283,24.679803303551015,18.95020933869703,21.465464125059135,38.26326093573801,29.380169517359736,33.27978934117695,3.188861866966585,1.511306328430239,2.0669559871253416,5.797930667211972,2.7478296880549795,3.7581017947733475,24.260799706493987,18.908343612578918,21.190098689466183,44.11054492089816,34.37880656832531,38.52745216266578,0.6582914572864322,-0.0017085427135676845,-0.0017085427135676845,0.5326633165829145,-0.0023366834170853723,-0.0023366834170853723,0.42713567839195976,-0.002864321608040288,-0.002864321608040288,0.396875,0.09890308112324486,0.1765007796257796,0.39811912225705326,0.40201005025125625,0.09875190488784769,0.1716260769624416,0.40909090909090906,0.39799331103678925,0.09749247631224833,0.17663624763300723,0.40268456375838924,26.0,-14.0,-14.0,35.0,-10.0,-10.0,43.0,-15.0,-15.0,0.0001221837099924086,4.5656513081098114e-05,0.00016408322089305218,0.0004241076157285306,2.2301804499136324e-05,-0.00011390146970313708,0.0875,0.10165671824075381,0.534375,-0.9321973323822021
379,1,test,2.519154604144272,1.1483258507000929,1.5045213155826476,4.355547680062526,1.9854231998085714,2.601275171801774,12.418094019537026,8.479480536787282,9.659742326768034,21.470536388919157,14.660784105660252,16.70142364908492,2.7407392253563563,1.1897097876334652,1.6751698453725161,3.728896905246743,1.618652772290429,2.2791426467653277,15.498437700922986,10.782114855867658,12.595946566903562,21.08630979717413,14.669544021588651,17.137342267896003,2.5788083285185768,1.192533134919704,1.628200583181606,4.20457879649768,1.9443475025864738,2.6546748638830535,13.181420873258059,9.181497542607346,10.594139283335638,21.491447075964228,14.969832949903283,17.273053179351585,0.5879396984924623,-0.002060301507537776,-0.002060301507537776,0.457286432160804,-0.0027135678391959628,-0.0027135678391959628,0.3517587939698492,-0.0032412060301507672,-0.0032412060301507672,0.39837398373983735,0.11961890931493879,0.1725675321269341,0.3913043478260869,0.371859296482412,0.09617007342476791,0.15650036492982433,0.3939393939393939,0.4013377926421404,0.1192008978174326,0.1922165468134419,0.3993288590604027,23.0,-12.0,-12.0,32.0,-17.0,-17.0,39.0,-13.0,-13.0,1.4632288071506473e-05,0.0003609388786406077,-2.5725837765539973e-05,-0.014084101088672973,-0.015861063905669326,-0.013237892537495632,0.08672086720867209,0.06242651137103878,0.45799457994579945,-1.077819585800171
230,1,test,3.1403338339025866,1.4578353641507145,1.908057104607466,5.043566460510215,2.341371948484481,3.064455349824112,23.111581000309826,17.73260258909404,19.6825533768112,37.118599788376386,28.47963446127224,31.61137360518162,3.2935825939938552,1.5350902795743924,2.11082877542829,4.638848723935007,2.1620989853160455,2.972998275251113,26.939203207716925,21.135522538508745,23.675854697592506,37.94253972917877,29.768341603533443,33.346274221961274,2.827382201195797,1.2744291254777305,1.7734243642357628,4.440914452139995,2.0017211394938172,2.7854832946111454,16.901159029350637,12.175754954774309,14.032175382716476,26.54632308274969,19.124222442053885,22.04006604615153,0.6582914572864322,-0.0017085427135676845,-0.0017085427135676845,0.5477386934673367,-0.002261306532663321,-0.002261306532663321,0.4371859296482412,-0.002814070351758735,-0.002814070351758735,0.4,0.10715249662618087,0.1761485826001955,0.41734417344173447,0.40703517587939697,0.10127076485182807,0.1833289989177943,0.4545454545454546,0.4013377926421404,0.1192008978174326,0.20111532323168435,0.38926174496644295,27.0,-16.0,-16.0,37.0,-17.0,-17.0,44.0,-13.0,-13.0,-0.0003523021461426118,-0.00012964781057481478,0.00015600718001692972,-0.012340586997490632,-0.01619749623187161,-0.016500610132178295,0.07027027027027027,0.0899642420025353,0.002702702702702703,-1.1135056018829346
89,1,test,2.5225977081300766,1.1758435137002152,1.3433354964050799,4.7378200652695135,2.2084119774117488,2.5229872558532382,12.460924501139939,8.615999126204938,9.208950451868162,23.403501058863664,16.182149619384905,17.295801899096922,2.9843359536460037,1.368996229659738,1.9001357675625663,4.813445086525812,2.2080584349350607,3.064735108971881,19.773367443240335,14.743771135470595,16.816293679325184,31.892528134258605,23.780276024952574,27.12305432149223,2.6608810866081782,1.2428818588584751,1.7067348517136467,4.751573368943175,2.2194318908187056,3.047740806631512,14.308890918381133,10.180039638790625,11.712438042890597,25.551590925680593,18.178642212126114,20.915067933733205,0.6984924623115578,-0.0015075376884421399,-0.0015075376884421399,0.5226130653266332,-0.002386934673366814,-0.002386934673366814,0.40201005025125625,-0.002989949748743781,-0.002989949748743781,0.38789237668161436,0.11913537780143524,0.13862551451152638,0.3820224719101124,0.40703517587939697,0.10628329618014887,0.1649650590179612,0.4444444444444444,0.38795986622073575,0.127525809459467,0.17772627333975688,0.3825503355704698,23.0,-10.0,-10.0,31.0,-6.0,-6.0,37.0,-7.0,-7.0,-9.852937918683147e-05,0.0009899762106212234,0.00016896589376993638,-0.04593679876273615,-0.06328352064995979,-0.05490787943428721,0.06950672645739911,0.11781564320150766,0.33408071748878926,-1.276268720626831
