idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,elbow_frac,elbow_delta_slope,flat_frac,nei_delta
248,1,test,0.4512007879599224,0.16017089975543713,0.16017089975543713,1.088677130582198,0.38646740032733906,0.38646740032733906,1.570196527000786,0.2323919590717909,0.2323919590717909,3.7886393266165754,0.5607255526227615,0.5607255526227615,0.06686600158543547,-0.10465899262007743,-0.09296383185039465,0.10698560253669676,-0.16745438819212388,-0.14874213096063144,1.0691522038753027,-0.11796160945280465,-0.10415899179308852,1.7106435262004844,-0.18873857512448744,-0.16665438686894163,0.24741629029259923,-0.013683240810617142,0.04590524559008011,0.4581783153566652,-0.0253393348344762,0.0850097140557039,1.2807121498570908,-0.01764473603898664,0.057462402439323323,2.3716891664020197,-0.03267543710923482,0.10641185636911699,0.03015075376884424,-0.0048492462311557905,-0.0048492462311557905,0.005025125628140725,-0.004974874371859284,-0.004974874371859284,0.0,-0.0050000000000000044,-0.0050000000000000044,0.15428571428571425,0.038938695712889215,0.038938695712889215,0.1927480916030534,0.07537688442211055,0.007707711489779667,0.00859892114999039,0.06565656565656564,0.12040133779264217,0.025242740129870933,0.03920000297617943,0.15100671140939592,14.0,-5.0,-5.0,14.0,-5.0,-5.0,16.0,-7.0,-7.0,-0.0010828224175461613,-0.00044109713787832686,-0.0007154772122981936,-0.13829548196902253,-0.13501955310435587,-0.13827583120950182,0.047619047619047616,0.043760123308552626,0.6876190476190476,-2.7508814334869385
193,1,test,0.7155067891064646,0.2713183063917963,0.4058603191675511,1.4583577867138133,0.5530054652571647,0.827231223780996,2.0452229163546027,0.48599857158996373,0.6822797287935265,4.168607218047598,0.9905703369986525,1.3906338421269333,0.5048672958407964,0.11624686639949983,0.22233677092435677,0.8557072810860956,0.19702858711779636,0.3768419846175539,1.6567656461799838,0.18182104665651444,0.3302833809409118,2.8080773664067524,0.3081712655195159,0.559802340577817,0.7468046537664891,0.26575492849052323,0.4107725644342845,1.4643228505225276,0.5210880950794574,0.8054364008515383,2.1102462646176985,0.49247453757044135,0.7108623352314589,4.137737773760193,0.9656363481773362,1.3938477161401157,0.11055276381909551,-0.004447236180904479,-0.004447236180904479,0.085427135678392,-0.009572864321607977,-0.004572864321607972,0.0653266331658291,-0.004673366834170856,-0.004673366834170856,0.20376175548589337,0.05196206847493878,0.08384517571529904,0.23899371069182385,0.14070351758793975,0.02040276570824051,0.043875470843365516,0.16161616161616166,0.2006688963210702,0.04874902987699681,0.07831072057023591,0.24832214765100669,12.0,-1.0,-1.0,16.0,-4.0,-4.0,17.0,-3.0,-3.0,-0.001284573592797411,0.00017789058230349678,-0.0003416512115070924,-0.12975563949326396,-0.127922334606819,-0.14683541627606056,0.07836990595611286,0.06968454280002975,0.4012539184952978,-2.4785115718841553
217,1,test,0.7159598683530494,0.27641538685661726,0.3157190451130018,3.467930612335083,1.33888703008674,1.5292641247661027,2.046149774366852,0.4941496816575006,0.553965767405032,9.91103796958944,2.3935375205285183,2.6832716858681236,1.0407425173314313,0.3442112125046354,0.5753605035778238,3.9273302540808728,1.2989102358665487,2.17117171161443,2.831318537131086,0.8245388233707285,1.2386960607481943,10.684220894834286,3.11146725800275,4.674324757540356,0.9006354841196943,0.31115357992372217,0.5060366298091136,3.752647850498726,1.2964732496821756,2.1084859575379733,2.461166646623202,0.6581126279794576,0.9773777906059196,10.254861027596675,2.742135949914406,4.072407460857998,0.26633165829145733,-0.0036683417085426884,-0.0036683417085426884,0.16582914572864327,-0.004170854271356772,-0.004170854271356772,0.11557788944723613,-0.009422110552763874,-0.009422110552763874,0.23706896551724133,0.07560502579711215,0.08457629689554047,0.16414686825053992,0.26633165829145733,0.07334920215110641,0.11608124092918692,0.15656565656565657,0.2642140468227425,0.08725244415162403,0.13406944170594604,0.1778523489932886,15.0,0.0,0.0,23.0,-2.0,-2.0,27.0,0.0,0.0,0.0004554661690213669,0.0007428466137384393,5.151453696189774e-05,-0.30293517154714866,-0.3181289602795294,-0.3084878630494501,0.05387931034482758,0.123872123266819,0.10129310344827586,-0.8500902056694031
229,1,test,1.1296023394402515,0.4641958658891032,0.6429896938488723,2.3767355581286216,0.9766895675354541,1.3528800494854885,3.0944257243597915,1.1491446583987228,1.467629383776477,6.510814818884186,2.417853500908296,3.0879600907204487,0.48488007159120694,0.15590796116751982,0.2536074419760908,0.8506667922652754,0.2735227388903857,0.4449253368001594,1.6239802357994613,0.2344411344090751,0.36377747458570275,2.849088132981511,0.411300235805395,0.6382060957643909,0.9961333398096514,0.3755691942659538,0.5618712979202718,1.8794968675653798,0.7086211212565166,1.0601345243778713,2.7077914507598964,0.8478144070756575,1.1639680892523123,5.10904047313188,1.5996498246710518,2.1961662061364384,0.09045226130653261,-0.0045477386934673625,-0.0045477386934673625,0.06030150753768848,-0.0046984924623114654,-0.0046984924623114654,0.045226130653266305,-0.004773869346733739,-0.004773869346733739,0.209366391184573,0.058059651157062686,0.07837909890695816,0.23480662983425415,0.10552763819095479,0.02532713693782196,0.035410776755228524,0.10606060606060608,0.2006688963210702,0.060435173449617796,0.07942306762251627,0.22483221476510062,13.0,-1.0,-1.0,15.0,-2.0,-2.0,15.0,-1.0,-1.0,-0.0002718572091839876,-0.0008311824630324922,-0.0004510266642845225,-0.16961186978871678,-0.17878869185066915,-0.16496355678972963,0.06887052341597796,0.19045533389988106,0.4986225895316804,-2.1487584114074707
10,1,test,1.736313495074058,0.8019164722674426,0.8545268706241852,4.738075808591921,2.1882805429670893,2.3318445113643023,5.67637880490584,3.13070079582175,3.261167876006001,15.489779450675258,8.543098781818673,8.899119119270612,2.3119317868314297,1.0451073599052743,1.449206540811562,4.128449619341838,1.866263142687989,2.5878688228777884,10.093905105877502,6.544342355739632,7.724295434362684,18.024830546209824,11.686325635249341,13.79338470421908,2.1987585108838,0.9862614662496312,1.3810597919104357,4.549155539759586,2.0405409646544097,2.857365086711247,9.013815995628788,5.6519470786375665,6.748535208739069,18.649274473714733,11.693683610974276,13.96248663877049,0.4623115577889447,-0.002688442211055242,-0.002688442211055242,0.3869346733668342,-0.0030653266331658324,-0.0030653266331658324,0.31155778894472363,-0.003442211055276312,-0.003442211055276312,0.30082987551867224,0.10808376152903498,0.11314659106119418,0.2785862785862786,0.371859296482412,0.13376405838717387,0.19155879564768752,0.3787878787878788,0.35451505016722407,0.12246162779660641,0.1743148276978136,0.3489932885906041,18.0,-5.0,-5.0,28.0,-6.0,-6.0,36.0,-6.0,-6.0,0.0017026340504289867,4.4441824302124866e-05,0.0005963937196638248,-0.1545998881559063,-0.14123558756776866,-0.1656356462106574,0.056016597510373446,0.16130258743582532,0.5414937759336099,-1.1800364255905151
263,1,test,0.8708387247968318,0.37665459117595607,0.5363941902887879,1.7416774495936636,0.7533091823519121,1.0727883805775758,2.388913654627021,0.7497532970877494,0.9917495614266822,4.777827309254042,1.4995065941754988,1.9834991228533645,0.09506481736757216,-0.01645327273122553,0.011904210491313974,0.1682563139249065,-0.029120836692434565,0.02106939909967076,1.099730134428363,-0.018243833653775354,0.013013805780141219,1.9464250166873682,-0.032289971068629075,0.02303328456662146,0.7549123842716351,0.3082139056347025,0.4506079472925432,1.4333779448195605,0.5852162765215871,0.8555847100491328,2.127425119288085,0.5642822120455422,0.7717434063703086,4.03941478345839,1.0714219216054603,1.465335581715776,0.02010050251256279,-0.004899497487437232,-0.004899497487437232,0.015075376884422065,-0.004924623115577953,-0.004924623115577953,0.005025125628140725,-0.004974874371859284,-0.004974874371859284,0.17522658610271902,0.05456293602730422,0.08276427454493007,0.2151515151515152,0.0653266331658291,0.00768252289013982,0.010234813466329928,0.06060606060606055,0.15719063545150502,0.040329199725294695,0.06709052421679984,0.19798657718120805,10.0,0.0,0.0,10.0,0.0,0.0,11.0,-1.0,-1.0,-0.0017324765770147822,-0.00031648254994754,-0.0009188686247030658,-0.04974204313991715,-0.05282179346695459,-0.054916693776470904,0.0755287009063444,0.03075424302275183,0.5619335347432024,-2.1457958221435547
242,1,test,2.5051198510937893,1.171643280968611,1.5895218234269306,5.218999689778728,2.4409235020179394,3.311503798806106,12.245026457673449,8.45081513125293,9.746757618531262,25.510471786819686,17.60586485677694,20.305745038606798,2.730869823705739,1.2432434875980878,1.7292130266318153,4.833397918063255,2.2004309515010405,3.0605540294368416,15.346229730576297,10.919653894957452,12.62344052786658,27.161468549692565,19.326821053022044,22.342372615693066,2.659125801248489,1.204925330015351,1.6857556226628287,5.3539445662721254,2.4260241543933243,3.3941388375761656,14.283796761784531,10.002737494909208,11.636946960636177,28.759322339163486,20.13973992263599,23.430094551616463,0.6331658291457287,-0.0018341708542712887,-0.0018341708542712887,0.507537688442211,-0.0024623115577889765,-0.0024623115577889765,0.3517587939698492,-0.0032412060301507672,-0.0032412060301507672,0.36676217765042984,0.09208406606244701,0.1546409655292177,0.29885057471264365,0.38190954773869346,0.0836639337036057,0.1548644726134848,0.30808080808080807,0.3812709030100334,0.09245621185811359,0.16325088076309235,0.31879194630872487,20.0,0.0,0.0,28.0,0.0,0.0,38.0,0.0,0.0,0.000523470414217998,0.00023423686106396633,0.00017773148951229125,-0.009136410619452917,-0.01158396914486648,-0.011828290544777076,0.07736389684813753,0.06674349982584533,0.12034383954154727,-1.1332097053527832
93,1,test,0.6713664289947429,0.25038204773751505,0.3660840630870419,1.3621365120066748,0.5080005708431664,0.7427485904251544,1.9569094724105258,0.4334489887250115,0.5999013506666284,3.97037702205835,0.8794254048698207,1.2171408906588819,0.6238455916439081,0.1935602308439447,0.32751911282051466,0.8912079880627258,0.2765146154913496,0.4678844468864495,1.8660904830759077,0.32839422389495865,0.5211813135486902,2.665843547251297,0.4691346055642267,0.7445447336409861,0.7578022026656265,0.2863732238076904,0.43301340716303877,1.3452110106490411,0.5083548351615808,0.7686628529521399,2.1335818832098377,0.5312996977606224,0.7498435198592843,3.7874234613192383,0.943135558154951,1.3310831713478422,0.1306532663316583,-0.004346733668341707,-0.004346733668341707,0.09547738693467334,-0.004522613065326642,-0.004522613065326642,0.09045226130653261,-0.0045477386934673625,-0.0045477386934673625,0.1685714285714286,0.048742612594253165,0.06397709817064656,0.16905444126074498,0.14572864321608037,0.030440422664701927,0.04890059647150613,0.14646464646464652,0.17725752508361203,0.048709945784780606,0.06491047280330053,0.1912751677852349,16.0,-7.0,-7.0,20.0,-8.0,-8.0,20.0,-5.0,-5.0,-0.0007577273124142652,0.00017836026468151243,-0.0004064918816112489,-0.0993038773406445,-0.10430848655303082,-0.1032014015226208,0.07142857142857142,0.06039028537318914,0.14857142857142858,-1.7350003719329834
111,1,test,1.1249284376002353,0.5152049302140447,0.5746249086911845,2.357726725381315,1.0798130729143676,1.2043508360239894,3.0799964290955066,1.2400738256595363,1.3462172389802847,6.455334981528938,2.5990588400809456,2.8215238022463494,0.5175944246586903,0.15631913608110853,0.26193897635308244,0.8485154502601481,0.2562608788214894,0.42940815795587284,1.677986268333934,0.24282777909216313,0.38667853931840823,2.7507971612031703,0.39807832638059537,0.6338992447842755,1.0595635752098418,0.4283664352265555,0.6275406562842774,1.795870466457359,0.7260448054687381,1.0636282309903007,2.8851115802532954,1.005251892311119,1.344741161861765,4.890019627547958,1.7038167666290152,2.2792223082402794,0.09547738693467334,-0.004522613065326642,-0.004522613065326642,0.07035175879396982,-0.004648241206030135,-0.004648241206030135,0.055276381909547756,-0.004723618090452297,-0.004723618090452297,0.22052401746724892,0.060218673955798496,0.07096390016519616,0.2713347921225383,0.12562814070351758,0.005327388823818335,0.023791746713534234,0.1515151515151515,0.20735785953177255,0.053768544005896035,0.08611203083321861,0.2785234899328859,10.0,0.0,0.0,11.0,0.0,0.0,14.0,0.0,0.0,0.0003997396705522141,-0.0010506342711836406,-0.00013891439105519028,-0.1629884304113478,-0.15057059279413298,-0.16830759108825832,0.05458515283842795,0.08068331680192918,0.2052401746724891,-1.9790077209472656
37,1,test,1.2650487286356387,0.5004054900864947,0.5004054900864947,3.3008945896027595,1.3057092090163884,1.3057092090163884,3.5432653903905234,1.3950375573419085,1.3950375573419085,9.245450623298064,3.6400747426456315,3.6400747426456315,0.7176990250338723,0.1811789151675105,0.3359481450835763,1.1214047266154255,0.2830920549492352,0.524918976693088,2.04971144567139,0.339665720768499,0.584864328783564,3.2026741338615468,0.5307276887007797,0.9138505137243187,1.1467985894969965,0.45484484692543925,0.6675526256653705,2.136891781671422,0.8475369818486445,1.2438868801218084,3.1480984046869165,1.1504838569358937,1.5332421217333623,5.866021872087423,2.1437587396321005,2.856972897639806,0.18090452261306533,-0.0040954773869347205,-0.0040954773869347205,0.11557788944723613,-0.004422110552763869,-0.004422110552763869,0.10050251256281406,0.0005025125628140836,-0.004497487437185921,0.25357142857142856,0.06197807568775304,0.06197807568775304,0.29695885509838993,0.1959798994974874,0.03557889699122174,0.06910176928045897,0.2272727272727273,0.22073578595317722,0.04878253052746773,0.07946771031357769,0.28859060402684567,15.0,-6.0,-6.0,18.0,-6.0,-6.0,22.0,-8.0,-8.0,-0.0012093452959627052,-0.000490098423115494,-0.0006179561442739004,-0.18309789964152312,-0.16149659631825575,-0.17165322925001636,0.044642857142857144,0.03045527676247823,0.1357142857142857,-2.313958168029785
