idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,elbow_frac,elbow_delta_slope,flat_frac
313,1,test,2.760533888625081,1.2663026685190581,1.7319500515796058,4.484247537390977,2.0569987009746202,2.8134024312044303,15.808280556859751,11.352370934847686,13.011178680361096,25.679178744945883,18.44094057961173,21.13552968734713,2.7263698904765867,1.2309365128926328,1.707504401147887,4.099804346581333,1.8510323502144854,2.56767579119983,15.27732786463593,10.816058316458626,12.507277535690132,22.97342536035478,16.264749348058082,18.807936143894935,2.8589504517765874,1.3309459911200403,1.8205330577710417,4.5141322922788225,2.1014936701895377,2.8745258806911185,17.44320983602724,12.834239578185404,14.618466816263066,27.54191026741143,20.264588807661163,23.08178970988905,0.5979899497487438,-0.0020100502512562235,-0.0020100502512562235,0.4773869346733668,-0.0026130653266331905,-0.0026130653266331905,0.35678391959798994,-0.0032160804020100464,-0.0032160804020100464,0.3971014492753623,0.1047714926907024,0.16640741212971222,0.3924418604651163,0.3919597989949749,0.11125804460901001,0.16825362203337224,0.3787878787878788,0.40802675585284276,0.10752592112830184,0.1777709160308183,0.40604026845637586,23.0,-4.0,-4.0,33.0,-7.0,-7.0,42.0,-6.0,-6.0,-0.0005128403427495737,0.00011550912991240146,-0.0003761256651617637,-0.0210450089665839,-0.027424829961853803,-0.021702692247957955,0.07246376811594203,0.23144302902512284,0.002898550724637681
552,1,test,2.530222796384306,1.1193547962124941,1.560412265569473,4.38944728212526,1.941864121606205,2.7070135435846105,12.556303324035888,8.456791086527545,9.918858626522736,21.782758252747342,14.67089724403121,17.20730170568033,2.6247384998858334,1.1407788908687357,1.5914136286397669,4.007234350970738,1.7416471616316578,2.429639127694301,13.800964760294612,9.390590249140883,10.990570242602345,21.07017520655666,14.33677900632196,16.77949655359137,2.586901022821837,1.142200551612126,1.592197502327601,4.311501704703062,1.9036675860202101,2.6536625038793353,13.288526886433674,9.047945110188984,10.584604321629133,22.147544810722792,15.079908516981641,17.641007202715222,0.5979899497487438,-0.0020100502512562235,-0.0020100502512562235,0.4723618090452262,-0.0026381909547738003,-0.0026381909547738003,0.38190954773869346,-0.0030904522613065533,-0.0030904522613065533,0.3769968051118211,0.07444903441118411,0.15006149228043186,0.3621794871794872,0.40201005025125625,0.11378949887281009,0.17663442420785058,0.38888888888888884,0.3812709030100334,0.0774311701218865,0.15323975729256956,0.37248322147651003,18.0,-1.0,-1.0,30.0,-5.0,-5.0,39.0,-4.0,-4.0,-0.0001465225755901626,-0.00023606352920387477,0.0002207037633371452,-0.015201905858210019,-0.016988612715353568,-0.018750873021419423,0.07987220447284345,0.2781144968523968,0.003194888178913738
447,1,test,2.4102681846250236,1.0803344172559466,1.4924123606006094,4.1716180118510024,1.8698095683275997,2.5830213933472086,11.136947502689722,7.35615453527905,8.63303170882427,19.275486062347596,12.731805926444508,14.94178564988816,2.440363187765418,1.0767594849352946,1.506136904037196,3.754404904254489,1.6565530537466073,2.317133698518763,11.477208367594116,7.566949013256437,8.931964968123705,17.657243642452485,11.641460020394517,13.741484566344159,2.4654093474852736,1.1495933755105792,1.5527291157981322,4.202402296849899,1.959534162802124,2.6466973564740894,11.768298489527918,8.04050697153397,9.277308464948863,20.059599698058953,13.70540961056927,15.813593974344656,0.5829145728643217,-0.002085427135678275,-0.002085427135678275,0.44221105527638194,-0.0027889447236180143,-0.0027889447236180143,0.29648241206030146,-0.0035175879396985854,-0.0035175879396985854,0.3853503184713376,0.11074714386816298,0.16759133327049192,0.37060702875399365,0.371859296482412,0.10185929648241199,0.15555314007642196,0.35858585858585856,0.3846153846153846,0.11082573519969174,0.17104475057756474,0.3791946308724832,15.0,-2.0,-2.0,25.0,-3.0,-3.0,34.0,-8.0,-8.0,-2.8144953274345925e-05,-5.8046069761516957e-05,0.0001876662231078606,-0.006549696680553829,-0.008682035322634896,-0.009085423975105478,0.07961783439490445,0.20997284056454488,0.0031847133757961785
239,1,test,2.7327611941402887,1.2596780992516594,1.717999248630422,4.384108867604741,2.020873956018705,2.756148527214581,15.375282601980665,11.012617664254389,12.616576005270762,24.666228773231015,17.667301065648754,20.240496265140262,2.8123333151445755,1.2876994565462263,1.761759676931517,4.135784286977317,1.893675671391509,2.590823054311054,16.648719642887926,12.055258237914694,13.789428796683456,24.483411239541066,17.728320938109846,20.27857175982861,2.7327611941402887,1.2596780992516594,1.717999248630422,4.384108867604741,2.020873956018705,2.756148527214581,15.375282601980665,11.012617664254389,12.616576005270762,24.666228773231015,17.667301065648754,20.240496265140262,0.6582914572864322,-0.0017085427135676845,-0.0017085427135676845,0.48743718592964824,-0.002562814070351749,-0.002562814070351749,0.37688442211055273,-0.003115577889447274,-0.003115577889447274,0.4046822742474916,0.12421482850458676,0.1799881696868687,0.35906040268456374,0.39698492462311563,0.11628317023715073,0.16827040041610397,0.3434343434343434,0.4046822742474916,0.12421482850458676,0.1799881696868687,0.35906040268456374,19.0,-4.0,-4.0,28.0,-6.0,-6.0,38.0,-10.0,-10.0,0.0004951895299245268,0.0002880497201976301,6.194530836111071e-05,-0.012541394257684857,-0.012496829245299601,-0.012835231179900042,0.08361204013377926,0.28337178636865235,0.043478260869565216
338,1,test,2.295697100557632,1.0305014486936843,1.4404130556203363,4.402941454054563,1.9764094948826632,2.7625832484658686,9.93135675410993,6.387570737484387,7.579314382681319,19.04745287915113,12.250788653234977,14.536446241411184,2.3120710472923665,1.0331594792670589,1.4389162304832164,4.242332196866727,1.8957054665450617,2.6402132669416805,10.095310885637694,6.502583728078845,7.700857874823987,18.523506212179253,11.931346290052925,14.130014449218322,2.295697100557632,1.0305014486936843,1.4404130556203363,4.402941454054563,1.9764094948826632,2.7625832484658686,9.93135675410993,6.387570737484387,7.579314382681319,19.04745287915113,12.250788653234977,14.536446241411184,0.6030150753768844,-0.0019849246231156137,-0.0019849246231156137,0.4371859296482412,-0.002814070351758735,-0.002814070351758735,0.3065326633165829,-0.0034673366834171437,-0.0034673366834171437,0.3984375,0.10660870622568097,0.1756395725388601,0.3294117647058824,0.38190954773869346,0.09190954773869342,0.15894781728944218,0.30808080808080807,0.3984375,0.10660870622568097,0.1756395725388601,0.3294117647058824,25.0,-13.0,-13.0,35.0,-14.0,-14.0,42.0,-14.0,-14.0,0.00010285183939476123,0.00030338537890037194,0.0002816040831749882,-8.629588256159337e-05,-0.00014530477676810705,0.00011039017629776993,0.125,0.08582675845473536,0.34375
312,1,test,2.766972713600633,1.254208714847323,1.735810212371758,4.606792266623043,2.0881590121541818,2.8899876834252307,15.91039570652325,11.371135726586814,13.106071735922603,26.48955934384499,18.932047963636684,21.820580167661713,2.771970466369279,1.2182495869639511,1.7103597975099372,4.331203853701998,1.9035149796311739,2.672437183609277,15.990110963364437,11.261077312893281,13.099087240226645,24.984548380256932,17.59543330139575,20.467323812854133,2.7605050132830993,1.2494108645210302,1.7284074043204027,4.5754226739498876,2.0708467367751875,2.8647636535697276,15.807824093942818,11.276137672131291,13.000876551839296,26.200813415374835,18.68973094828391,21.548414174319273,0.6130653266331658,-0.001934673366834172,-0.001934673366834172,0.4623115577889447,-0.002688442211055242,-0.002688442211055242,0.36180904522613067,-0.0031909547738693256,-0.0031909547738693256,0.3817034700315457,0.0876783127988413,0.14714849620955617,0.38291139240506333,0.38190954773869346,0.09440954773869348,0.15229224324618096,0.38383838383838387,0.3846153846153846,0.09294871794871795,0.1526509007086143,0.38590604026845643,20.0,-2.0,-2.0,33.0,-8.0,-8.0,40.0,-8.0,-8.0,8.104440189158667e-05,5.0074089784985757e-05,0.00016984389307997015,-0.012635898189007122,-0.014718920267113411,-0.01551208788914682,0.08517350157728706,0.183473290409063,0.0031545741324921135
259,1,test,3.199203178346664,1.5237795309953648,2.0578339454507697,4.989430863639098,2.3764644498943253,3.2093679667392827,24.51298993192426,19.17193253726371,21.381937360265766,38.2301034689596,29.900267843090035,33.346959302797906,3.218482726295927,1.4937535379582532,2.0352381878528547,4.698514928899163,2.180662099209129,2.9711506392012477,24.99017446702117,19.379173167688265,21.725224173934368,36.482006521198784,28.29076374845002,31.71565572837134,3.1940068052968353,1.513536640007296,2.050883074338098,4.990635633276305,2.3649010000114004,3.204504803653278,24.385941672629333,19.017862410195143,21.24939085337725,38.10303386348333,29.715410015929912,33.20217320840196,0.6683417085427136,-0.0016582914572863539,-0.0016582914572863539,0.5326633165829145,-0.0023366834170853723,-0.0023366834170853723,0.4522613065326633,-0.0027386934673366836,-0.0027386934673366836,0.43999999999999995,0.13550748752079866,0.20053215077605313,0.45150501672240806,0.4371859296482412,0.1364340499489931,0.20179360911401756,0.45959595959595956,0.4381270903010034,0.13261790833105347,0.19897247406073637,0.44966442953020136,17.0,0.0,0.0,30.0,0.0,0.0,39.0,0.0,0.0,-0.0005444841789982072,-0.00042678786868783524,4.412944751109804e-05,-0.012007741822021245,-0.013948358650030634,-0.015011519828574293,0.08333333333333333,0.2074940689113214,0.08333333333333333
597,1,test,2.7316989682283057,1.2601421202633114,1.7337567477960634,4.345884722181395,2.0047715549643588,2.7582493714937373,15.358959249475616,11.002947737012917,12.646265294544794,24.434707896893027,17.504689581611462,20.119058423139446,2.7314206067282094,1.2074615358845606,1.688264793690793,3.958580589461173,1.7499442549051603,2.446760570566367,15.354684501529242,10.764321662509019,12.516524904099693,22.25316594424528,15.600466177549302,18.139891165361874,2.7316989682283057,1.2601421202633114,1.7337567477960634,4.345884722181395,2.0047715549643588,2.7582493714937373,15.358959249475616,11.002947737012917,12.646265294544794,24.434707896893027,17.504689581611462,20.119058423139446,0.6633165829145728,-0.0016834170854271857,-0.0016834170854271857,0.49246231155778897,-0.002537688442211028,-0.002537688442211028,0.3517587939698492,-0.0032412060301507672,-0.0032412060301507672,0.3978494623655914,0.0883682459076307,0.15708664949312412,0.3920863309352518,0.3869346733668342,0.07866399667510482,0.14486455650539842,0.38383838383838387,0.3978494623655914,0.0883682459076307,0.15708664949312412,0.3920863309352518,17.0,0.0,0.0,28.0,-3.0,-3.0,37.0,-2.0,-2.0,0.00035066873549773346,-1.3296478556148228e-05,8.904879612980754e-05,-0.005920318713434014,-0.0050633768368948395,-0.004784269751719528,0.08960573476702509,0.124956035354771,0.0035842293906810036
473,1,test,2.246475005544748,1.0636514117568407,1.441092614646335,3.5715846862347376,1.6910586961111063,2.291138027893943,9.454350496281156,6.190774277344736,7.216798541528652,15.031110236023038,9.842475233566518,11.473711966946475,2.4458967619424192,1.1204279241743518,1.551544326128415,3.4693571091381834,1.5892594669139741,2.20077209379917,11.540894394610584,7.77694477148033,9.095142899135247,16.370062971078845,11.031127335433094,12.90091191366702,2.3004282451138685,1.0872321816671122,1.4841069138283012,3.450642367670803,1.6308482725006685,2.226160370742452,9.978454764448397,6.614235016296867,7.716291999568423,14.967682146672596,9.9213525244453,11.574437999352632,0.5175879396984925,-0.002412060301507535,-0.002412060301507535,0.39698492462311563,-0.0030150753768843908,-0.0030150753768843908,0.3316582914572864,-0.0033417085427135396,-0.0033417085427135396,0.37209302325581395,0.13441186383552406,0.1844097387983359,0.3411078717201166,0.371859296482412,0.12435929648241195,0.18383932976028217,0.3434343434343434,0.36454849498327757,0.12454849498327758,0.1747593717868292,0.3422818791946308,18.0,-1.0,-1.0,28.0,-1.0,-1.0,37.0,1.0,1.0,0.0004954823934916799,0.0003268153200213881,2.0370380132763805e-05,-0.023000363687407877,-0.025461941313448477,-0.023602301363825795,0.0755813953488372,0.23309749210501685,0.0029069767441860465
139,1,test,2.87557768829968,1.327846945349163,1.817832350011292,5.223682546201194,2.412124332675698,3.3022161624465483,17.735666849850798,13.034876082433417,14.855796319815823,32.218045697657956,23.67873939234946,26.98656491232815,2.9452973610108137,1.3560335916297144,1.8440496539807418,4.868260100844321,2.241377837404487,3.048015956992962,19.016316256830564,14.116176289935407,16.008399574441672,31.431927697240603,23.33252279328167,26.460164585854006,2.8818159419205736,1.3198222501858976,1.8141042004835521,5.208101099856458,2.3852209340708996,3.2785015671389495,17.846652255426275,13.078333923719448,14.937936270723904,32.252986003782425,23.635543235637556,26.99627036877814,0.6733668341708543,-0.001633165829145744,-0.001633165829145744,0.5326633165829145,-0.0023366834170853723,-0.0023366834170853723,0.37688442211055273,-0.003115577889447274,-0.003115577889447274,0.3856209150326797,0.07291733197079042,0.14267080657280984,0.3278688524590164,0.3869346733668342,0.07615773101094447,0.13985620925998943,0.303030303030303,0.3913043478260869,0.08297101449275357,0.15268059643873955,0.33221476510067116,20.0,-6.0,-6.0,30.0,-5.0,-5.0,38.0,-3.0,-3.0,0.0010095926790101085,0.0003718290560881566,9.775585753293576e-05,-0.004188238600934646,-0.004161564082159508,-0.004248816181610771,0.1111111111111111,0.17711217414673178,0.0718954248366013
