idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,elbow_frac,elbow_delta_slope,flat_frac
263,1,test,2.118624236225206,0.9176205031282134,1.2726711197332787,3.945461900994246,1.7088621345681099,2.3700641810601777,8.319683691195028,4.996232584181616,5.9894859848372,15.493542682405113,9.30436127952385,11.154072702301614,2.1310823143282183,0.8726037602380903,1.2342498876473136,3.409731702925149,1.3961660163809442,1.9747998202357016,8.423979272744386,4.903917445231373,5.9721548085566685,13.478366836391018,7.846267912370197,9.55544769369067,2.1415863917486337,0.9495629886400692,1.3076042749275745,3.9175360824670133,1.7370054670245172,2.391959039501661,8.512931767273523,5.219192736098119,6.210462556848885,15.572436159646688,9.547303785545338,11.360602238138204,0.5577889447236181,-0.00221105527638199,-0.00221105527638199,0.3919597989949749,-0.0030402010050251116,-0.0030402010050251116,0.2613065326633166,-0.003693467336683409,-0.003693467336683409,0.39677419354838706,0.10967741935483866,0.16236559139784945,0.3980582524271845,0.371859296482412,0.08542713567839189,0.14405360134003342,0.3787878787878788,0.3913043478260869,0.10200668896321063,0.15496098104793754,0.40604026845637586,12.0,-2.0,-2.0,19.0,-4.0,-4.0,28.0,-8.0,-8.0,-0.00022465431177665448,-0.00015479644563526715,-3.955290189786282e-05,-0.021584388523194775,-0.022686141143793748,-0.024700643178623416,0.08709677419354839,0.08873535055792801,0.0032258064516129032
161,1,test,3.0373005460558193,1.421846100410019,1.939586118821893,5.187468754402265,2.428400518027012,3.3126594603641237,20.848886594088956,15.818713249585327,17.8515789695206,35.608246905745986,27.01710926290563,30.489082893488153,3.0044358167386,1.3602369585574943,1.8977175345245967,4.88526149063187,2.211767412288609,3.085719568332678,20.174830582815034,14.997969737351843,17.15041377462896,32.804602573682985,24.386942662360724,27.88685166606335,2.9700546371336607,1.3847212981461905,1.9029363455664257,5.062593131477831,2.3603203945673705,3.2436414981245894,19.492984607741718,14.612066500070238,16.585994288063226,33.226678308650655,24.906931534210635,28.271581172835045,0.5879396984924623,-0.002060301507537776,-0.002060301507537776,0.4723618090452262,-0.0026381909547738003,-0.0026381909547738003,0.37688442211055273,-0.003115577889447274,-0.003115577889447274,0.3924418604651163,0.10797161373071862,0.17054547727841052,0.39067055393586003,0.371859296482412,0.10118260475308871,0.16484761033883943,0.3535353535353535,0.38795986622073575,0.10916186955963392,0.17661392628747652,0.37583892617449666,21.0,0.0,0.0,33.0,0.0,0.0,40.0,0.0,0.0,-6.916969076929302e-05,0.00024086025302390507,-6.637554430007065e-05,-0.006683960183464066,-0.00881148474374882,-0.008218420258824466,0.10755813953488372,0.1371138599727598,0.32558139534883723
199,1,test,2.9646807295082143,1.375745505219555,1.878551308048924,4.743489167213143,2.2011928083512884,3.0056820928782786,19.38851207341063,14.489981759017674,16.425727911601463,31.02161931745701,23.183970814428278,26.28116465856234,3.0193853933213854,1.3538728679933594,1.8632260074479958,4.717789677064665,2.115426356239624,2.911290636637493,20.478701468881926,15.190318483360203,17.300995999395166,31.997971045128008,23.734872630250315,27.032806249054946,2.9646807295082143,1.375745505219555,1.878551308048924,4.743489167213143,2.2011928083512884,3.0056820928782786,19.38851207341063,14.489981759017674,16.425727911601463,31.02161931745701,23.183970814428278,26.28116465856234,0.6884422110552764,-0.0015577889447235815,-0.0015577889447235815,0.5527638190954773,-0.0022361809045226,-0.0022361809045226,0.42211055276381915,-0.0028894472361808976,-0.0028894472361808976,0.4095940959409594,0.1094099338783443,0.17769225545016187,0.4185185185185185,0.42211055276381915,0.10882734474376898,0.1800404359023834,0.43434343434343436,0.4095940959409594,0.1094099338783443,0.17769225545016187,0.4185185185185185,23.0,-12.0,-12.0,32.0,-13.0,-13.0,42.0,-15.0,-15.0,4.927441372952741e-05,6.289566605865745e-05,-1.5760471266462105e-05,-0.005736301582753178,-0.003937436137006145,-0.00436197602052335,0.09225092250922509,0.13752707651870547,0.0036900369003690036
312,1,test,2.8945057400398615,1.3081862175779648,1.8036350573969206,5.424922707747665,2.4518207096744247,3.380397780530078,18.074565699027936,13.188831736310618,15.097700849946136,33.87560112144859,24.718690927173366,28.296319831974525,3.183471454758743,1.433940617542851,1.9633133787875279,5.261936288857426,2.3701497810625636,3.245146080640542,24.130375830615893,18.37847236678861,20.742652621682105,39.884918728290735,30.377640275683657,34.2853762341853,2.8945057400398615,1.3081862175779648,1.8036350573969206,5.424922707747665,2.4518207096744247,3.380397780530078,18.074565699027936,13.188831736310618,15.097700849946136,33.87560112144859,24.718690927173366,28.296319831974525,0.6432160804020101,-0.001783919597989958,-0.001783919597989958,0.5175879396984925,-0.002412060301507535,-0.002412060301507535,0.40703517587939697,-0.00296482412060306,-0.00296482412060306,0.39057239057239057,0.11830348300936533,0.17332714981091246,0.3682432432432432,0.40201005025125625,0.10376443621616849,0.17496497512604758,0.41414141414141414,0.39057239057239057,0.11830348300936533,0.17332714981091246,0.3682432432432432,23.0,-4.0,-4.0,34.0,-6.0,-6.0,44.0,-8.0,-8.0,0.0013717752572722588,4.762066516186716e-05,0.00031592073957497756,-0.015707215541013397,-0.013777124841230837,-0.01599168354268965,0.1111111111111111,0.1424301644717743,0.9696969696969697
89,1,test,3.0737278598629927,1.3898924023468398,1.920773990898036,5.0140185714015075,2.267261981328283,3.1332625726524217,21.62235773878534,16.236182889546626,18.454822149341577,35.27147106139359,26.485273338572938,30.104428631113453,3.0235776461140356,1.3231777232373567,1.8434833709210885,4.546733302427121,1.9897409371990329,2.772155444994118,20.56473357046272,15.088596584142532,17.310052546354562,30.924411384154467,22.689618923522605,26.030154205044454,3.0737278598629927,1.3898924023468398,1.920773990898036,5.0140185714015075,2.267261981328283,3.1332625726524217,21.62235773878534,16.236182889546626,18.454822149341577,35.27147106139359,26.485273338572938,30.104428631113453,0.6934673366834171,-0.0015326633165829717,-0.0015326633165829717,0.5326633165829145,-0.0023366834170853723,-0.0023366834170853723,0.38190954773869346,-0.0030904522613065533,-0.0030904522613065533,0.35769230769230764,0.040993651262365205,0.10449537674601606,0.35521235521235517,0.36180904522613067,0.041007040213599355,0.11306113203748291,0.3535353535353535,0.35769230769230764,0.040993651262365205,0.10449537674601606,0.35521235521235517,21.0,-8.0,-8.0,34.0,-13.0,-13.0,40.0,-11.0,-11.0,-0.00039222510068952167,-0.0001601388664971923,0.00011673746185488365,-0.00011401557000390028,-0.0001672912548489336,9.637194842149199e-05,0.18076923076923077,0.06304006048111022,0.0038461538461538464
393,1,test,2.4508069294631736,1.1243602689560925,1.511932308194568,4.50383891225955,2.0662327455685263,2.778472461655986,11.597701471425587,7.830069572752353,9.040599381266043,21.313053489373722,14.38929015725694,16.61387634986587,2.3483716306066538,1.022182192359196,1.4184908533564125,3.787696178397829,1.6486809554180586,2.287888473155504,10.468509238072961,6.701846333561356,7.934302213596428,16.884692319472517,10.80942957026025,12.79726163483295,2.411191604527819,1.0835020314989565,1.4896442251502482,4.230160709697929,1.9008807570157136,2.613410921316225,11.147236331393584,7.374918684471664,8.63406011160442,19.556554967357165,12.938453832406427,15.147473880007754,0.5678391959798995,-0.0021608040201005485,-0.0021608040201005485,0.4170854271356784,-0.0029145728643216184,-0.0029145728643216184,0.31155778894472363,-0.003442211055276312,-0.003442211055276312,0.3828571428571429,0.11038923986142246,0.16291579388353583,0.3696275071633238,0.3919597989949749,0.11627057593733081,0.16992307111517524,0.3484848484848485,0.3846153846153846,0.11082573519969174,0.16770770942072388,0.35906040268456374,22.0,-9.0,-9.0,35.0,-13.0,-13.0,44.0,-15.0,-15.0,0.00045854321700429166,-0.0001226747669351576,3.074552335153831e-05,-0.0029144993112968365,-0.0035902327256138733,-0.003245617266768086,0.08571428571428572,0.13303562602919897,0.002857142857142857
356,1,test,2.717267368963852,1.2387903951806585,1.6936240356105376,3.995981424946841,1.8217505811480268,2.490623581780202,15.13889665145786,10.752636449607895,12.355579786617534,22.26308331096744,15.812700661188078,18.16997027443755,2.627834106510137,1.1671005588031729,1.6214749192671183,3.6245987676001894,1.609793874211273,2.2365171300236115,13.843753312321475,9.534633998452946,11.108130341388508,19.094832154926173,13.15121930821096,15.321559091570357,2.717267368963852,1.2387903951806585,1.6936240356105376,3.995981424946841,1.8217505811480268,2.490623581780202,15.13889665145786,10.752636449607895,12.355579786617534,22.26308331096744,15.812700661188078,18.16997027443755,0.6432160804020101,-0.001783919597989958,-0.001783919597989958,0.5175879396984925,-0.002412060301507535,-0.002412060301507535,0.37688442211055273,-0.003115577889447274,-0.003115577889447274,0.42140468227424754,0.11589550030429763,0.1855871071908215,0.44966442953020136,0.4371859296482412,0.12891525295651185,0.19845471095041145,0.45959595959595956,0.42140468227424754,0.11589550030429763,0.1855871071908215,0.44966442953020136,14.0,-1.0,-1.0,27.0,-8.0,-8.0,33.0,-5.0,-5.0,-0.0003962138312629822,-8.734412394372983e-05,-3.547598518379731e-05,0.0005070350734097673,0.00010364583054389698,-4.030577335889518e-05,0.14715719063545152,0.04858582009532975,0.046822742474916385
193,1,test,2.3111998725291127,1.0177250690960244,1.2666089226345862,4.319999761736659,1.9022898487776154,2.367493313335675,10.086519935349932,6.441088203374065,7.2442842663150495,18.853308290373704,12.039417202568345,13.540718254794484,2.638293786176979,1.152017188799454,1.594528770758481,4.221270057883166,1.843227502079126,2.5512460332135696,13.989314471815689,9.568709326701462,11.149425334034936,22.3829031549051,15.309934922722338,17.839080534455896,2.301228347044674,0.9877901722032829,1.3882000071591092,3.8141906304607853,1.637221279894944,2.3008839897664792,9.986441740143144,6.267503624165899,7.494584430568592,16.552113381452724,10.38812755386613,12.421963144588826,0.5577889447236181,-0.00221105527638199,-0.00221105527638199,0.44221105527638194,-0.0027889447236180143,-0.0027889447236180143,0.3266331658291457,-0.0033668341708542604,-0.0033668341708542604,0.3634085213032582,0.10057998563367121,0.13173696705105875,0.33417085427135673,0.3668341708542714,0.0961574791249481,0.15147523930168372,0.35858585858585856,0.35785953177257523,0.10243382225671549,0.15096298004843733,0.31879194630872487,23.0,0.0,0.0,32.0,0.0,0.0,39.0,0.0,0.0,8.696229099671556e-05,0.0005575882594615306,6.604798354310214e-07,-0.04375917205310387,-0.043171303263031646,-0.043819143971864705,0.06516290726817042,0.13504191046058617,0.08270676691729323
416,1,test,2.8424327593195384,1.30897979674611,1.7229783068911215,4.917004536263657,2.2643489374991956,2.9805074977026513,17.157454764634913,12.523303987747973,14.094272129108449,29.679957294273667,21.663535334255975,24.38108685841035,2.594492355335064,1.1170303750920043,1.557102676744477,4.053894305211037,1.745359961081257,2.4329729324132456,13.389788381184504,9.007977946480292,10.567946902130597,20.921544345600786,14.074965541375455,16.51241703457906,2.8189365979102807,1.3003973780389284,1.7749998130241875,4.724474745101029,2.179436946433958,2.974860021828247,16.759019616547416,12.193468561201811,13.918642630623928,28.087742374101815,20.43598082882985,23.327334017805466,0.5979899497487438,-0.0020100502512562235,-0.0020100502512562235,0.4623115577889447,-0.002688442211055242,-0.002688442211055242,0.35678391959798994,-0.0032160804020100464,-0.0032160804020100464,0.41758241758241754,0.11031218438625845,0.1751581751581751,0.4545454545454546,0.39698492462311563,0.10375184191634867,0.16493150225249797,0.43434343434343436,0.42140468227424754,0.11088715305888863,0.19114884245222308,0.46308724832214765,15.0,-3.0,-3.0,22.0,-4.0,-4.0,34.0,-13.0,-13.0,-0.0004953193156184488,-0.00012202061582122464,-0.00022415635420133145,-0.01548763238826556,-0.015067179802665365,-0.014008305827929668,0.07692307692307693,0.08896962613994747,0.23351648351648352
55,1,test,2.9635136496366803,1.4173894550178794,1.926622236709857,4.899675900732644,2.343417232296227,3.18534876469363,19.36589733040336,14.672652547433746,16.545461527837805,32.01828358626689,24.25878554509046,27.355163059358503,2.8983663937404747,1.3578883068526848,1.862602254578571,4.6373862299847595,2.1726212909642957,2.9801636073257134,18.14448020899912,13.477659325394688,15.32722201836366,29.031168334398593,21.5642549206315,24.523555229381856,2.9635136496366803,1.4173894550178794,1.926622236709857,4.899675900732644,2.343417232296227,3.18534876469363,19.36589733040336,14.672652547433746,16.545461527837805,32.01828358626689,24.25878554509046,27.355163059358503,0.6783919597989949,-0.0016080402010050232,-0.0016080402010050232,0.5125628140703518,-0.0024371859296482556,-0.0024371859296482556,0.3919597989949749,-0.0030402010050251116,-0.0030402010050251116,0.4008097165991903,0.10586022164969533,0.16662398308640425,0.41056910569105687,0.4120603015075377,0.11882721880077074,0.17499853189151093,0.41414141414141414,0.4008097165991903,0.10586022164969533,0.16662398308640425,0.41056910569105687,23.0,-10.0,-10.0,35.0,-13.0,-13.0,41.0,-12.0,-12.0,-0.00024931539122232565,-0.00016694590619406805,-0.0001488168808416093,-2.39265858157367e-05,-9.583520108336074e-05,-0.00011149550017286458,0.11336032388663968,0.09510384693425747,0.5991902834008097
