idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,elbow_frac,elbow_delta_slope,elbow_idx,nei_delta
450,1,test,1.9816615539728353,0.8366084860998617,1.1998583144878148,3.609905760740324,1.5240129109844616,2.1857291588758923,7.254787196825168,4.1121790728823004,5.069377665552682,13.215726995490433,7.490975890728268,9.234662499032273,2.273506955700026,1.030887148376955,1.4202353240920058,3.7891782595000434,1.7181452472949248,2.367058873486676,9.71340563578089,6.248727260582823,7.366091786305459,16.18900939296815,10.414545434304705,12.276819643842433,1.9818080765757686,0.8368149231022204,1.2000633401175524,3.6101726745265594,1.524388968198949,2.1861026450549046,7.2558502650088315,4.113430422903887,5.0705685830689085,13.217663540079782,7.493255420066952,9.236831941131896,0.5276381909547738,-0.002361809045226204,-0.002361809045226204,0.371859296482412,-0.003140703517587995,-0.003140703517587995,0.26633165829145733,-0.0036683417085426884,-0.0036683417085426884,0.33684210526315794,0.10742003871324546,0.145476877725235,0.33098591549295775,0.3467336683417085,0.10613216458231,0.13972198219813592,0.36363636363636365,0.33684210526315794,0.10742003871324546,0.145476877725235,0.33098591549295775,22.0,-12.0,-12.0,29.0,-11.0,-11.0,35.0,-10.0,-10.0,0.0006715010492027319,0.0003156402529334803,6.312562341954468e-05,-0.04039029375026004,-0.04000479625643827,-0.038898062147050716,0.03859649122807018,-0.5791404591797306,11,-1.2438793182373047
84,1,test,2.1546295208841677,0.9966291510422163,1.3686733610513813,3.7858179717230294,1.7511393557860413,2.404844154163727,8.624694317880198,5.441133355286631,6.430190083178792,15.154123914467467,9.560409454769164,11.298243592477991,2.3842647809399216,1.102452140925681,1.520626355699849,3.6125223953635173,1.6703820317055769,2.3039793268179527,10.851081809272777,7.247916758373891,8.479307271140772,16.441033044352693,10.981692058142258,12.8474352593042,2.168864595615015,1.0043342841054648,1.3833030427641884,3.761036871008697,1.741620145847627,2.398791403637321,8.748345489840856,5.543928038147948,6.554707050996623,15.170541311862756,9.613748043031123,11.366544019069288,0.5829145728643217,-0.002085427135678275,-0.002085427135678275,0.44723618090452266,-0.0027638190954772934,-0.0027638190954772934,0.2864321608040201,-0.003567839195979916,-0.003567839195979916,0.3935483870967742,0.1278479040049868,0.18861276477917766,0.36245954692556637,0.3869346733668342,0.10372665331670883,0.1749146399778525,0.38383838383838387,0.3913043478260869,0.12252304565580308,0.18552014315422927,0.36241610738255037,11.0,0.0,0.0,21.0,0.0,0.0,29.0,0.0,0.0,0.0007524613104483816,2.8835445285626227e-05,0.0001826664167764101,-0.012083906772836883,-0.011161829965353753,-0.01263079142842738,0.964516129032258,-0.30950590958883395,299,-0.8430259227752686
204,1,test,1.7113960802811947,0.7732056108195674,0.9391562044000045,3.1055937491309615,1.4031015610130946,1.704244664018974,5.536685742310633,2.981332499859825,3.372076458316385,10.047175420313692,5.410090441555976,6.119155986858614,1.4931412148701215,0.6353340903652107,0.9121501142241814,2.408292282048583,1.024732403814856,1.4712098616519054,4.451055303290402,2.093071049042843,2.663245851212717,7.1791214569200035,3.3759210468432954,4.295557824536641,1.5248158154745177,0.6790134270108702,0.9536699970161776,2.77239239177185,1.234569867292491,1.7339454491203226,4.594297292906754,2.2644507861862286,2.8240029672238847,8.353267805285007,4.117183247611325,5.134550849497972,0.37688442211055273,-0.003115577889447274,-0.003115577889447274,0.24623115577889443,-0.0037688442211055717,-0.0037688442211055717,0.18090452261306533,-0.0040954773869347205,-0.0040954773869347205,0.34285714285714286,0.09196534737557327,0.1199832425638877,0.3914081145584726,0.3015075376884422,0.0759436279140061,0.11953758777191459,0.3484848484848485,0.31438127090301005,0.08399729761419539,0.13306870138131932,0.3557046979865772,20.0,-6.0,-6.0,27.0,-4.0,-4.0,31.0,-4.0,-4.0,-0.000675911946222236,-0.0006555500940386258,-0.00014898004323483363,-0.10611123611315776,-0.10170898188591515,-0.10496816420912047,0.9642857142857143,-0.1349304186584112,405,-1.32492196559906
390,1,test,1.2421095718271153,0.526973268244996,0.585217714201722,2.647951769031441,1.1234111945768321,1.247577763457307,3.4629110242299124,1.418445693014049,1.5341229639653475,7.3822966834719494,3.0238683182890407,3.2704712277261274,1.4442306417512,0.6097235351540619,0.8686203572010385,2.221893295001846,0.9380362079293258,1.3363390110785207,4.238589893964114,1.9349115933920533,2.460374480734872,6.520907529175559,2.9767870667570047,3.78519150882288,1.256695150767864,0.4888000191406935,0.7269294489964206,2.3416679827972624,0.9108074890820377,1.3545269235958148,3.513789732055571,1.3585647209152905,1.8152554336390037,6.547434283333362,2.531487057606131,3.382463540942243,0.3668341708542714,-0.0031658291457286047,-0.0031658291457286047,0.2562814070351759,-0.00371859296482413,-0.00371859296482413,0.1758793969849246,-0.004120603015075441,-0.004120603015075441,0.30341880341880345,0.10491293362157827,0.11182545053512793,0.30192719486081365,0.3015075376884422,0.09098122189896851,0.13623207858994468,0.31818181818181823,0.28428093645484953,0.09062484296570095,0.12744000208332562,0.2818791946308725,13.0,-2.0,-2.0,20.0,-7.0,-7.0,25.0,-5.0,-5.0,0.00023765821550408554,0.00030171481899788217,9.134005789637018e-05,-0.1659264023009186,-0.1782909381572777,-0.16854766713309655,0.021367521367521368,-0.43880167597614245,10,-1.3403651714324951
128,1,test,2.353497742738578,1.0784285162520115,1.480511481332871,4.370781522228788,2.002795815896593,2.7495213224753323,10.522309766241715,6.943360606639729,8.12826031940887,19.54143242302033,12.894812555188068,15.095340593187903,2.9658831706500077,1.3906180166520163,1.8957053398584236,4.707751064523822,2.207330185161931,3.0090560950133707,19.41183964020818,14.579816961812972,16.495941649886525,30.812443873346314,23.142566606052334,26.184034364899244,2.3535072909877077,1.0782976456403919,1.4806501323417058,4.370799254691457,2.0025527704750132,2.749778817206025,10.52241023635644,6.942958489505243,8.128669847963474,19.541619010376245,12.894065766224024,15.09610114621788,0.6934673366834171,-0.0015326633165829717,-0.0015326633165829717,0.5326633165829145,-0.0023366834170853723,-0.0023366834170853723,0.37688442211055273,-0.003115577889447274,-0.003115577889447274,0.3897058823529411,0.12732056125202373,0.18799439091039838,0.35424354243542433,0.37688442211055273,0.07613254241130463,0.14149210157632908,0.4444444444444444,0.38602941176470584,0.12364409066378845,0.1843179203221631,0.35424354243542433,16.0,0.0,0.0,26.0,0.0,0.0,34.0,0.0,0.0,0.0014293767780790103,0.0008342875540166509,-3.309683086644676e-05,-0.022536381677549677,-0.024974166317962343,-0.02011554360117529,0.0625,-0.19834103952049303,17,-1.1060185432434082
177,1,test,2.299134442125654,1.05617442797044,1.455022776403013,3.49219880128275,1.6042433203226683,2.2100616225364687,9.965552957854076,6.499695674876719,7.639642247497756,15.136866925172948,9.87251072778572,11.60399714349659,2.526084783200298,1.139229758767246,1.5877213068912805,3.5329857107696476,1.5933283339402042,2.220589240407385,12.504452528962835,8.502209246905977,9.948657154658767,17.48874479575222,11.891201743924446,13.914205810711563,2.2991230114741623,1.0561629976437792,1.4549952431351345,3.492181439049944,1.604225958583254,2.2100198017349886,9.96543904574234,6.4995817638908004,7.639490881836551,15.136693901911338,9.872337706234134,11.603767231330114,0.6331658291457287,-0.0018341708542712887,-0.0018341708542712887,0.4723618090452262,-0.0026381909547738003,-0.0026381909547738003,0.3517587939698492,-0.0032412060301507672,-0.0032412060301507672,0.3857142857142857,0.10763941940412525,0.1778758059043094,0.3763440860215054,0.3919597989949749,0.0912079192957268,0.16658417295156924,0.41414141414141414,0.3857142857142857,0.10763941940412525,0.1778758059043094,0.3763440860215054,14.0,-4.0,-4.0,20.0,-4.0,-4.0,28.0,-8.0,-8.0,0.00024298730850987713,6.657586786952132e-05,0.00011462004255317161,-0.01895473017346383,-0.01530232101620932,-0.017978230397956096,0.039285714285714285,-0.721477536544842,11,-0.8563718795776367
154,1,test,2.409524778195106,1.063703433159545,1.4980434938749618,4.390361098919916,1.9381590162477593,2.7295639121525372,11.128671300978507,7.2873309899283285,8.640666052678261,20.277394947181694,13.27814296937861,15.744035691076341,2.7357071235229893,1.2074693497553763,1.69675703683099,4.412430844391918,1.9475312092828645,2.7367048981144997,15.420643881522635,10.810598165036708,12.594395740962893,24.87200626052038,17.436448653285016,20.313541517682086,2.4097440052375365,1.0636855442438888,1.4983915233273655,4.390760549420541,1.9381264211069626,2.7301980517069167,11.131111274118277,7.2888600119836555,8.643426466252846,20.2818407878106,13.280928978890463,15.74906540169997,0.5879396984924623,-0.002060301507537776,-0.002060301507537776,0.42211055276381915,-0.0028894472361808976,-0.0028894472361808976,0.33668341708542715,-0.0033165829145728187,-0.0033165829145728187,0.34121621621621623,0.09163780137641864,0.1378454296993623,0.3389830508474576,0.3467336683417085,0.0860820392690268,0.1380525331163328,0.35858585858585856,0.34121621621621623,0.09163780137641864,0.13896902520498022,0.3389830508474576,21.0,-9.0,-9.0,32.0,-12.0,-12.0,40.0,-13.0,-13.0,0.001179895085791426,0.00039783731491534684,-4.963667555404745e-05,-0.03310580646890582,-0.029529446710800933,-0.02939738375841916,0.033783783783783786,-0.4652066278332952,10,-1.0630533695220947
293,1,test,2.2389797273882093,1.0013225302423336,1.3280541989790873,3.6213063416887556,1.6195303532615135,2.147983313131393,9.383752416157671,5.936225296428237,6.897129507323578,15.17719956004632,9.601199175092628,11.155357290105961,2.5891842588718657,1.1578440111945667,1.5979542062786907,4.014239161041652,1.7951069941001032,2.4774483818274273,13.318902394103581,9.134598955593887,10.624355525019313,20.649461076129583,14.162168923401374,16.471869031037695,2.3352434867516876,1.0165504224231106,1.4441086430316445,3.9358036293567764,1.713287228802995,2.433890971401648,10.331975322234413,6.593443160263795,7.894080610693404,17.41344155432766,11.11254465212999,13.304630242741691,0.5577889447236181,-0.00221105527638199,-0.00221105527638199,0.40703517587939697,-0.00296482412060306,-0.00296482412060306,0.3316582914572864,-0.0033417085427135396,-0.0033417085427135396,0.34770889487870615,0.0892970510025285,0.13461016565094464,0.3297297297297297,0.371859296482412,0.10619513608140951,0.16818650850244543,0.36868686868686873,0.34782608695652173,0.09573927560426798,0.1442665763892247,0.3355704697986577,19.0,-1.0,-1.0,28.0,-2.0,-2.0,36.0,-4.0,-4.0,0.0008130983653994134,0.0006180658195999287,0.00030088914008195785,-0.025275710905402704,-0.02524757544824663,-0.026818748675656146,0.03234501347708895,-0.8958298045221168,12,-1.4474258422851562
297,1,test,1.8766652862791378,0.8572363673794254,1.0790805132455232,3.3831626491178954,1.5453848274317166,1.9453148702086727,6.531687197658372,3.760075700681235,4.311514969706255,11.775014076512571,6.778485093429933,7.772593500433754,2.441267806039896,1.0870225323930098,1.5202553286330356,3.4875254371998516,1.552889331990014,2.1717933266186225,11.487595557536006,7.613759390714713,8.975763281188508,16.41085079648001,10.876799129592449,12.82251897312644,1.9865828645857622,0.895226520697987,1.2457462186985127,3.1533061342631146,1.4209944772983922,1.9773749503150992,7.290578255273161,4.312267307174354,5.192888451193401,11.572346436941524,6.844868741546592,8.242680081259365,0.5527638190954773,-0.0022361809045226,-0.0022361809045226,0.4170854271356784,-0.0029145728643216184,-0.0029145728643216184,0.3266331658291457,-0.0033668341708542604,-0.0033668341708542604,0.3443877551020408,0.11636227739503446,0.1606145390707603,0.329923273657289,0.38190954773869346,0.11875165300185131,0.18157565792233288,0.4040404040404041,0.34448160535117056,0.1074198357351438,0.17095546519544202,0.33221476510067116,14.0,-3.0,-3.0,20.0,-1.0,-1.0,26.0,-2.0,-2.0,-0.00014910633983675602,0.0007401428997703106,-3.152932597395971e-05,-0.06352047285165785,-0.08802793933431552,-0.0734261594356802,0.025510204081632654,-0.3714688640880622,10,-1.5103205442428589
365,1,test,2.3191846444907256,0.9731044554834416,1.3967042124162967,3.9641877062806588,1.6633297087914638,2.387389758432507,10.167380895465769,6.325046147936346,7.651858655517033,17.37912780969149,10.811416090077245,13.079339794895395,2.3444297457467176,1.0163147163613755,1.4180924536227306,3.8750904888375497,1.6798590353080587,2.343954468797902,10.42732480547549,6.653401860564124,7.902081814557667,17.235247612356183,10.99735844721343,13.061292255467219,2.3192564816781878,0.9731763597332315,1.396599619129669,3.964310497752251,1.663452614892849,2.3872109768844343,10.168111317748583,6.325776827895064,7.652145223864941,17.38037632219816,10.812665043029936,13.079829626838912,0.5477386934673367,-0.002261306532663321,-0.002261306532663321,0.44723618090452266,-0.0027638190954772934,-0.0027638190954772934,0.31658291457286436,-0.003417085427135591,-0.003417085427135591,0.3822525597269625,0.10627300265711581,0.17566913180414745,0.40753424657534243,0.38190954773869346,0.1037140590168889,0.17990620884052988,0.41414141414141414,0.3822525597269625,0.10627300265711581,0.17566913180414745,0.40753424657534243,18.0,-6.0,-6.0,28.0,-8.0,-8.0,34.0,-9.0,-9.0,0.00023623573973881407,0.0002019848545615007,-0.00017329808201598727,-0.006017337619481644,-0.005117606187589274,-0.0048333335492820595,0.9590443686006825,-0.27008538610704663,281,-0.8566076755523682
249,1,test,2.089437144055404,0.9814588424897042,1.3434437776872685,3.8344615720577195,1.8011387548986884,2.46544077883268,8.080365802181138,5.052135768424652,5.971830859484529,14.82880317543132,9.271501904691394,10.959293994878202,2.357229116325233,1.0551966437518596,1.4787500177486215,3.466513406360636,1.5517597702233228,2.17463237904209,10.561645778011645,6.884883781583772,8.154410025427001,15.531832026487711,10.124829090564369,11.991779449157354,2.2039624377798113,1.0033666710005054,1.4020595427465623,3.7145434344603556,1.6910674230345593,2.363021701258251,9.060845498037168,5.738749970599691,6.831065566856121,15.271087918040168,9.672050512246667,11.513031854251887,0.5477386934673367,-0.002261306532663321,-0.002261306532663321,0.42713567839195976,-0.002864321608040288,-0.002864321608040288,0.31658291457286436,-0.003417085427135591,-0.003417085427135591,0.3723723723723724,0.12199755977866922,0.17856617856617862,0.3463855421686747,0.371859296482412,0.10619513608140951,0.17653375391146042,0.38383838383838387,0.3812709030100334,0.12250629533056767,0.18327312770413795,0.37248322147651003,20.0,-9.0,-9.0,31.0,-17.0,-17.0,38.0,-16.0,-16.0,0.00017351087198471448,0.0003747958363262924,0.0003711439213699949,-0.03446158509351793,-0.039510178245941496,-0.04154378492281463,0.03003003003003003,-0.5634523153343538,10,-0.7363510131835938
210,1,test,1.8245999630757275,0.8483923018198495,0.9853001013586896,3.4604482058332766,1.6090198827617836,1.8686726060251013,6.200314168312574,3.5459433113361998,3.8855684011276392,11.759216526110055,6.725064900810034,7.369181450414489,1.5020663370253522,0.6238977241261193,0.9103748427317211,2.9166336641268975,1.2114518915070278,1.767718141226643,4.490959324836802,2.0844708684570232,2.683916891129419,8.72030936861515,4.047516249431113,5.211489108989163,1.8525478595290108,0.8513814099315136,1.1808733221374146,3.308121177730376,1.520323946306274,2.108702360959669,6.37604410958261,3.6545896924061783,4.418531604036737,11.385793052826088,6.5260530221538895,7.890235007208458,0.3316582914572864,-0.0033417085427135396,-0.0033417085427135396,0.2211055276381909,-0.003894472361809065,-0.003894472361809065,0.18592964824120606,-0.004070351758793889,-0.004070351758793889,0.3234624145785877,0.08910519046027143,0.1074311340311781,0.3082191780821918,0.24120603015075381,0.04822357401040289,0.0942945109520894,0.202020202020202,0.2976588628762542,0.07896103316006053,0.1330314991387681,0.2818791946308725,19.0,-1.0,-1.0,26.0,-1.0,-1.0,31.0,-4.0,-4.0,0.0006645732946652189,-0.0003780004775801545,3.293884773791536e-05,-0.11671762849293454,-0.10433761786320961,-0.10509221783757372,0.04100227790432802,0.319781954843501,18,-0.9231948852539062
136,1,test,2.0418847410616072,0.9210567095645561,1.202199095044405,3.46113198260667,1.5612530771991129,2.037808331510247,7.705117673889387,4.637724623804695,5.389478741855189,13.060692738700395,7.861255191920065,9.13552898843615,2.1091334304277,0.8529175173563432,1.2588840909014967,3.034724360327626,1.2272194494335875,1.8113440156856067,8.241096705788827,4.728990510791025,5.900866414691093,11.857693101854428,6.804302893224498,8.490455272936824,2.076611929293738,0.9150492712206497,1.2913990534748025,3.211255560763513,1.4150246462174998,1.9970088455795918,7.977395097549763,4.782473149668091,5.784521396714393,12.336177985901697,7.3955770355692145,8.945136180486175,0.5276381909547738,-0.002361809045226204,-0.002361809045226204,0.3668341708542714,-0.0031658291457286047,-0.0031658291457286047,0.2814070351758794,-0.003592964824120637,-0.003592964824120637,0.37665782493368705,0.10910815605951485,0.15476144174698125,0.37765957446808507,0.3668341708542714,0.09866374478910844,0.16149193379250182,0.36868686868686873,0.36789297658862874,0.0974422253365419,0.16099642486449084,0.37583892617449666,20.0,-5.0,-5.0,26.0,-3.0,-3.0,35.0,-9.0,-9.0,0.0003572855256031004,-0.00020012999419603307,7.170574995901548e-05,-0.027395126162446104,-0.025970385240582594,-0.02680523804623558,0.026525198938992044,-0.47935792880694666,10,-1.1141374111175537
