idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,elbow_frac,elbow_delta_slope,elbow_idx,nei_delta
302,1,test,5.004997418476985,2.394597017170833,3.247000463833589,7.354761464710312,3.518820968894229,4.771413827135744,149.15669810644187,135.5522010866338,143.35589163525054,219.18331693575732,199.19173211322249,210.65912714475783,5.128212425576981,2.4156645087606905,3.297382062097978,7.122517257745807,3.3550895955009588,4.579697308469415,168.71525724731939,153.6476395630366,162.47619204724285,234.3267461768325,213.3994993931064,225.66137784339287,4.977661917440868,2.385967026286599,3.236936136952746,7.320091055060099,3.5087750386567635,4.760200201401098,145.13464785666437,131.78226458474424,139.43316791238033,213.43330567156525,193.7974479187415,205.04877634173576,0.8994974874371859,-0.0005025125628140836,-0.0005025125628140836,0.8040201005025126,-0.0009798994974873354,-0.0009798994974873354,0.6683417085427136,-0.0016582914572863539,-0.0016582914572863539,0.45192307692307687,0.09832307692307685,0.17260537969493184,0.4758842443729904,0.44221105527638194,0.07629626830896341,0.1567352622880681,0.4949494949494949,0.45150501672240806,0.09758181138017097,0.1711935595477696,0.4731543624161074,26.0,0.0,0.0,41.0,0.0,0.0,45.0,0.0,0.0,0.00025926849487813624,-0.00016376136827653717,-2.1881704239492357e-05,0.00045569902817899077,5.329000489684432e-05,-8.586501395235757e-05,0.04807692307692308,-0.4381183388091928,15,-0.2875523567199707
781,1,test,3.868370044649693,1.8398581573434964,2.511248286682214,6.373070073559567,3.0311332232493577,4.137236385972857,47.864305783106516,40.26154161645045,43.97931054553913,78.85558290885893,66.33016568465578,72.45512312898173,3.9193920981344865,1.8234791895827995,2.517681680820043,6.076576896332537,2.827099518733023,3.9033824508837878,50.3698155643835,42.2369534227129,46.30767357811932,78.0927373091217,65.48364871738433,71.79484275677413,3.868370044649693,1.8398581573434964,2.511248286682214,6.373070073559567,3.0311332232493577,4.137236385972857,47.864305783106516,40.26154161645045,43.97931054553913,78.85558290885893,66.33016568465578,72.45512312898173,0.8090452261306533,-0.0009547738693467256,-0.0009547738693467256,0.6130653266331658,-0.001934673366834172,-0.001934673366834172,0.5125628140703518,-0.0024371859296482556,-0.0024371859296482556,0.4342105263157895,0.12348842565933438,0.18202393739450673,0.4096916299559471,0.42211055276381915,0.10381481341544818,0.1616764960025504,0.4040404040404041,0.4342105263157895,0.12348842565933438,0.18202393739450673,0.4096916299559471,25.0,0.0,0.0,38.0,0.0,0.0,47.0,0.0,0.0,7.719182763231553e-05,0.00014396133695174422,0.00011555942434200181,0.00010774192953277861,8.600569800343294e-06,-2.5414557059733056e-05,0.9517543859649122,0.6581819471414502,217,-0.4744400978088379
735,1,test,4.033658509884241,1.9176904322390018,2.606836593299254,6.1663974921218845,2.9316416952619218,3.98516398745748,56.467119324163235,48.16950470972829,52.301679306297544,86.32329735762885,73.6384382344122,79.95544077859279,3.9995706069409547,1.870707500545587,2.5728394758283195,5.796479140494138,2.7111702906457786,3.728752863519304,54.574710999122686,46.16940555978306,50.40964912553131,79.09378405669955,66.91218197070009,73.05746250077001,4.033658509884241,1.9176904322390018,2.606836593299254,6.1663974921218845,2.9316416952619218,3.98516398745748,56.467119324163235,48.16950470972829,52.301679306297544,86.32329735762885,73.6384382344122,79.95544077859279,0.8040201005025126,-0.0009798994974873354,-0.0009798994974873354,0.6482412060301508,-0.0017587939698492372,-0.0017587939698492372,0.5577889447236181,-0.00221105527638199,-0.00221105527638199,0.4226415094339623,0.08365845858650467,0.157898723988542,0.43939393939393945,0.4170854271356784,0.0812458281381847,0.15498192129260668,0.4292929292929293,0.4226415094339623,0.08365845858650467,0.157898723988542,0.43939393939393945,26.0,-3.0,-3.0,35.0,-3.0,-3.0,45.0,-4.0,-4.0,-0.00027465993065784095,-4.469603906526256e-05,-1.652694513297859e-05,-0.0001486651793047855,0.00023534568223659846,7.884916357880911e-05,0.03773584905660377,-0.5897691235891255,10,-0.5192379951477051
130,1,test,4.1237730442133165,1.9533487935336562,2.6677279518690327,6.713703675639973,3.180147121179794,4.343191238713608,61.79194673329295,53.02994619628789,57.502983246211414,100.600303523105,86.3353392342004,93.61766174840517,4.233925009492654,1.9444974019133152,2.698588421510349,6.615507827332272,3.0382771904895556,4.21654440860992,68.98747797415979,59.11819101510028,64.34458996686968,107.79293433462466,92.37217346109418,100.53842182323388,4.1237730442133165,1.9533487935336562,2.6677279518690327,6.713703675639973,3.180147121179794,4.343191238713608,61.79194673329295,53.02994619628789,57.502983246211414,100.600303523105,86.3353392342004,93.61766174840517,0.8241206030150754,-0.0008793969849245631,-0.0008793969849245631,0.6783919597989949,-0.0016080402010050232,-0.0016080402010050232,0.5577889447236181,-0.00221105527638199,-0.00221105527638199,0.4172932330827067,0.0833345088800801,0.14854323308270667,0.4226415094339623,0.4170854271356784,0.07873956247402425,0.15331247221080369,0.4494949494949495,0.4172932330827067,0.0833345088800801,0.14854323308270667,0.4226415094339623,18.0,0.0,0.0,26.0,0.0,0.0,36.0,0.0,0.0,0.00013749116693586203,-2.0858485000888784e-05,-0.00015268544404057705,-0.00015559510116602837,0.0002314721571865519,7.534460660885145e-05,0.06015037593984962,-0.19571985036024858,16,-0.6433181762695312
597,1,test,3.515582388447177,1.5825354872692015,2.205570267733707,6.0371035498161865,2.7175954229657324,3.7874965287289175,33.63551115395674,26.72497724324821,29.929292520004665,57.760291567829164,45.89323678323313,51.3958195688356,3.578623333362618,1.6561494090340354,2.2740477993833497,5.885504490406289,2.7237498545270498,3.739962909729641,35.824188918584916,28.98633502380775,32.13806479143414,58.9174677256066,47.671741072212754,52.85516440905285,3.515582388447177,1.5825354872692015,2.205570267733707,6.0371035498161865,2.7175954229657324,3.7874965287289175,33.63551115395674,26.72497724324821,29.929292520004665,57.760291567829164,45.89323678323313,51.3958195688356,0.7727272727272727,-0.002272727272727315,-0.002272727272727315,0.6313131313131313,-0.0036868686868687384,-0.0036868686868687384,0.48989898989898994,-0.005101010101010051,-0.005101010101010051,0.4354838709677419,0.09677419354838701,0.16935483870967738,0.4251012145748988,0.43939393939393945,0.10606060606060608,0.17508417508417518,0.4314720812182741,0.4354838709677419,0.09677419354838701,0.16935483870967738,0.4251012145748988,17.0,1.0,1.0,32.0,1.0,1.0,40.0,1.0,1.0,5.011990757659336e-05,5.1993920314426645e-05,-0.0001396671370044783,-3.085650767697956e-05,-0.00010133182060556578,-0.00011602607612637428,0.056451612903225805,0.354026321723207,14,-0.5758287906646729
582,1,test,3.1445568305141522,1.435910245382561,1.9848551325828026,5.260705137841286,2.4022146243506994,3.3205752532517323,23.209387501469273,17.687903941012344,20.02040564713561,38.82828349302406,29.591084580561525,33.493257246151394,3.232962239926784,1.4345426739160738,2.0113507692937675,5.091279117994935,2.2591223211276747,3.1674815264468776,25.354652402569034,19.314558455291927,21.96200191503486,39.928586460738636,30.416627488648704,34.58582978745647,3.1445568305141522,1.435910245382561,1.9848551325828026,5.260705137841286,2.4022146243506994,3.3205752532517323,23.209387501469273,17.687903941012344,20.02040564713561,38.82828349302406,29.591084580561525,33.493257246151394,0.7336683417085428,-0.001331658291457205,-0.001331658291457205,0.6030150753768844,-0.0019849246231156137,-0.0019849246231156137,0.40201005025125625,-0.002989949748743781,-0.002989949748743781,0.3886792452830189,0.058490566037735836,0.12578616352201255,0.3522727272727273,0.38190954773869346,0.045226130653266305,0.11055276381909551,0.33333333333333337,0.3886792452830189,0.058490566037735836,0.12578616352201255,0.3522727272727273,24.0,-8.0,-8.0,35.0,-7.0,-7.0,43.0,-10.0,-10.0,0.0003840212931249179,0.0003953830781990946,0.0002871169694041856,-0.0001486651793047855,0.00023534568223659846,7.884916357880911e-05,0.06037735849056604,0.3101785017359592,16,-1.3369085788726807
392,1,test,4.121855578542183,1.9237528535421942,2.6315099110850575,6.138933840381975,2.8651638244245445,3.919270080339447,61.6735763185502,52.66566951841534,57.23494677490553,91.85426260209604,78.43823119763988,85.2435377498593,4.297711889947479,1.9409010967042235,2.6926267958410626,5.927878468893074,2.677104960971343,3.7139679942635344,73.53135323940656,62.974124717622985,68.55307003212924,101.4225561922849,86.86086167947998,94.55595866500585,4.121855578542183,1.9237528535421942,2.6315099110850575,6.138933840381975,2.8651638244245445,3.919270080339447,61.6735763185502,52.66566951841534,57.23494677490553,91.85426260209604,78.43823119763988,85.2435377498593,0.7939698492462312,-0.001030150753768888,-0.001030150753768888,0.6733668341708543,-0.001633165829145744,-0.001633165829145744,0.5678391959798995,-0.0021608040201005485,-0.0021608040201005485,0.44802867383512546,0.11350273465802352,0.18819553915097764,0.41726618705035967,0.4522613065326633,0.11140917620684876,0.18014110619877344,0.43434343434343436,0.44802867383512546,0.11350273465802352,0.18819553915097764,0.41726618705035967,24.0,-3.0,-3.0,37.0,0.0,0.0,47.0,-4.0,-4.0,0.0006901363112406537,0.0002746712824794869,0.00015109804462221454,-0.0002456840853515274,0.00018111633153772289,2.978536601450088e-05,0.035842293906810034,0.40454940995824074,10,-0.8841581344604492
3,1,test,3.526580321747539,1.6428466705665798,2.2548619507096177,5.94597844945806,2.7699158980483034,3.8018021261964488,34.00747392381025,27.429454825124616,30.440497235287697,57.338182778517286,46.247336623756624,51.32409417577577,3.5912033355415764,1.6075917820076446,2.241492824892827,5.745925336866522,2.572146851212231,3.5863885198285224,36.27770392214937,29.008756091346672,32.42139491344836,58.04432627543899,46.414009746154676,51.87423186151738,3.526580321747539,1.6428466705665798,2.2548619507096177,5.94597844945806,2.7699158980483034,3.8018021261964488,34.00747392381025,27.429454825124616,30.440497235287697,57.338182778517286,46.247336623756624,51.32409417577577,0.7537688442211055,-0.0012311557788945438,-0.0012311557788945438,0.6080402010050252,-0.001959798994974782,-0.001959798994974782,0.4824120603015075,-0.0025879396984924696,-0.0025879396984924696,0.4429065743944637,0.10957324106113031,0.19089276541862943,0.3784722222222222,0.4170854271356784,0.08625835946650551,0.15999026853801568,0.3535353535353535,0.4429065743944637,0.10957324106113031,0.19089276541862943,0.3784722222222222,22.0,-1.0,-1.0,36.0,0.0,0.0,42.0,-1.0,-1.0,0.0005886076253780509,0.0004634165196161762,0.00016716771096925699,-0.0003149833039568506,0.00014238108104080993,-5.260203672641239e-06,0.9619377162629758,-0.3022275461731192,278,-1.2922677993774414
981,1,test,3.745505597315678,1.7649986647219096,2.4032877394294543,6.277978131864346,2.9583784437100187,4.0282379723391415,42.33040394792524,35.08398844949707,38.502880947120595,70.95152934453378,58.805548821600205,64.53607886023053,4.002734054872139,1.8372710464934578,2.545633723785393,5.929976377588353,2.721883031842159,3.7713092204228036,54.747628619467356,46.0289908346635,50.45413686316688,81.10759795476645,68.19109753283482,74.74686942691389,3.745505597315678,1.7649986647219096,2.4032877394294543,6.277978131864346,2.9583784437100187,4.0282379723391415,42.33040394792524,35.08398844949707,38.502880947120595,70.95152934453378,58.805548821600205,64.53607886023053,0.7889447236180904,-0.001055276381909609,-0.001055276381909609,0.6582914572864322,-0.0017085427135676845,-0.0017085427135676845,0.5376884422110553,-0.0023115577889447625,-0.0023115577889447625,0.44217687074829937,0.10940946837138932,0.18652076215101432,0.39931740614334466,0.4522613065326633,0.1189279731993299,0.18348000436237943,0.4191919191919192,0.44217687074829937,0.10940946837138932,0.18652076215101432,0.39931740614334466,22.0,0.0,0.0,36.0,-1.0,-1.0,42.0,0.0,0.0,0.0010987481079390207,0.00014324249265065779,7.912045890313565e-05,-0.005025161954822721,-0.003373315322829029,-0.0042109834742820595,0.95578231292517,0.40632637214479206,281,-1.517211675643921
107,1,test,4.127845053730706,1.9876003715824564,2.692936482224293,7.011682009076815,3.3761978914551314,4.574303065696059,62.04407711876702,53.54255957477428,57.84481605964361,105.38993921543987,90.94900530509604,98.25694782733983,4.092039635433024,1.9346934752422795,2.644125268105915,6.763701876748801,3.197840454945917,4.370454988604819,59.86186365089747,51.21370729490804,55.60763116110896,98.94522917503714,84.65075585935213,91.91343993571729,4.127845053730706,1.9876003715824564,2.692936482224293,7.011682009076815,3.3761978914551314,4.574303065696059,62.04407711876702,53.54255957477428,57.84481605964361,105.38993921543987,90.94900530509604,98.25694782733983,0.8341708542713568,-0.0008291457286431214,-0.0008291457286431214,0.7487437185929648,-0.0012562814070351536,-0.0012562814070351536,0.6030150753768844,-0.0019849246231156137,-0.0019849246231156137,0.4412955465587044,0.0675581728213307,0.16269527737970035,0.44308943089430897,0.4522613065326633,0.08133398823692395,0.17346330987156144,0.4292929292929293,0.4412955465587044,0.0675581728213307,0.16269527737970035,0.44308943089430897,21.0,-3.0,-3.0,33.0,-4.0,-4.0,43.0,-3.0,-3.0,-0.00029474715917586546,0.0001274816626224098,8.260358992780861e-05,-2.39265858157367e-05,-9.583520108336074e-05,-0.00011149550017286458,0.04048582995951417,0.3558304324593177,10,-0.22287416458129883
