idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,elbow_frac,elbow_delta_slope,elbow_idx
313,1,test,1.6615365489719338,0.726001682598811,1.0303470982755456,2.9590285731691184,1.2929355808079952,1.8349439896255506,5.267398244870233,2.7188220038865376,3.387553011652952,9.380703615864403,4.8419470518653505,6.032889352213403,1.6226179184817129,0.6824747818555159,0.9772855387213365,2.6820130883995255,1.1280574906702743,1.6153479978865066,5.066336225883706,2.5059883542252672,3.1597155798048453,8.374109464270589,4.142129511116145,5.22267037984272,1.679326560171149,0.7445982210088747,1.0497486195735863,2.9290579537868875,1.2987178273410604,1.8309568946050925,5.361943808450713,2.815422234870331,3.485125525175717,9.35222757287915,4.910620177099414,6.078707311352995,0.46733668341708545,-0.002663316582914521,-0.002663316582914521,0.3065326633165829,-0.0034673366834171437,-0.0034673366834171437,0.18592964824120606,-0.004070351758793889,-0.004070351758793889,0.36392405063291144,0.11431899534065237,0.1755029980013325,0.37777777777777777,0.37688442211055273,0.12124532436619184,0.18489777770320714,0.38888888888888884,0.36789297658862874,0.11914506339998099,0.18101867180553644,0.3825503355704698,12.0,-3.0,-3.0,21.0,-10.0,-10.0,26.0,-12.0,-12.0,-0.00015305647122006874,-0.00019696390794678785,-7.992289089758097e-06,-0.04176909232463988,-0.036457129360750073,-0.042894855619495686,0.9620253164556962,-0.35677016217243473,304
203,1,test,2.111586931914453,0.9866187406165152,1.3291211738849764,3.955035840728658,1.847952561789663,2.4894650558480507,8.261341073446664,5.181222200670411,6.07448318810474,15.473622962963592,9.704511423477912,11.377603431688243,1.7862300453267481,0.7837053538670706,1.1121217109582404,2.9524463559119805,1.2953807501935053,1.8382177040632073,5.966915011352112,3.2417616894252697,4.0046325155485745,9.862669440251425,5.358283784173999,6.619227298427395,1.9922029059361255,0.8748908986171413,1.2368475596725452,3.71217932783129,1.6302314881064746,2.3046848937997737,7.331666958493049,4.275039998528259,5.203299261988882,13.661491227005682,7.965913040735886,9.695588686935805,0.40703517587939697,-0.00296482412060306,-0.00296482412060306,0.31658291457286436,-0.003417085427135591,-0.003417085427135591,0.2361809045226131,-0.0038190954773869024,-0.0038190954773869024,0.3626062322946175,0.11791033413337282,0.17590046494368894,0.3835227272727273,0.3316582914572864,0.10860064734701069,0.17139117960419792,0.33333333333333337,0.34448160535117056,0.1140976320623559,0.17318015930000263,0.35906040268456374,15.0,-1.0,-1.0,26.0,-4.0,-4.0,29.0,-3.0,-3.0,-0.0004490350888956154,-0.00018386083026385421,-0.00022101965016372088,-0.10597270867672215,-0.10799728640191297,-0.1100591907393822,0.028328611898016998,0.3928103375325181,10
110,1,test,2.2926747490181048,1.1085033966070794,1.497469791252548,3.569607520623125,1.7258976934515289,2.3315035990387774,9.90138601660112,6.633408319274453,7.686491106403435,15.416082025847311,10.327964851528579,11.967574760602815,2.3210399799579533,1.0857206320825477,1.4934263765891123,3.570830738396851,1.6703394339731503,2.2975790409063266,10.186262308110974,6.7467855731835655,7.898409811056404,15.67117278170919,10.379670112590102,12.151399709317545,2.2926747490181048,1.1085033966070794,1.497469791252548,3.569607520623125,1.7258976934515289,2.3315035990387774,9.90138601660112,6.633408319274453,7.686491106403435,15.416082025847311,10.327964851528579,11.967574760602815,0.6281407035175879,-0.0018592964824121205,-0.0018592964824121205,0.4623115577889447,-0.002688442211055242,-0.002688442211055242,0.31658291457286436,-0.003417085427135591,-0.003417085427135591,0.4,0.09653767820773929,0.17476255088195392,0.3811475409836066,0.37688442211055273,0.07112001108298383,0.15150879606714707,0.3737373737373737,0.4,0.09653767820773929,0.17476255088195392,0.3811475409836066,22.0,-12.0,-12.0,33.0,-16.0,-16.0,40.0,-15.0,-15.0,0.0002013577917964549,-6.837111177162345e-05,4.649672489497129e-05,-1.0066742095027337e-05,-8.484196204427974e-05,-0.00010243434826673337,0.04081632653061224,0.5743945626298228,10
480,1,test,2.4350446683818787,1.1136536093911062,1.529728417043366,3.89063002881127,1.7793571636081364,2.4441470797452665,11.416328650905646,7.667696330157085,8.943614852440739,18.240614492508463,12.251179611312438,14.28979803239135,2.3859783135563366,1.0346863752410054,1.4645319233882028,3.642714982528758,1.579673855329779,2.235926600592676,10.869691431420163,7.007279124271381,8.356769002495327,16.59494875025979,10.698136067589893,12.75842595800813,2.4350446683818787,1.1136536093911062,1.529728417043366,3.89063002881127,1.7793571636081364,2.4441470797452665,11.416328650905646,7.667696330157085,8.943614852440739,18.240614492508463,12.251179611312438,14.28979803239135,0.6180904522613065,-0.0019095477386934512,-0.0019095477386934512,0.44221105527638194,-0.0027889447236180143,-0.0027889447236180143,0.31155778894472363,-0.008442211055276316,-0.003442211055276312,0.4035087719298246,0.11804467385626938,0.18063829351675575,0.4154929577464789,0.40703517587939697,0.12132089016511127,0.1833289989177943,0.4242424242424242,0.4035087719298246,0.11804467385626938,0.18063829351675575,0.4154929577464789,14.0,-3.0,-3.0,26.0,-12.0,-12.0,33.0,-12.0,-12.0,3.910083818034781e-05,-0.00030003310585707376,-4.4413544739589465e-05,-0.0002872636165145437,0.00015787518124010802,8.758024202748516e-06,0.03859649122807018,-0.26226534183688716,11
428,1,test,1.4460229988139892,0.6437040590313617,0.9021195608784244,2.3353610872864428,1.0395971657595702,1.456944267334169,4.24619377289423,2.015485960473871,2.52347549414855,6.8577026191343435,3.255057138042308,4.075472159563855,1.6026593669485067,0.6568845285691024,0.9572946443812888,2.3396487108737323,0.9589555161592735,1.397510429753706,4.966221885154195,2.3914142194917885,3.0595395726148302,7.249958956429482,3.4911156488931216,4.466481127904862,1.511626177559807,0.6565717039944912,0.9363044908126106,2.3375662539584647,1.0153170680327186,1.4478935424937278,4.5340980509614415,2.182595579151876,2.756395752748163,7.011491831383673,3.37514780281218,4.262467658888912,0.44723618090452266,-0.0027638190954772934,-0.0027638190954772934,0.29145728643216084,-0.0035427135678391952,-0.0035427135678391952,0.20100502512562812,-0.003994974874371837,-0.003994974874371837,0.34693877551020413,0.10676410302112116,0.16609811079857173,0.3128654970760234,0.36180904522613067,0.10616994748176978,0.1598057063279671,0.3232323232323232,0.3511705685618729,0.11076990078224014,0.1665209578833412,0.3221476510067114,11.0,0.0,0.0,17.0,0.0,0.0,23.0,0.0,0.0,0.00040630082959952114,0.00024523990557842525,0.00017460424922009099,-0.07336474365655121,-0.07935400544870674,-0.08143504898255483,0.043731778425655975,-0.2734670075127457,15
227,1,test,1.8020376636382072,0.8139910859620502,1.1242520734619585,3.14901531120616,1.4224288673882288,1.9646021081708973,6.061987178899294,3.3760046927034466,4.092475584916115,10.5931695146422,5.8994829478555175,7.151497739297858,1.5675563720402308,0.6454565747662916,0.9306108063610496,2.468592711874379,1.0164670468760497,1.4655288289150388,4.794916873185214,2.2803519463375097,2.9042198324924806,7.551050193992462,3.5911054273031646,4.573574539358237,1.7532286608833774,0.7669593620202266,1.0841809864580747,2.9383720573464425,1.2854067519892067,1.817063105795656,5.7732123625826794,3.0919993765304175,3.820835226235087,9.675774909356447,5.182121860106846,6.403634457377241,0.4120603015075377,-0.0029396984924623393,-0.0029396984924623393,0.26633165829145733,-0.0036683417085426884,-0.0036683417085426884,0.18592964824120606,-0.004070351758793889,-0.004070351758793889,0.32463768115942027,0.08440613267895714,0.13597687959539284,0.33139534883720934,0.31658291457286436,0.08851273913426783,0.13294351557453377,0.303030303030303,0.3177257525083612,0.08233343197413756,0.13196379477754916,0.3221476510067114,17.0,-7.0,-7.0,21.0,-6.0,-6.0,32.0,-14.0,-14.0,-0.00037581212586377464,-0.00012298636971105737,-0.00018466089326732855,-0.03309442415685737,-0.035143204751254764,-0.032423797825089196,0.03768115942028986,-0.2785343210647309,13
478,1,test,1.9989527773768063,0.9151432265646755,1.2619848628021564,3.4099782672898464,1.561126680610329,2.1527977071330904,7.381322162503201,4.4254033103107755,5.291732078729391,12.591667218387814,7.549217411706617,9.027072369597196,2.253532278805543,1.0101152155579534,1.4062097046209658,3.24249248748999,1.4534031878531704,2.02332331600139,9.521308423527866,6.05386671157169,7.187917423954755,13.699724350399809,8.710599584995236,10.342327228711879,2.0624636700170975,0.9239984312361029,1.2852783066333306,3.4184480718515426,1.5314891125460268,2.130295535856349,7.865323521685171,4.743350318670998,5.689982674996942,13.03644782599752,7.861906605532042,9.430910511044654,0.5728643216080402,-0.0021356783919597166,-0.0021356783919597166,0.4321608040201005,-0.002839195979899567,-0.002839195979899567,0.31155778894472363,-0.003442211055276312,-0.003442211055276312,0.37106918238993714,0.11518221221725267,0.16395621167864005,0.35962145110410093,0.3919597989949749,0.10624551328068921,0.17159252019697824,0.4242424242424242,0.3712374581939799,0.11414229959631716,0.16322855941756165,0.3657718120805369,20.0,-8.0,-8.0,27.0,-13.0,-13.0,36.0,-13.0,-13.0,0.0001471761157513088,0.00017002123099356351,0.00021960941817009063,-0.031143088668964758,-0.03369871870760388,-0.03599392401433388,0.031446540880503145,-0.47207713279389385,10
5,1,test,1.991136730780976,0.9510571608167122,1.2948068777801907,3.4381118705410643,1.6421980789257515,2.2357534908254224,7.323854282916445,4.494412138911498,5.317478797876152,12.646158327023427,7.760537730542835,9.181733576456958,2.1590440841214535,0.9946182553647827,1.366923815645845,3.373506381439771,1.554091024007473,2.135818461946633,8.662852740763737,5.458770077937422,6.454779566297084,13.53570740744334,8.529328246777222,10.085593072339194,1.991136730780976,0.9510571608167122,1.2948068777801907,3.4381118705410643,1.6421980789257515,2.2357534908254224,7.323854282916445,4.494412138911498,5.317478797876152,12.646158327023427,7.760537730542835,9.181733576456958,0.6080402010050252,-0.001959798994974782,-0.001959798994974782,0.39698492462311563,-0.0030150753768843908,-0.0030150753768843908,0.27638190954773867,-0.0036180904522613577,-0.0036180904522613577,0.371841155234657,0.08535466874817055,0.15455424046875066,0.322463768115942,0.3668341708542714,0.07360108814750443,0.14479744297447172,0.33333333333333337,0.371841155234657,0.08535466874817055,0.15455424046875066,0.322463768115942,24.0,-15.0,-15.0,31.0,-14.0,-14.0,41.0,-19.0,-19.0,0.00028099287189671605,0.0003776122894763604,0.00012435130532550715,-0.009574984471644399,-0.009293725024148713,-0.009586462877371638,0.036101083032490974,0.42039038572777215,10
378,1,test,2.303830574988256,1.0448064736020748,1.4414283812106783,3.497525173427767,1.586156978059108,2.188282464739527,10.012462579290135,6.490479867646251,7.643618291856875,15.200267024518183,9.853422804250526,11.604042277274942,2.3016483111017365,1.013899124738395,1.4320666468909617,3.089460820270787,1.3609384224676442,1.922237109920754,9.99063656750866,6.3660175420321785,7.604724035388758,13.410250426186122,8.544989989304938,10.207683268978199,2.303830574988256,1.0448064736020748,1.4414283812106783,3.497525173427767,1.586156978059108,2.188282464739527,10.012462579290135,6.490479867646251,7.643618291856875,15.200267024518183,9.853422804250526,11.604042277274942,0.5577889447236181,-0.00221105527638199,-0.00221105527638199,0.42713567839195976,-0.002864321608040288,-0.002864321608040288,0.3266331658291457,-0.0033668341708542604,-0.0033668341708542604,0.38013698630136983,0.1066327127970963,0.18537616625581177,0.3917525773195877,0.38190954773869346,0.0987015276885681,0.17823675975872688,0.398989898989899,0.38013698630136983,0.1066327127970963,0.18537616625581177,0.3917525773195877,23.0,-12.0,-12.0,33.0,-17.0,-17.0,41.0,-16.0,-16.0,0.00026136543627334764,-4.0788243920628565e-05,5.390888616943194e-05,-0.03493030498182659,-0.03359613490982838,-0.03321492430118944,0.9623287671232876,0.416850467033315,281
102,1,test,1.3882460935842877,0.5995574428832052,0.8128349504841123,2.3724017749515527,1.0245958178849142,1.3890700562263703,4.00781455333567,1.8073056557454041,2.2299532212449216,6.849035199127624,3.088541120616559,3.8108120776204295,1.449674116581548,0.5787544390603635,0.8540972084497815,2.14766535789859,0.8574139837931312,1.2653291977033803,4.26172546318416,1.872618411660656,2.447648264161491,6.313667352865421,2.774249498756527,3.6261455765355417,1.413579395454412,0.5860685751982947,0.8412961333431196,2.2799667668619548,0.9452718954811203,1.3569292473276122,4.110642718397812,1.8230253618598975,2.3383336370520373,6.630068900641632,2.9403634868708024,3.771505866212963,0.4522613065326633,-0.0027386934673366836,-0.0027386934673366836,0.27638190954773867,-0.0036180904522613577,-0.0036180904522613577,0.15577889447236182,-0.004221105527638214,-0.004221105527638214,0.33333333333333337,0.09674461256304456,0.1407624633431085,0.33977900552486184,0.3668341708542714,0.10868880744575005,0.1681697301197138,0.38888888888888884,0.34782608695652173,0.10074762284967698,0.15872708806886882,0.3557046979865772,14.0,-5.0,-5.0,19.0,-10.0,-10.0,26.0,-10.0,-10.0,-8.875660128588889e-05,7.936160098656246e-05,-1.3434720904859056e-05,-0.05641898553785474,-0.06723659886747502,-0.063979230941408,0.027548209366391185,-0.23254616177327006,10
