idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,elbow_frac,elbow_delta_slope,elbow_idx,nei_delta
76,1,test,1.230407465997319,0.53564065791723,0.7592140317489604,2.3905059339376487,1.04067327823919,1.4750444045408375,3.4226238550441845,1.4193819753938208,1.8207190340819437,6.6496692040858445,2.757656409336566,3.537396980502062,1.1660703090496713,0.40357010638390056,0.6187441124323304,2.0822684090172703,0.7206609042569654,1.1049002007720188,3.2093560484234156,1.06572701525007,1.4807312181490482,5.730992943613241,1.9030839558036958,2.6441628895518714,1.2933175240039718,0.5316466648699072,0.7755004527025761,2.323324893420309,0.9550538889878573,1.3931145856932505,3.644858425640007,1.5030064603379718,1.9664985177036645,6.5476498664191745,2.7000116053975542,3.532632067731134,0.3467336683417085,-0.003266331658291488,-0.003266331658291488,0.1959798994974874,-0.004020100502512558,-0.004020100502512558,0.1306532663316583,-0.004346733668341707,-0.004346733668341707,0.3421828908554573,0.1153787671441171,0.17633401941286653,0.334319526627219,0.31658291457286436,0.09853780179090943,0.15130745547436686,0.303030303030303,0.3377926421404682,0.11074756701525956,0.16315415493245933,0.3489932885906041,18.0,-6.0,-6.0,24.0,-9.0,-9.0,31.0,-11.0,-11.0,-2.332563540857483e-05,2.8286436273453765e-05,5.423764869761247e-06,-0.12352413509077831,-0.12497128405244329,-0.12354829705446058,0.029498525073746312,0.30785295717436717,10,-0.6296460628509521
27,1,test,1.6965934326595158,0.7154360699755536,1.014992100356483,2.768126126970789,1.1672904299601141,1.6560397426868936,5.455331747045024,2.787789977695419,3.478290648515374,8.90080442938925,4.548499437292526,5.675105794946138,1.817357160773211,0.7016383986208503,1.0359894314273723,2.5778115755648385,0.9952317710934047,1.4694885552161312,6.15556875527338,3.1038078739812125,3.971110784787802,8.731303198969334,4.402564360257038,5.632781255018159,1.7363825839993343,0.741847704505661,1.0603959611384117,2.8006170709666685,1.196528555654292,1.7103160663522772,5.676770993364717,2.9733043823196184,3.7107993013276417,9.156082247362447,4.7956522295477715,5.98516016343168,0.44723618090452266,-0.0027638190954772934,-0.0027638190954772934,0.31155778894472363,-0.003442211055276312,-0.003442211055276312,0.24623115577889443,-0.0037688442211055717,-0.0037688442211055717,0.34627831715210355,0.10194174757281549,0.15210355987055013,0.3441558441558441,0.3266331658291457,0.08291457286432158,0.13232830820770514,0.3484848484848485,0.3411371237458194,0.09698996655518399,0.14381270903010035,0.3523489932885906,15.0,-5.0,-5.0,25.0,-11.0,-11.0,30.0,-10.0,-10.0,0.000485619885376569,7.871309650295266e-05,0.00020826901348880946,-0.03681735391277652,-0.04077360077241465,-0.03876471813803395,0.032362459546925564,0.2376685124684924,10,-0.7180267572402954
238,1,test,1.830501230924272,0.8028929812792216,1.1279212351121115,3.050835384873787,1.3381549687987027,1.8798687251868524,6.2370120585045035,3.442637668687117,4.218057169564464,10.395020097507507,5.737729447811863,7.030095282607441,1.7143243913576143,0.6781887254374221,0.9802900031972067,2.57793141557536,1.01983266983071,1.4741203055597094,5.552922642240827,2.734617570342379,3.4694534438936895,8.350259612392222,4.112206872695308,5.217223223900286,1.889442510584608,0.826360158683394,1.1680779419588145,3.1666634255607953,1.3849611598045706,1.957672528422594,6.615679481507214,3.7203979554827575,4.558440942163834,11.087730974593095,6.235303836004621,7.639845154464525,0.4623115577889447,-0.002688442211055242,-0.002688442211055242,0.35678391959798994,-0.0032160804020100464,-0.0032160804020100464,0.21105527638190957,-0.0039447236180903955,-0.0039447236180903955,0.39811912225705326,0.14146810504265572,0.20312433602139113,0.4056603773584906,0.37688442211055273,0.12375159003035219,0.18322832862140415,0.38383838383838387,0.40802675585284276,0.14759269909157402,0.2122536746515079,0.42281879194630867,17.0,-3.0,-3.0,25.0,-5.0,-5.0,29.0,-3.0,-3.0,-0.0007435760914921929,9.471653297360051e-05,-2.793237425669016e-05,-0.06830094050582591,-0.07494762041552594,-0.07331813243654572,0.9655172413793104,0.3604336220934593,308,-0.7241452932357788
326,1,test,1.589940122693151,0.7257678730330502,0.9854363369549124,3.2529809406825394,1.4849043839067007,2.016180091700855,4.903455313837841,2.530414326537908,3.0731115729989575,10.03235684900156,5.1771695416522725,6.287515632112809,1.7962464136090115,0.7890804759701662,1.1136017451331826,3.0189015354773305,1.326185673899439,1.8715995716524079,6.026982154730964,3.289151328409009,4.047877261279378,10.129381772657084,5.527985425897494,6.8031550609737454,1.7138515572705706,0.7589702378943695,1.071954843134637,3.254148526463109,1.4410827301791826,2.035357297091083,5.550297651774251,2.951935462400027,3.65021627690098,10.538539845140985,5.604940751392458,6.930790399179077,0.5276381909547738,-0.002361809045226204,-0.002361809045226204,0.33668341708542715,-0.0033165829145728187,-0.0033165829145728187,0.2211055276381909,-0.003894472361809065,-0.003894472361809065,0.3380281690140845,0.10033477942196078,0.15034488455660644,0.29378531073446323,0.36180904522613067,0.08361355650432611,0.1564668081643611,0.33838383838383834,0.35785953177257523,0.10076437317491249,0.16097410351896013,0.3221476510067114,20.0,-4.0,-4.0,28.0,-5.0,-5.0,37.0,-10.0,-10.0,0.0005377953664169416,0.0002582819680941102,9.966674857451317e-05,-0.08078894916481172,-0.08159287396265036,-0.08306813958769954,0.952112676056338,0.1772732772344314,338,-0.5241012573242188
249,1,test,2.4979782086215585,1.1672777960082261,1.6044698451256036,4.137755314894606,1.9335276375596382,2.657710786404374,12.157888381501316,8.374195775787726,9.714200406157513,20.138833515370276,13.8713672359674,16.091006807745572,2.509972914426454,1.1288712652262667,1.5811804333060255,3.8614967914253135,1.7367250234250253,2.4325852820092697,12.30459677893586,8.325313791324538,9.773146221957694,18.93014889067055,12.808175063576211,15.035609572242603,2.4979782086215585,1.1672777960082261,1.6044698451256036,4.137755314894606,1.9335276375596382,2.657710786404374,12.157888381501316,8.374195775787726,9.714200406157513,20.138833515370276,13.8713672359674,16.091006807745572,0.6633165829145728,-0.0016834170854271857,-0.0016834170854271857,0.457286432160804,-0.0027135678391959628,-0.0027135678391959628,0.3417085427135679,-0.003291457286432098,-0.003291457286432098,0.39033457249070636,0.0985130111524164,0.1598513011152417,0.3768656716417911,0.3919597989949749,0.09547738693467345,0.15577889447236182,0.38383838383838387,0.39033457249070636,0.0985130111524164,0.1598513011152417,0.3768656716417911,23.0,0.0,0.0,35.0,0.0,0.0,45.0,0.0,0.0,-7.136614302415862e-05,0.00010098567398229015,1.4822131849880884e-05,-0.00017638486674709242,0.00021985158203818855,6.483093570341936e-05,0.04460966542750929,0.24761929319442133,12,-0.21937251091003418
175,1,test,1.4551221026428973,0.6453974535209547,0.8977873215721943,2.8609180323148493,1.2689170272615382,1.765141174616518,4.285006644296817,2.037717535850027,2.538993857151344,8.424758826075099,4.0063599009932735,4.991920125924677,1.643703449156365,0.6640749948885577,0.9770392868660165,2.6945958182891228,1.088647532604193,1.6017037489606827,5.174296817054369,2.510830358583959,3.226567653852592,8.482453798449786,4.116115341940916,5.289455170250151,1.367410947374574,0.5821939147234366,0.8305411805464179,2.7531764041098805,1.1722025128659799,1.6722305648585596,3.9251750437534025,1.732292227491072,2.2145312849105405,7.903037000845777,3.4878366996464534,4.458787821967531,0.42713567839195976,-0.002864321608040288,-0.002864321608040288,0.29145728643216084,-0.0035427135678391952,-0.0035427135678391952,0.19095477386934678,-0.004045226130653168,-0.004045226130653168,0.32564841498559083,0.09831028548918797,0.1457852673805078,0.3063583815028902,0.3266331658291457,0.09104419339806802,0.1363159705036031,0.3282828282828283,0.3010033444816054,0.0823055147654117,0.12747720432587684,0.27181208053691275,15.0,0.0,0.0,23.0,-3.0,-3.0,27.0,-2.0,-2.0,0.00011493573553910245,-0.00013966578814967535,0.0003258788262699982,-0.06140387802679381,-0.06085448428599527,-0.06706082753116505,0.9510086455331412,-0.3938594652228024,330,-0.6224685907363892
10,1,test,1.637972932719905,0.6858401365382718,0.9874668868127725,3.266422766993764,1.3676928304222513,1.969192687074308,5.1447302209405805,2.55349988479001,3.2282197950206353,10.25954921966639,5.092153840017287,6.437670870302778,1.778363950651876,0.7583569456382862,1.0544481066286708,3.092806870698915,1.318881644588324,1.833822794136819,5.9201628126341,3.1469486223347523,3.8576689902320545,10.295935326320174,5.4729541257995695,6.70898954822966,1.6261740665869577,0.6758129419700857,0.9583457872085649,3.2962987836222117,1.3698910985880117,1.9425928119092533,5.084384940784947,2.4977413494362635,3.134387072518444,10.306185690780298,5.062989221830264,6.353487309159008,0.507537688442211,-0.0024623115577889765,-0.0024623115577889765,0.3316582914572864,-0.0033417085427135396,-0.0033417085427135396,0.1959798994974874,-0.004020100502512558,-0.004020100502512558,0.3771929824561403,0.11988304093567248,0.17777949272006988,0.3782991202346041,0.3668341708542714,0.10050251256281406,0.16415410385259632,0.40909090909090906,0.36454849498327757,0.11538461538461542,0.17391304347826086,0.3657718120805369,21.0,-12.0,-12.0,26.0,-16.0,-16.0,35.0,-22.0,-22.0,-0.0003229077574211015,9.695782599492934e-05,0.00022211395206589757,-0.033382999695509064,-0.03780258931570302,-0.03927139078397701,0.029239766081871343,0.2397958936694359,10,-0.39446794986724854
38,1,test,2.7145320385303475,1.2693348881709199,1.7435771643135904,4.228955175815699,1.977490141571538,2.716309687562225,15.097543349973378,10.854854842036215,12.457078782468086,23.520383324169053,16.91072122759326,19.406817471634493,2.5371586522153486,1.102890238054826,1.5501890787489607,3.731115665022571,1.6218974089041556,2.2796898216896477,12.643694750491544,8.447121018934432,9.960603521513125,18.59366875072286,12.422236792550637,14.64794635516636,2.7145320385303475,1.2693348881709199,1.7435771643135904,4.228955175815699,1.977490141571538,2.716309687562225,15.097543349973378,10.854854842036215,12.457078782468086,23.520383324169053,16.91072122759326,19.406817471634493,0.5577889447236181,-0.00221105527638199,-0.00221105527638199,0.42211055276381915,-0.0028894472361808976,-0.0028894472361808976,0.35678391959798994,-0.0032160804020100464,-0.0032160804020100464,0.4,0.10896785109983087,0.18354002254791435,0.435374149659864,0.3869346733668342,0.11124545030919009,0.1849313344686706,0.4242424242424242,0.4,0.10896785109983087,0.18354002254791435,0.435374149659864,18.0,-6.0,-6.0,31.0,-15.0,-15.0,36.0,-12.0,-12.0,-0.00025140114745058164,-0.0001000509958758422,-0.0002712996358712368,-0.00035656283511986686,0.00011913993074319507,-2.6287545484393604e-05,0.03389830508474576,-0.35596192388156705,10,-0.23905515670776367
467,1,test,2.214196520233681,1.0057432257906822,1.4021633395650999,3.708112244728695,1.6843169684928294,2.348201255416252,9.154051061174828,5.805749252773056,6.901568022057044,15.330278283172303,9.72288127874042,11.558047651396738,2.3933103649548837,1.0724014066186534,1.4812189971183423,3.572105022320722,1.600599114356199,2.21077462256469,10.949681454814964,7.202855916601358,8.46015785240971,16.342808141514872,10.750531218807996,12.627101272253299,2.214196520233681,1.0057432257906822,1.4021633395650999,3.708112244728695,1.6843169684928294,2.348201255416252,9.154051061174828,5.805749252773056,6.901568022057044,15.330278283172303,9.72288127874042,11.558047651396738,0.6281407035175879,-0.0018592964824121205,-0.0018592964824121205,0.457286432160804,-0.0027135678391959628,-0.0027135678391959628,0.3517587939698492,-0.0032412060301507672,-0.0032412060301507672,0.4368231046931408,0.15033661820665434,0.22553859088761863,0.42391304347826086,0.40703517587939697,0.11881462450095082,0.1816595498359913,0.43434343434343436,0.4368231046931408,0.15033661820665434,0.22553859088761863,0.42391304347826086,14.0,-3.0,-3.0,25.0,-10.0,-10.0,34.0,-11.0,-11.0,0.0005503556336250009,0.00015709081179748275,5.600879414327274e-05,-0.020047199348054434,-0.018447133235657276,-0.02021351444425079,0.9566787003610109,0.397271126746129,265,-0.3153109550476074
130,1,test,1.9877024990025747,0.8925730361789144,1.24960173930437,3.216057975914278,1.4441631147164458,2.0218275332565088,7.298745608978177,4.3091759125028215,5.20678700193602,11.809206378571432,6.972149791015802,8.424464362682997,1.9331122979801236,0.8223863136452556,1.1558781086855767,2.9740189199694207,1.265209713300393,1.7782740133624255,6.910985852305038,3.874423761380851,4.735538790025698,10.632285926623135,5.960651940585924,7.285444292347227,1.9877024990025747,0.8925730361789144,1.24960173930437,3.216057975914278,1.4441631147164458,2.0218275332565088,7.298745608978177,4.3091759125028215,5.20678700193602,11.809206378571432,6.972149791015802,8.424464362682997,0.507537688442211,-0.0024623115577889765,-0.0024623115577889765,0.36180904522613067,-0.0031909547738693256,-0.0031909547738693256,0.24623115577889443,-0.0037688442211055717,-0.0037688442211055717,0.3693379790940766,0.1045296167247386,0.16144018583042974,0.39860139860139865,0.3668341708542714,0.10552763819095479,0.15577889447236182,0.4040404040404041,0.3693379790940766,0.1045296167247386,0.16144018583042974,0.39860139860139865,12.0,-2.0,-2.0,21.0,-10.0,-10.0,25.0,-10.0,-10.0,-0.0003419774539951714,-0.0002492928984854559,-5.7964020770272556e-05,-0.00497665250179935,-0.004093325001585768,-0.004812306207469419,0.9616724738675958,0.28638088419303354,276,-0.7179619073867798
