idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,elbow_frac,elbow_delta_slope,elbow_idx
208,1,test,3.0917608482202446,1.301775406223395,1.8078658050677219,5.243337111016789,2.2076892854080965,3.065971248360464,22.015810365325073,16.02644509277515,18.405134254403215,37.336754420726734,27.179351326928618,31.213385577642878,3.1864734600536786,1.1752581347674633,1.7215571963762375,5.3554175799221495,1.9752237559117036,2.8933734392877946,24.202924187419796,16.73053096785794,19.875743304504233,40.67718350826857,28.118539441778054,33.40461059580544,3.0917608482202446,1.301775406223395,1.8078658050677219,5.243337111016789,2.2076892854080965,3.065971248360464,22.015810365325073,16.02644509277515,18.405134254403215,37.336754420726734,27.179351326928618,31.213385577642878,0.6934673366834171,-0.0015326633165829717,-0.0015326633165829717,0.5376884422110553,-0.0023115577889447625,-0.0023115577889447625,0.4522613065326633,-0.0027386934673366836,-0.0027386934673366836,0.4325259515570934,0.12337223825830235,0.1724569066779219,0.4375,0.44221105527638194,0.11389025327136937,0.1667519567788861,0.4545454545454546,0.4325259515570934,0.12337223825830235,0.1724569066779219,0.4375,17.0,-4.0,-4.0,30.0,-9.0,-9.0,38.0,-9.0,-9.0,0.0007731251701162878,0.0002303367165610052,-1.936696168253987e-05,-0.0003149833039568506,0.00014238108104080993,-5.260203672641239e-06,0.06228373702422145,-0.2887497928562953,18
84,1,test,3.3405663799494505,1.5404672650315228,2.1197745463851523,5.827835912846596,2.6874456091039067,3.6980849423349667,28.235113979974063,22.184866875533046,24.845243095252314,49.25799775854171,38.702947103511455,43.34414692160866,3.58433266201211,1.623706357414327,2.2561961010991896,5.430807063654711,2.4601611475974647,3.418478941059378,36.02930596987794,28.92553117086654,32.25530176576579,54.58985753011809,43.82656238010082,48.87166934206938,3.2545500100655698,1.4923053164416114,2.056613458476113,5.709736859764158,2.618079502529143,3.608093786800199,25.90795359220441,20.08245440226285,22.59468049608501,45.452550161762126,35.232376144320796,39.63979034400879,0.7437185929648241,-0.0012814070351758744,-0.0012814070351758744,0.6331658291457287,-0.0018341708542712887,-0.0018341708542712887,0.5226130653266332,-0.002386934673366814,-0.002386934673366814,0.44375,0.12549726989079557,0.1953092515592515,0.39811912225705326,0.4623115577889447,0.13399075578393216,0.20521639919128198,0.41414141414141414,0.4347826086956522,0.11758728315308131,0.18784156308942312,0.3825503355704698,24.0,0.0,0.0,35.0,0.0,0.0,44.0,0.0,0.0,0.0012776390001816014,0.00044456529415333327,0.00015558527078888984,-0.0348746615484945,-0.03769845730626731,-0.03714939460830635,0.034375,0.6375031990511307,11
210,1,test,2.808465008607168,1.1092104396903681,1.567237599327964,5.77199863732148,2.2796656275844986,3.221009790029864,16.58444169540958,11.114573233746473,13.124584174550813,34.08458876050435,22.84283456015379,26.973838640947992,2.8348030750475934,1.0470088456668256,1.5276883714202125,4.930092304430597,1.8208849489857837,2.6568493416003696,17.027046919820563,11.050791251807361,13.331551205176876,29.612255512731416,19.218767394447585,23.185306443785873,2.9120759816472748,1.1615504002285033,1.6478886191588369,5.600146118552451,2.2337507696701984,3.1690165753054553,18.39494652747815,12.637318544280518,14.854731871857005,35.374897168227214,24.302535662077922,28.566792061263474,0.6381909547738693,-0.0018090452261306789,-0.0018090452261306789,0.5025125628140703,-0.0024874371859296973,-0.0024874371859296973,0.37688442211055273,-0.003115577889447274,-0.003115577889447274,0.39520958083832336,0.07981346723593175,0.12528926211322378,0.3783783783783784,0.3919597989949749,0.058626465661641536,0.10815345508846408,0.36868686868686873,0.4013377926421404,0.08581191618137252,0.12658807072890355,0.3926174496644296,22.0,0.0,0.0,32.0,1.0,1.0,42.0,0.0,0.0,-0.0005427787932682458,0.0002336998319283648,0.00016985499500763061,-0.020277619518459744,-0.023311087975922185,-0.023208264967924386,0.029940119760479042,0.5891477002751252,10
221,1,test,3.026553600926862,1.3026684827629142,1.8196708635077163,5.372580356674902,2.312429259342451,3.230184964806597,20.626024442504825,15.019757223784236,17.282977205644,36.61424457249377,26.662290929794494,30.679841193450883,2.893242677851538,1.2030398618036777,1.6891077247696304,4.743020783363177,1.972196494760127,2.769029056999394,18.05175080986814,12.631170835607922,14.717876936858834,29.593034114537932,20.70683743542282,24.127667109604644,3.026553600926862,1.3026684827629142,1.8196708635077163,5.372580356674902,2.312429259342451,3.230184964806597,20.626024442504825,15.019757223784236,17.282977205644,36.61424457249377,26.662290929794494,30.679841193450883,0.6432160804020101,-0.001783919597989958,-0.001783919597989958,0.5577889447236181,-0.00221105527638199,-0.00221105527638199,0.42713567839195976,-0.002864321608040288,-0.002864321608040288,0.4280936454849499,0.09030100334448166,0.15607580824972134,0.4261744966442953,0.4321608040201005,0.09798994974874375,0.16415410385259632,0.4191919191919192,0.4280936454849499,0.09030100334448166,0.15607580824972134,0.4261744966442953,16.0,0.0,0.0,28.0,0.0,0.0,33.0,0.0,0.0,-0.0005649219907618666,-2.3317384785116567e-06,-0.00024283980754112637,0.0005070350734097673,0.00010364583054389698,-4.030577335889518e-05,0.9632107023411371,0.3108767766265839,288
128,1,test,3.028064292921147,1.319990560407612,1.8325030963795284,5.167654631631897,2.2526785012944273,3.127325643521949,20.657207560617003,15.138886090680847,17.351795324608347,35.25331829207093,25.835823567928387,29.612345314451364,3.070903371925929,1.2513819166869942,1.798211039244219,4.688402094543403,1.910506743033579,2.7453603652583496,21.561371817724556,15.39246617178745,17.990919338354367,32.91812491255657,23.499948353873968,27.467052424968497,3.028064292921147,1.319990560407612,1.8325030963795284,5.167654631631897,2.2526785012944273,3.127325643521949,20.657207560617003,15.138886090680847,17.351795324608347,35.25331829207093,25.835823567928387,29.612345314451364,0.6884422110552764,-0.0015577889447235815,-0.0015577889447235815,0.5376884422110553,-0.0023115577889447625,-0.0023115577889447625,0.44221105527638194,-0.0027889447236180143,-0.0027889447236180143,0.4154929577464789,0.0938760860417337,0.1531978757792658,0.40636042402826855,0.42713567839195976,0.103827407715268,0.15334602897626692,0.4242424242424242,0.4154929577464789,0.0938760860417337,0.1531978757792658,0.40636042402826855,21.0,-9.0,-9.0,32.0,-15.0,-15.0,40.0,-14.0,-14.0,3.701460619139048e-05,0.00013879526440874958,-1.4310338510015002e-05,-0.0002803336946550772,0.00016174870629104277,1.2262581172706177e-05,0.035211267605633804,0.22685285375926426,10
173,1,test,3.1995835764933442,1.3796256053245675,1.9074243571125182,5.203718344186977,2.2437866987696258,3.102184668710469,24.52231640163739,18.35071734229998,20.881677388208423,39.88244865321246,29.845122710553817,33.96140937862469,3.36636229376098,1.443505778085047,2.012966288993107,4.61145519693285,1.9774051754589692,2.7574880671138455,28.972940082132673,22.132469583107763,25.10239244718871,39.6889590166201,30.318451483709268,34.38683896875166,3.1995835764933442,1.3796256053245675,1.9074243571125182,5.203718344186977,2.2437866987696258,3.102184668710469,24.52231640163739,18.35071734229998,20.881677388208423,39.88244865321246,29.845122710553817,33.96140937862469,0.7185929648241206,-0.0014070351758793676,-0.0014070351758793676,0.5628140703517588,-0.0021859296482411583,-0.0021859296482411583,0.4623115577889447,-0.002688442211055242,-0.002688442211055242,0.43050847457627117,0.11694915254237281,0.16158192090395473,0.41156462585034015,0.42211055276381915,0.1080402010050252,0.1624790619765495,0.40909090909090906,0.43050847457627117,0.11694915254237281,0.16158192090395473,0.41156462585034015,23.0,-5.0,-5.0,32.0,-3.0,-3.0,41.0,-3.0,-3.0,0.0009327544049259898,0.0002690469300168064,7.4569693944446e-05,-0.00035656283511986686,0.00011913993074319507,-2.6287545484393604e-05,0.9593220338983051,0.3001356885994013,283
288,1,test,2.8187214263705505,1.2087252619881508,1.6743189137841288,4.832093873778086,2.072100449122544,2.870260995058506,16.75541394042551,11.752621901425918,13.614849591944687,28.723566755015156,20.147351831015857,23.33974215761946,3.009514359373543,1.1435132045289198,1.655827472218351,4.777006919640544,1.8151003246490784,2.6282975749497632,20.277549931604188,13.815147417616284,16.405876258759584,32.18658719302252,21.928805424787747,26.041073426602512,2.8187214263705505,1.2087252619881508,1.6743189137841288,4.832093873778086,2.072100449122544,2.870260995058506,16.75541394042551,11.752621901425918,13.614849591944687,28.723566755015156,20.147351831015857,23.33974215761946,0.6582914572864322,-0.0017085427135676845,-0.0017085427135676845,0.5125628140703518,-0.0024371859296482556,-0.0024371859296482556,0.40703517587939697,-0.00296482412060306,-0.00296482412060306,0.4147157190635451,0.10252874076638319,0.16221293819591442,0.3926174496644296,0.40703517587939697,0.08122063953854486,0.13324552646370413,0.398989898989899,0.4147157190635451,0.10252874076638319,0.16221293819591442,0.3926174496644296,22.0,0.0,0.0,31.0,0.0,0.0,38.0,0.0,0.0,0.0006065622298229975,-5.582261518994186e-08,0.0001943312380111906,0.0005070350734097673,0.00010364583054389698,-4.030577335889518e-05,0.033444816053511704,0.3130006537305851,10
404,1,test,3.7145734542014264,1.6432357156653965,2.26008331996223,5.863002425009819,2.5936477241853826,3.567266645562006,41.04107745117224,33.10564589797242,36.75877794018281,64.77834927428268,52.25323568761053,58.019260316396654,3.8180111029639314,1.5664392989029596,2.2277821777987006,5.266222210984733,2.1606059295213234,3.0728030038602765,45.51359638486216,36.01093596059536,40.608724736497344,62.77737432394781,49.67025649737292,56.012034119306676,3.7145734542014264,1.6432357156653965,2.26008331996223,5.863002425009819,2.5936477241853826,3.567266645562006,41.04107745117224,33.10564589797242,36.75877794018281,64.77834927428268,52.25323568761053,58.019260316396654,0.8040201005025126,-0.0009798994974873354,-0.0009798994974873354,0.6884422110552764,-0.0015577889447235815,-0.0015577889447235815,0.5376884422110553,-0.0023115577889447625,-0.0023115577889447625,0.4329896907216495,0.08822125161358774,0.15298969072164947,0.4620689655172414,0.4371859296482412,0.07878993967330383,0.1500406875781244,0.4949494949494949,0.4329896907216495,0.08822125161358774,0.15298969072164947,0.4620689655172414,24.0,-15.0,-15.0,35.0,-22.0,-22.0,46.0,-24.0,-24.0,0.0004523399234156808,-3.274511245841397e-05,-3.7587040229910235e-05,-0.00032884314767755995,0.00013463403094249315,-1.2269317609892028e-05,0.048109965635738834,-0.4257935768726792,14
358,1,test,3.1657239718544754,1.270163326065903,1.6075693766416228,5.8354358928193095,2.341314886757425,2.96326152376336,23.705900226329998,17.04962105272856,18.955852834553642,43.69751193793548,31.427872908255416,34.94166421115879,3.070516881032206,1.0405888558845362,1.542941261003476,5.07523451410282,1.7199815799744402,2.550316133890043,21.553040154020614,13.939501798260489,16.94604598613363,35.62485975871176,23.04049884009998,28.009993365510127,3.077762153635057,1.2632267290491255,1.7750389500969326,5.52891404844621,2.2692695731421413,3.1886927247250285,21.70976487643406,15.571541029384495,18.030462349334645,38.99957762233664,27.972828196499094,32.39005212455325,0.6030150753768844,-0.0019849246231156137,-0.0019849246231156137,0.5125628140703518,-0.0024371859296482556,-0.0024371859296482556,0.42713567839195976,-0.002864321608040288,-0.002864321608040288,0.43107769423558895,0.10567093578752884,0.14466518201662515,0.44723618090452266,0.42211055276381915,0.10130854775128784,0.1566681487571413,0.4494949494949495,0.4347826086956522,0.12092618131668731,0.18227982782802155,0.4530201342281879,25.0,-16.0,-16.0,35.0,-26.0,-26.0,43.0,-32.0,-32.0,-0.00015625959890766994,-0.00033660728815879495,-4.370440105403518e-05,-0.034405181955550646,-0.03834556181948212,-0.036974961417297614,0.02506265664160401,-0.490896905533282,10
243,1,test,2.9557355368723637,1.218435048426913,1.7108174630757098,5.6883966936034165,2.3449127347083984,3.292516627051366,19.21585149038536,13.53386737147672,15.743201203756431,36.98145003810013,26.046310790389157,30.298236278927472,3.1182975337732977,1.2342181584106624,1.7522849424208509,5.154210799625286,2.0400300139019216,2.8963387478030596,22.607857747093636,16.027564074973192,18.688167659645956,37.36835991255147,26.491841446236688,30.889533321728855,2.9773564757312023,1.223042461699192,1.7200560439418424,5.653208498223802,2.3222325222136555,3.2659291973579285,19.63584015448765,13.856358416061546,16.119922948398862,37.2832407996601,26.3095412963194,30.607448636200377,0.6733668341708543,-0.001633165829145744,-0.001633165829145744,0.5175879396984925,-0.002412060301507535,-0.002412060301507535,0.40703517587939697,-0.00296482412060306,-0.00296482412060306,0.40327868852459015,0.08085642993211883,0.13065055330103503,0.3782894736842105,0.3919597989949749,0.07366405964660394,0.12150904774288807,0.3787878787878788,0.4046822742474916,0.08581749962311769,0.14216836990933812,0.3825503355704698,23.0,-12.0,-12.0,29.0,-14.0,-14.0,40.0,-17.0,-17.0,0.000800717579134931,0.0001930251987381329,0.00018300841097638855,0.0004833415140721442,8.040468024717029e-05,-6.13331151724239e-05,0.03278688524590164,-0.26910990673190915,10
