idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,elbow_frac,elbow_delta_slope,flat_frac,nei_delta
450,1,test,3.2077134826361404,1.4648737589774785,2.0062466508880066,5.693160353287984,2.5999083934169818,3.5607556452846745,24.72249313886767,19.008947841751407,21.39750258970019,43.87833219348699,33.73773524231376,37.977024463838745,3.511196297316197,1.5909145781565817,2.1941870510691954,5.756059503797045,2.6080566855025933,3.597027952572452,33.4883058008374,26.665425466158474,29.756063350068864,54.898861968585905,43.71381223960405,48.78043172142437,3.2077134826361404,1.4648737589774785,2.0062466508880066,5.693160353287984,2.5999083934169818,3.5607556452846745,24.72249313886767,19.008947841751407,21.39750258970019,43.87833219348699,33.73773524231376,37.977024463838745,0.7336683417085428,-0.0063316582914572095,-0.0063316582914572095,0.5979899497487438,-0.012010050251256232,-0.0020100502512562235,0.4623115577889447,-0.01268844221105525,-0.007688442211055246,0.41947565543071164,0.12601771150547803,0.18161762305213136,0.37593984962406013,0.42713567839195976,0.11134620470774925,0.175048867039706,0.40909090909090906,0.41947565543071164,0.12601771150547803,0.18161762305213136,0.37593984962406013,22.0,-7.0,-7.0,32.0,-6.0,-4.0,40.0,-7.0,-4.0,0.0006812644047229357,0.0007439874907500033,0.00013089339044969708,-0.00016252502302549487,0.00022759863213561715,7.184004964067014e-05,0.09363295880149813,0.062055628998481875,0.5617977528089888,-1.5113937854766846
84,1,test,3.5250708209688684,1.648471236341159,2.2508205720170262,6.092714999205451,2.849209544293361,3.890307161510909,33.95617834054323,27.42492027142298,30.38015905998456,58.6896909589636,47.40109676542242,52.50891689380047,3.7322921816074763,1.6882096877937607,2.3406291026436783,5.78649950636818,2.6173793609205593,3.628882329680122,41.77475382591478,34.052683586502084,37.75322120497579,64.76706019521671,52.79485827364665,58.53212589918728,3.5250708209688684,1.648471236341159,2.2508205720170262,6.092714999205451,2.849209544293361,3.890307161510909,33.95617834054323,27.42492027142298,30.38015905998456,58.6896909589636,47.40109676542242,52.50891689380047,0.778894472361809,-0.0011055276381910506,-0.0011055276381910506,0.6482412060301508,0.0032412060301507672,-0.006758793969849242,0.5025125628140703,-0.012487437185929706,-0.0024874371859296973,0.4301075268817204,0.10810394906418908,0.18219334332987291,0.39568345323741005,0.457286432160804,0.1264593644916311,0.20353017172674726,0.43434343434343436,0.4301075268817204,0.10810394906418908,0.18219334332987291,0.39568345323741005,28.0,-14.0,-14.0,37.0,-8.0,-6.0,45.0,-11.0,-10.0,0.0007266548538648917,0.0003671585471726372,0.00011659967513266323,-0.0002456840853515274,0.00018111633153772289,2.978536601450088e-05,0.1111111111111111,0.0980143651323918,0.0035842293906810036,-1.0901267528533936
204,1,test,3.592863644604841,1.585109861299547,2.0738160124724496,5.914889056838537,2.60954767558921,3.4140988502275693,36.33798615248447,28.891414219233656,31.770113324845184,59.822798163697136,47.56359458799602,52.30276298457046,3.739446425371705,1.6950111532891445,2.360994210769456,5.623227707325872,2.5488889523145026,3.5503672342397827,42.074692234905804,34.349897336350146,38.10593814334714,63.270213887076395,51.65398095691751,57.30216262157464,3.574419258454975,1.66157213917999,2.272023893714559,5.891899876574135,2.738855174472511,3.745094330298724,35.67389748444643,28.901554440070306,31.995800977762958,58.80312772161499,47.63992490121479,52.74033128202685,0.7336683417085428,0.0036683417085427994,0.013668341708542808,0.5879396984924623,-0.012060301507537674,-0.002060301507537776,0.507537688442211,-0.007462311557788981,-0.012462311557788985,0.4521276595744681,0.12145036873781467,0.17451280131444857,0.43733333333333335,0.4623115577889447,0.15654714676137582,0.22191089000931197,0.43939393939393945,0.45150501672240806,0.12763189485262505,0.20790101227301983,0.4261744966442953,23.0,1.0,0.0,35.0,0.0,1.0,45.0,0.0,-2.0,0.00029764447407986457,0.00016197136071018745,0.0001265553744215383,-0.0030171714017583895,-0.003690944376908867,-0.003309829409899656,0.06648936170212766,0.15447245794987077,0.0026595744680851063,-1.1261663436889648
390,1,test,2.4203409919893395,1.0606091881785238,1.2906563269911857,4.783598470016667,2.0962040087113283,2.5508726462703155,11.249694716704944,7.354546218993097,8.155014231534489,22.23406644480836,14.535636159236358,16.117693221759204,2.837841475588441,1.1850889239481424,1.6692199013245612,4.332582405478536,1.8092960670964002,2.548427330266505,17.07886058386176,11.857528532259852,13.861306163328106,26.07459631123933,18.103096995816568,21.162299485997107,2.3841770588869835,1.0359677497881892,1.443258882668585,4.308753720880091,1.8722308731111856,2.608299185545636,10.850129971849045,6.99960571708184,8.287796960038525,19.608668623823576,12.649889850147904,14.977946313322636,0.5879396984924623,-0.002060301507537776,-0.002060301507537776,0.44723618090452266,-0.012763819095477302,-0.012763819095477302,0.38190954773869346,0.0019095477386934512,0.01190954773869346,0.36363636363636365,0.09362441620506134,0.11730205278592376,0.33333333333333337,0.38190954773869346,0.11875165300185131,0.1582033707770908,0.3535353535353535,0.35451505016722407,0.09074209524234933,0.14094441612940423,0.30536912751677847,23.0,-10.0,-10.0,34.0,-9.0,-12.0,40.0,-7.0,-9.0,-5.628789743809278e-06,0.0006743660753863467,-4.223082397460495e-05,-0.03195951995783908,-0.03500828695116631,-0.031046080732956227,0.11961722488038277,0.05392693269850729,0.05263157894736842,-1.707918643951416
128,1,test,3.298428845150663,1.532575054347015,2.0959241884782673,5.7442026146841485,2.668974244305006,3.6500448452410645,27.07007421316868,21.22351224458583,23.741631114675354,47.1424421671509,36.96067438512906,41.3459698323598,3.849205321280447,1.8051281678435749,2.4567140333416284,6.10984971631817,2.8652828061009123,3.899546084669251,46.95573367872768,39.23370467796997,42.9308690087527,74.53291060115505,62.27572171106344,68.14423652182968,3.298428845150663,1.532575054347015,2.0959241884782673,5.7442026146841485,2.668974244305006,3.6500448452410645,27.07007421316868,21.22351224458583,23.741631114675354,47.1424421671509,36.96067438512906,41.3459698323598,0.8090452261306533,0.019045226130653292,0.009045226130653283,0.6783919597989949,-0.0016080402010050232,-0.016608040201005148,0.542713567839196,-0.0022864321608039306,-0.0022864321608039306,0.4549019607843138,0.1457043091209087,0.21500626326149763,0.3858267716535433,0.4522613065326633,0.10639664487852796,0.18348000436237943,0.45959595959595956,0.4549019607843138,0.1457043091209087,0.21500626326149763,0.3858267716535433,18.0,0.0,3.0,33.0,-2.0,0.0,40.0,0.0,3.0,0.0008922149566866751,0.0007910914619846579,0.0004338406109936497,-0.015217334016123019,-0.017139033673333692,-0.017998807341128575,0.09803921568627451,0.06409517551106103,0.7568627450980392,-1.2979323863983154
177,1,test,3.3955760776006683,1.588351594168616,2.1686626149897332,5.03800146296186,2.3566303543914784,3.2176352928923753,29.831833977152783,23.73832267887543,26.421147913961093,44.26136236827559,35.22044614854887,39.20094228538792,3.7030213869062143,1.6924224521547693,2.330691607196527,5.290030552723164,2.4177463602210993,3.329559438852182,40.5696961191745,33.10190739283646,36.625166234911276,57.956708741677865,47.288439132623516,52.32166604987325,3.3955760776006683,1.588351594168616,2.1686626149897332,5.03800146296186,2.3566303543914784,3.2176352928923753,29.831833977152783,23.73832267887543,26.421147913961093,44.26136236827559,35.22044614854887,39.20094228538792,0.7537688442211055,0.008768844221105465,0.01376884422110547,0.6331658291457287,0.0031658291457287158,0.0031658291457287158,0.507537688442211,0.01753768844221104,-0.0024623115577889765,0.4117647058823529,0.10901241230437131,0.18071336113907666,0.3837638376383764,0.4371859296482412,0.1063588619790683,0.19010746554139646,0.4292929292929293,0.4117647058823529,0.10901241230437131,0.18071336113907666,0.3837638376383764,24.0,-6.0,-4.0,37.0,-6.0,-4.0,43.0,-5.0,-4.0,0.00022465341213500086,0.00047433170023932826,0.00011672062349562856,-0.00019717463232815646,0.00020823100688893703,5.431726479621091e-05,0.09926470588235294,0.05551299885649337,0.7463235294117647,-1.2878055572509766
154,1,test,3.3222048777466866,1.520771538637784,2.0632903463074728,5.8922124246828025,2.697217445885881,3.6594206142057057,27.721405534572966,21.66308065650164,24.19980870524708,49.16626641980866,38.42131286247461,42.92041543949482,3.6715504754904953,1.6641662939929445,2.3010419526042205,5.874480760784793,2.6626660703887115,3.681667124166753,39.31281218297495,31.86899200761349,35.37545976269201,62.90049949275992,50.99038721218158,56.60073562030722,3.3222048777466866,1.520771538637784,2.0632903463074728,5.8922124246828025,2.697217445885881,3.6594206142057057,27.721405534572966,21.66308065650164,24.19980870524708,49.16626641980866,38.42131286247461,42.92041543949482,0.7135678391959799,-0.006432160804020093,-0.006432160804020093,0.5879396984924623,-0.012060301507537674,-0.002060301507537776,0.457286432160804,-0.007713567839195967,-0.012713567839195972,0.43772241992882566,0.13399240216683628,0.19511886963296765,0.3642857142857143,0.42211055276381915,0.10130854775128784,0.1750320886569744,0.3535353535353535,0.43772241992882566,0.13399240216683628,0.19511886963296765,0.3642857142857143,26.0,-5.0,-8.0,38.0,-5.0,-5.0,47.0,-9.0,-10.0,0.0011082323145017478,0.0011625610806525082,8.64150940615029e-05,-0.02359769987232596,-0.02601598738767219,-0.020897116296270113,0.7437722419928826,0.07639459285118519,0.3914590747330961,-1.3946449756622314
293,1,test,3.7411862205514974,1.6814201023536612,2.324840858133041,5.789527997414534,2.6020166289816835,3.59771752706561,42.14795729626722,34.30382230093445,38.02592893701499,65.22444070282076,53.08555306298452,58.84555518759784,3.890511915258301,1.6947456194261878,2.3501955194259487,6.031801419005118,2.6275125882576558,3.6437139836061228,48.9359311626599,39.949046131214644,44.26986480124829,75.86966071730217,61.93650562979014,68.6354493042609,3.802063953240139,1.6833205414799721,2.3372186633441334,5.879480340062071,2.603073002288617,3.614255664965156,44.79354092476601,36.472865671732606,40.46666714734232,69.2683622547928,56.40133866762773,62.57732033094173,0.7185929648241206,-0.0014070351758793676,0.003592964824120526,0.6180904522613065,0.0030904522613065533,0.013090452261306562,0.5376884422110553,0.002688442211055353,-0.007311557788944656,0.4193548387096774,0.08699759127190287,0.16911045943304004,0.38235294117647056,0.4321608040201005,0.11887759600005032,0.18675178899505873,0.38888888888888884,0.43143812709030105,0.10923445430232104,0.17671065211810977,0.3825503355704698,27.0,-1.0,-1.0,40.0,-2.0,-2.0,53.0,-3.0,-6.0,0.0010533269855008663,-0.00010860661997894177,0.00039308246638125697,0.00034118015804818214,-5.904222154651251e-05,0.0001653898061491077,0.07331378299120235,0.0819372971211095,0.2287390029325513,-1.6462392807006836
297,1,test,3.2422383276755617,1.4876303098782873,1.914878290183939,5.670215888126668,2.601654834170704,3.348851073700679,25.590938594536436,19.80975741690944,21.81986385553452,44.75492914021669,34.64446160126172,38.15985322680238,3.8740774282767543,1.7844599669923626,2.460379820642091,5.380663094828826,2.4784166208227263,3.417194195336238,48.138266794878234,40.05644383215481,44.02713811972001,66.85870388177533,55.633949766881685,61.14880294405557,3.528532113661835,1.6643176140381402,2.27392371902119,5.542197037165185,2.614111435662,3.571607935635377,34.0739142541982,27.623047517105,30.567449299226016,53.51923704847884,43.38698562896072,48.011700469988504,0.7386934673366834,-0.01630653266331661,-0.011306532663316604,0.6231155778894473,-0.0018844221105527303,-0.006884422110552735,0.5226130653266332,0.0026130653266331905,-0.002386934673366814,0.4109947643979057,0.1090339800841802,0.16368293644091647,0.3648293963254593,0.40201005025125625,0.08120804523872494,0.16327883155342648,0.398989898989899,0.4247491638795987,0.1209094309914518,0.19338097700529389,0.38926174496644295,25.0,-2.0,0.0,38.0,-1.0,-2.0,48.0,-5.0,-2.0,0.0007318629620061305,0.0011141699174671248,0.00030986915949349285,-0.004496254871319216,-0.007210514305829641,-0.0055201351178642,0.07329842931937172,0.15454422558236472,0.6492146596858639,-2.0006277561187744
365,1,test,3.23490825564395,1.4325180910064483,1.9737232092528578,5.443168981053592,2.410404692052766,3.321055220359599,25.404040994549714,19.33991658244586,21.874439242759223,42.74572167346389,32.54201532734902,36.80669118093019,3.2276803810867998,1.3630341088477185,1.9375351160729959,5.291279313257049,2.2344821456519974,3.1762870755295016,25.22108575824274,18.767433112150627,21.587771447369512,41.346042226627446,30.766283790410867,35.38978925798281,3.23490825564395,1.4325180910064483,1.9737232092528578,5.443168981053592,2.410404692052766,3.321055220359599,25.404040994549714,19.33991658244586,21.874439242759223,42.74572167346389,32.54201532734902,36.80669118093019,0.6884422110552764,-0.0015577889447235815,0.01344221105527632,0.5577889447236181,-0.007211055276381884,-0.007211055276381884,0.4723618090452262,-0.0026381909547738003,-0.007638190954773805,0.4464285714285714,0.13448561242678891,0.19702239565659985,0.4444444444444444,0.44723618090452266,0.13144670722031215,0.1968188186340719,0.43434343434343436,0.4464285714285714,0.13448561242678891,0.19702239565659985,0.4444444444444444,23.0,-14.0,-14.0,36.0,-23.0,-20.0,46.0,-23.0,-23.0,8.927464928460349e-05,0.0005958637546009865,-0.00013353880571436892,-0.0002526140072118821,0.00017724280649034085,2.6280809047207754e-05,0.14642857142857144,0.08882435722930661,0.007142857142857143,-1.3087432384490967
