idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,elbow_frac,elbow_delta_slope,flat_frac
375,1,test,1.4914660681558274,0.665218962034825,0.9310500027826965,2.6618526355281085,1.1872310641871529,1.6616656299663402,4.443605374228163,2.1588770862165925,2.6922043281741748,7.930601258171096,3.8529959108171132,4.804836891255298,1.152850234033273,0.47636938651993577,0.6918040170938989,1.953983447514022,0.807405739864298,1.172549181515083,3.167207339118738,1.2002637752637855,1.5814752018456792,5.3681480324046404,2.034345381803026,2.6804664438062358,1.4913074548304095,0.6650603487094071,0.9309205914625603,2.6615695548014946,1.186947983460539,1.661434666707486,4.442900615096484,2.1581723270849134,2.6915507127183407,7.929343458887474,3.851738111533491,4.803670369226483,0.27135678391959794,-0.0036432160804020786,-0.0036432160804020786,0.21105527638190957,-0.0039447236180903955,-0.0039447236180903955,0.17085427135678388,-0.004145728643216162,-0.004145728643216162,0.30859375,0.11561129385964908,0.16184050324675325,0.36078431372549025,0.26633165829145733,0.09841185879271042,0.1394535280744289,0.29292929292929293,0.30859375,0.11561129385964908,0.16184050324675325,0.36078431372549025,18.0,-8.0,-8.0,26.0,-9.0,-9.0,32.0,-10.0,-10.0,-0.00028041677767696267,-0.0009337009242785214,-0.0007458695347171314,-0.02443320548084804,-0.02488147340748359,-0.020506251710223466,0.09765625,0.05110123743381341,0.3984375
8,1,test,1.4380316012532142,0.6189993100633067,0.8485745218944379,2.723890546289157,1.1724960476331419,1.6073527980857607,4.212395976017978,1.944092258407986,2.4093867173411203,7.979035764097546,3.68246046830719,4.563811877291646,1.1077034451094134,0.3754522306075051,0.5938572805713517,2.10991132401793,0.7151471059190573,1.1311567248978125,3.0273978195555507,0.9476404981570434,1.3556893075524052,5.7664720372486675,1.8050295202991302,2.582265347718867,1.3561473415490588,0.5514703920141133,0.811829500062811,2.5269826240044577,1.027584581392758,1.5127257765145548,3.8812114782004286,1.6452374285245224,2.157779150941309,7.232071077392104,3.0656598047040795,4.020706492437222,0.3417085427135679,-0.003291457286432098,-0.003291457286432098,0.21105527638190957,-0.0039447236180903955,-0.0039447236180903955,0.13567839195979903,-0.004321608040200986,-0.004321608040200986,0.35014005602240894,0.12076942665177959,0.17125442552387526,0.3792134831460674,0.3266331658291457,0.10858805304719077,0.1546799104034362,0.3282828282828283,0.3311036789297659,0.11240584921357222,0.1609145799308782,0.35906040268456374,15.0,-6.0,-6.0,21.0,-11.0,-11.0,29.0,-18.0,-18.0,-2.586647820039811e-05,-0.00047365803488587453,-0.00019635209169474637,-0.12673448247921204,-0.11935930191855437,-0.12442217954662915,0.0700280112044818,0.07883740643902143,0.6862745098039216
467,1,test,2.191484775293284,0.9843347378649852,1.3796100571682564,3.828652813306502,1.7196906890935333,2.410259923405719,8.948489752344363,5.6045487994867,6.696363619139413,15.633537979095742,9.791476432044412,11.698941146378859,2.397599252345904,1.0582688042079562,1.4957250166092668,3.7172081431719444,1.6407268282293894,2.318953514122894,10.996744256929913,7.180256943406854,8.53252694702671,17.04921590221692,11.132181307607524,13.228723948878619,2.191546054508882,0.9845074768130673,1.3796381692493394,3.828759871700812,1.719992474196947,2.410309036865022,8.949038125578946,5.605469866714758,6.696837294564841,15.634496019393808,9.793085590672256,11.699768685210342,0.5979899497487438,-0.0020100502512562235,-0.0020100502512562235,0.44723618090452266,-0.0027638190954772934,-0.0027638190954772934,0.35678391959798994,-0.0032160804020100464,-0.0032160804020100464,0.40878378378378377,0.12547855612779724,0.2020422107500759,0.41694915254237286,0.42713567839195976,0.1389151270135136,0.2117767468393721,0.4444444444444444,0.40878378378378377,0.12547855612779724,0.2020422107500759,0.41694915254237286,16.0,-6.0,-6.0,28.0,-13.0,-13.0,35.0,-15.0,-15.0,0.0007095564540378478,-2.8805220155110693e-06,6.743485339090679e-05,-0.02506149074991182,-0.02189099252607729,-0.024001806334115194,0.08783783783783784,0.0780505338599645,0.7398648648648649
133,1,test,2.042149059145523,0.9038270578600809,1.2661183595735435,3.649284117526319,1.615122908128665,2.262531033084084,7.707154545008371,4.585628493591779,5.534324036097114,13.77254835853567,8.194436716359274,9.889738810067033,2.0738870728132133,0.82690768513596,1.2167340864464125,3.372174102135306,1.344565341684488,1.978429408855955,7.9556874293919595,4.475871537781458,5.599245118197304,12.936077120962535,7.2778398988316395,9.104463606824885,2.0451061221949542,0.904526588414321,1.2691536531016467,3.651975218205275,1.6152260507398588,2.266345809110083,7.729978816703197,4.601397858446473,5.5573182827140295,13.803533601255706,8.216781890082988,9.923782647703622,0.5125628140703518,-0.0024371859296482556,-0.0024371859296482556,0.38190954773869346,-0.0030904522613065533,-0.0030904522613065533,0.29145728643216084,-0.0035427135678391952,-0.0035427135678391952,0.34883720930232553,0.08681399205522766,0.14662726455094433,0.33999999999999997,0.371859296482412,0.11622019873805112,0.16317816125703632,0.36363636363636365,0.3511705685618729,0.09240596088240716,0.15094809915141683,0.3422818791946308,23.0,-9.0,-9.0,33.0,-11.0,-11.0,41.0,-13.0,-13.0,0.0004999647723901574,0.0002853649831345734,-8.170673472948403e-05,-0.07181244791374208,-0.07319712918443422,-0.07331129110388535,0.08970099667774087,0.21114431655084945,0.16279069767441862
335,1,test,2.1871380959949134,0.9716463860846916,1.3429887073101328,3.8575347737053147,1.7137279666658576,2.3686778848711683,8.909677949524033,5.537726270711299,6.583679497271113,15.714322097786894,9.7670886422985,11.611874278153998,2.1589899215866155,0.9504249585336855,1.3099898119664477,3.5393277403059273,1.5580737025142386,2.1475242819122093,8.662383551406727,5.313707821919145,6.325074920682929,14.200628772797913,8.710996429375648,10.36897527980808,2.116695149720109,0.9557687696572259,1.3267611125839291,3.6919101448606555,1.6670385517277198,2.314118219623132,8.303649772040552,5.110760036144178,6.100398683329529,14.483110067512591,8.914116342111939,10.640230261621271,0.48743718592964824,-0.002562814070351749,-0.002562814070351749,0.40201005025125625,-0.002989949748743781,-0.002989949748743781,0.3015075376884422,-0.0034924623115578646,-0.0034924623115578646,0.35,0.09414976599063962,0.16288981288981286,0.3479623824451411,0.3869346733668342,0.12377677862999203,0.1982869271230946,0.3737373737373737,0.35785953177257523,0.10911161858392748,0.17877165635544512,0.34563758389261745,20.0,-4.0,-4.0,32.0,-3.0,-3.0,37.0,-2.0,-2.0,-0.0001585366171944218,-1.6910348098090604e-05,-5.433080994718872e-05,-0.08562192683024072,-0.08074928379001722,-0.08356283709925982,0.0875,0.16088844639640693,0.003125
322,1,test,1.945775301226272,0.8475926497692314,1.198244281549259,3.656715652304545,1.5928896349111414,2.251872873946021,6.99905612883763,4.000344763628286,4.887276496444882,13.153398586953475,7.517889297163503,9.184709277801586,1.7258627484627904,0.6637358562147386,0.9856556708507717,3.1096626098428652,1.1959204616481776,1.7759561636950838,5.617365312982403,2.7248487905055954,3.5209957322256002,10.121378942310635,4.909637460370441,6.34413645446054,1.9796927514664526,0.8377959270160511,1.1999372761458027,3.711923908999599,1.570867363155096,2.2498823927733804,7.240518004828437,4.107813080431073,5.059579097924141,13.57597125905332,7.702149525808262,9.486710808607764,0.4623115577889447,-0.002688442211055242,-0.002688442211055242,0.321608040201005,-0.0033919597989949812,-0.0033919597989949812,0.24623115577889443,-0.0037688442211055717,-0.0037688442211055717,0.36503067484662577,0.10622516182978048,0.16298985852009518,0.3846153846153846,0.3517587939698492,0.09862596188964867,0.15977214956250363,0.33333333333333337,0.36789297658862874,0.109128368909163,0.16544581307361206,0.38926174496644295,18.0,0.0,0.0,27.0,0.0,0.0,35.0,0.0,0.0,-0.0002832223219293547,-2.6975335339092074e-05,-0.0001659323456499658,-0.030730997445661323,-0.032188706880079465,-0.0327479270838511,0.07668711656441718,0.10736893906229995,0.03067484662576687
242,1,test,2.6139161683942267,1.172335118307689,1.638982614376013,4.430078700979826,1.9868796485604343,2.777756249039866,13.65241144129885,9.42503721475677,11.001420383872045,23.13817783233117,15.973602032802061,18.6452644168221,2.3983062326102043,1.03248221702401,1.4774210930297813,4.030766777496142,1.735264230292454,2.483060660554255,11.004521486941247,7.085570488365963,8.493009041492476,18.494994095699575,11.908521829186494,14.273964775617607,2.6139544666733476,1.17237341658681,1.6391254248234883,4.430143609102232,1.98694455668284,2.7779982849281195,13.652934315175424,9.425560088633343,11.002220304094708,23.139064001693413,15.974488202164304,18.6466201257709,0.592964824120603,-0.0020351758793969443,-0.0020351758793969443,0.42713567839195976,-0.002864321608040288,-0.002864321608040288,0.33668341708542715,-0.0033165829145728187,-0.0033165829145728187,0.3884615384615384,0.09095673999704701,0.15828251032854612,0.444015444015444,0.38190954773869346,0.0987015276885681,0.1565339216952878,0.4191919191919192,0.3884615384615384,0.09095673999704701,0.15828251032854612,0.444015444015444,20.0,-2.0,-2.0,33.0,-3.0,-3.0,41.0,-3.0,-3.0,-0.00030301315618722123,-0.0003543782178649335,-0.00015540508461031678,-0.03403205072791504,-0.03441482650232075,-0.03154190750372887,0.1,0.14543701816363766,0.6076923076923076
485,1,test,1.8682880827784563,0.8210923584559793,1.1267572592528055,3.4754176163513217,1.5274083657299398,2.0960108155993047,6.477198475016487,3.627549772744348,4.37805199604536,12.04898210943927,6.748022695535185,8.144118229202657,1.743650409249119,0.7072901980461208,1.0417957841992203,2.7898406547985903,1.1316643168737932,1.6668732547187526,5.718179063969286,2.8992410839058227,3.7006881348549916,9.149086502350858,4.638785734249317,5.921101015767987,1.767119358338152,0.7700764812832995,1.0904375526874772,3.174465913182309,1.3833709244610173,1.9588698551272044,5.853965871680235,3.143710463382921,3.886626994791087,10.5161063563118,5.647384065957343,6.981964661301355,0.4723618090452262,-0.0026381909547738003,-0.0026381909547738003,0.3316582914572864,-0.0033417085427135396,-0.0033417085427135396,0.23115577889447236,-0.003844221105527623,-0.003844221105527623,0.3913043478260869,0.13515384131378594,0.1997109949424114,0.4098837209302325,0.35678391959798994,0.10114482185362905,0.15978892794523536,0.3787878787878788,0.37792642140468224,0.1208312628070195,0.18549038136018836,0.3926174496644296,17.0,-8.0,-8.0,28.0,-15.0,-15.0,35.0,-18.0,-18.0,-0.000270482030748438,-0.00027659521224506265,-8.85511586929568e-05,-0.07321276371382801,-0.06877290949726422,-0.07451881741980415,0.07246376811594203,0.08930435764323558,0.1536231884057971
82,1,test,2.1499822925729823,0.9844382219333176,1.3590993800974154,3.775266525648987,1.7286266397043377,2.3865137924329614,8.584706382770264,5.377038776470402,6.37936369125646,15.074335612602546,9.44182404201648,11.201858862622949,2.1733053033773473,1.0034663427970036,1.3876411048517063,3.292886823299011,1.5204035496924297,2.1024865225025855,8.787280721574877,5.565806909094179,6.5934171036761615,13.314061699355873,8.433040771354815,9.99002591466085,2.149936501902865,0.9841230281772746,1.3592335514584224,3.7751861194127687,1.7280731744779523,2.3867493909537774,8.584313292312244,5.375781414047081,6.3793674430391905,15.073645364476857,9.43961617347553,11.201865450574768,0.5125628140703518,-0.0024371859296482556,-0.0024371859296482556,0.40703517587939697,-0.00296482412060306,-0.00296482412060306,0.27638190954773867,-0.0036180904522613577,-0.0036180904522613577,0.3877551020408163,0.133086171650324,0.18752885769692496,0.3754266211604096,0.3919597989949749,0.14383949824309517,0.19663425642402332,0.38383838383838387,0.3877551020408163,0.133086171650324,0.18979130113583897,0.3754266211604096,18.0,-6.0,-6.0,25.0,-7.0,-7.0,32.0,-8.0,-8.0,0.00030340351951552066,7.414382529312e-05,0.00011812461656899047,-0.05755108209533244,-0.052689945958211304,-0.054541107475372996,0.08503401360544217,0.16461875566880713,0.030612244897959183
86,1,test,2.28006626143399,1.037721068842106,1.438901490225375,4.500522947405654,2.0483121751001043,2.840184640837015,9.777328247855616,6.313601193748831,7.458261661602901,19.29904007093069,12.462140918380044,14.721536090222717,2.491197221416097,1.10376007704273,1.5458236984097553,4.258456788745465,1.8867693624662052,2.642433672495308,12.075724785921627,8.071151040005361,9.50195022284429,20.642264591319023,13.796839384624548,16.242649953579985,2.2784968282131532,1.038824463903008,1.4362474789501207,4.5268148904897085,2.0638896633834594,2.8534718124836838,9.761995419164979,6.307513951252291,7.440412259722743,19.39469288575824,12.531484671362172,14.782276012694195,0.5979899497487438,-0.0020100502512562235,-0.0020100502512562235,0.4623115577889447,-0.002688442211055242,-0.002688442211055242,0.3517587939698492,-0.0032412060301507672,-0.0032412060301507672,0.39534883720930236,0.12337537120598563,0.1909289477065399,0.3766666666666667,0.3919597989949749,0.0962204506240476,0.17159252019697824,0.4040404040404041,0.3946488294314381,0.12586752726115424,0.19108931886414104,0.37583892617449666,18.0,-8.0,-8.0,29.0,-13.0,-13.0,36.0,-13.0,-13.0,0.0006748936708045729,-4.6716798906048844e-05,0.0001682882740315163,-0.007068394942181477,-0.005566595968343968,-0.006832868246658741,0.10299003322259136,0.11285384090331305,0.6411960132890365
