idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000
273,1,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3318521654308135,1.0231628248104245,1.4392634230924075,3.7610518797271184,1.6502626206619748,2.3213926178909796,10.29699562126552,6.59567625849947,7.855553880085757,16.608057453654066,10.638187513708825,12.670248193686707,2.480590172643513,1.0841011019284148,1.52073688662948,4.1574136971678985,1.8169292211090746,2.548721039043821,11.948313905440225,7.907326494676199,9.337000576309858,20.025107104089763,13.25250250504391,15.648604317837751,0.5527638190954773,-0.0022361809045226,-0.0022361809045226,0.42211055276381915,-0.0028894472361808976,-0.0028894472361808976,0.3065326633165829,-0.0034673366834171437,-0.0034673366834171437,1.0,0.0,0.7673509286412512,1.0,0.38190954773869346,0.10622032468104936,0.16822006526790878,0.35858585858585856,0.39799331103678925,0.12086476345749042,0.17552390058072698,0.3993288590604027,17.0,-2.0,-2.0,26.0,-3.0,-3.0,32.0,-4.0,-4.0,0.0,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
282,1,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.168547328723535,1.4689197275692458,2.0263841173913146,4.55906090463818,2.113553564847836,2.9156606005630428,23.77292501549756,18.301015735941657,20.6393854684424,34.205647504313035,26.332396742362096,29.696957508550213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6432160804020101,-0.001783919597989958,-0.001783919597989958,0.542713567839196,-0.0022864321608039306,-0.0022864321608039306,0.4522613065326633,-0.0027386934673366836,-0.0027386934673366836,1.0,0.0,0.0,1.0,0.4371859296482412,0.13894031561315345,0.22182699809565354,0.4797979797979798,1.0,0.0,0.0,1.0,22.0,-11.0,-11.0,30.0,-7.0,-7.0,41.0,-14.0,-14.0,0.0,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
237,1,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1784891817057983,1.4734884433343098,2.0369925012418255,5.00549477433984,2.3204542414713543,3.2078622066800397,24.010450707288207,18.509060978008886,20.87899906516419,37.811733397304266,29.148127524423447,32.88031348844755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6733668341708543,-0.001633165829145744,-0.001633165829145744,0.5527638190954773,-0.0022361809045226,-0.0022361809045226,0.4623115577889447,-0.002688442211055242,-0.002688442211055242,1.0,0.0,0.0,1.0,0.4321608040201005,0.13140892432085238,0.20845462705849782,0.45959595959595956,1.0,0.0,0.0,1.0,27.0,-13.0,-13.0,40.0,-13.0,-13.0,46.0,-11.0,-11.0,0.0,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
463,1,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6567374735447387,1.2017175894876146,1.6739559716481316,3.995093945180058,1.8070941195302477,2.5172270250347846,14.249723080019352,9.965154420656262,11.577845331316862,21.428155007547897,14.985194617528213,17.410293731303554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6683417085427136,-0.0016582914572863539,-0.0016582914572863539,0.5125628140703518,-0.0024371859296482556,-0.0024371859296482556,0.3517587939698492,-0.0032412060301507672,-0.0032412060301507672,1.0,0.0,0.0,1.0,0.40703517587939697,0.10127076485182807,0.1699734062633702,0.40909090909090906,1.0,0.0,0.0,1.0,16.0,0.0,0.0,28.0,0.0,0.0,35.0,-1.0,-1.0,0.0,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
291,1,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.991372172440094,1.3624472722854761,1.900960649482156,4.985620287400157,2.2707454538091274,3.168267749136927,19.91298780654812,14.814597314358455,16.937489500038087,33.18831301091353,24.690995523930756,28.229149166730142,2.8281276603957792,1.3137647537853534,1.8121651228255684,5.050227964992462,2.3460084889024166,3.2360091479028004,16.913762851073187,12.367239207272192,14.151742184101316,30.203147948344974,22.08435572727177,25.270968185895203,0.6432160804020101,-0.001783919597989958,-0.001783919597989958,0.5276381909547738,-0.002361809045226204,-0.002361809045226204,0.4120603015075377,-0.0029396984924623393,-0.0029396984924623393,1.0,0.0,0.0,1.0,0.4120603015075377,0.1163209531366104,0.19336247179134403,0.43434343434343436,0.3946488294314381,0.11251193460673026,0.19108931886414104,0.40268456375838924,23.0,-11.0,-11.0,34.0,-15.0,-15.0,43.0,-15.0,-15.0,0.0,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
495,1,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.402686218493988,1.0170864606336125,1.4746104809197726,4.1071559290495525,1.7386093344164322,2.5207016767859365,11.052826846883917,7.055604295197982,8.523190040680294,18.893721105784476,12.060862043073474,14.569555625094523,2.230447126267368,1.003620745061956,1.4058187735171153,4.43135190649146,1.9939485001230919,2.7930174308287063,9.304025223652738,5.893636154865695,7.022992355465041,18.48481832513789,11.70921090370668,13.95296494463253,0.5678391959798995,-0.0021608040201005485,-0.0021608040201005485,0.42211055276381915,-0.0028894472361808976,-0.0028894472361808976,0.3015075376884422,-0.0034924623115578646,-0.0034924623115578646,1.0,0.0,0.0,1.0,0.3517587939698492,0.08860089923300707,0.13973876058086754,0.3939393939393939,0.3612040133779264,0.09576160937124856,0.15097042049694753,0.3691275167785235,21.0,-6.0,-6.0,34.0,-14.0,-14.0,39.0,-10.0,-10.0,0.0,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
9,1,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6290315085081337,1.1940094817348437,1.6689336099018126,3.838002202201655,1.743079535379334,2.4363994305135948,13.860339778549555,9.660602264114328,11.248387611165718,20.234072669415408,14.103068998707048,16.421003811920755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6331658291457287,-0.0018341708542712887,-0.0018341708542712887,0.457286432160804,-0.0027135678391959628,-0.0027135678391959628,0.3417085427135679,-0.003291457286432098,-0.003291457286432098,1.0,0.0,0.0,1.0,0.38190954773869346,0.0886764650319265,0.1582033707770908,0.398989898989899,1.0,0.0,0.0,1.0,20.0,-9.0,-9.0,30.0,-11.0,-11.0,34.0,-10.0,-10.0,0.0,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
450,1,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9169834880311045,1.3537512785385857,1.8646642861093037,4.861639146718508,2.256252130897643,3.107773810182173,18.48544171622931,13.711214078959049,15.62115543703612,30.80906952704885,22.852023464931747,26.03525906172687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6432160804020101,-0.001783919597989958,-0.001783919597989958,0.48743718592964824,-0.002562814070351749,-0.002562814070351749,0.40703517587939697,-0.00296482412060306,-0.00296482412060306,1.0,0.0,0.0,1.0,0.4120603015075377,0.1363710784498936,0.18668467546413203,0.4191919191919192,1.0,0.0,0.0,1.0,20.0,-5.0,-5.0,31.0,-3.0,-3.0,37.0,-4.0,-4.0,0.0,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
434,1,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7690477483918574,1.264196673663309,1.7586372339390213,4.042405472104901,1.8455425892895025,2.5673536261883525,15.943444608108326,11.439961710176153,13.196716252814117,23.275101617676388,16.70067402945424,19.26527920118849,2.5000982853537557,1.1561218085535399,1.5909185748824983,4.2136487955400375,1.9485199020565278,2.681323440813199,12.183691380275466,8.349431302889048,9.701405875060143,20.534311315071008,14.072075229588282,16.350684059090128,0.6281407035175879,-0.0018592964824121205,-0.0018592964824121205,0.5125628140703518,-0.0024371859296482556,-0.0024371859296482556,0.371859296482412,-0.003140703517587995,-0.003140703517587995,1.0,0.0,0.0,1.0,0.40201005025125625,0.09875190488784769,0.18164277145325958,0.4292929292929293,0.3846153846153846,0.11082573519969174,0.17771883289124668,0.37248322147651003,17.0,-1.0,-1.0,31.0,-3.0,-3.0,40.0,-3.0,-3.0,0.0,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
489,1,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.380818058847927,1.073964711274437,1.4941110348506368,3.720028216949886,1.6780698613663079,2.3345484919541204,10.813745526736223,7.119215526066593,8.386621510535198,16.896477385525348,11.123774259479049,13.104096110211247,1.995058019330668,0.8850110861292848,1.2180108032125436,3.694551887649385,1.6389094187579345,2.2555755615047106,7.352629610164298,4.318128800233046,5.177589260109009,13.615980759563515,7.996534815246382,9.588128259461127,0.4522613065326633,-0.0027386934673366836,-0.0027386934673366836,0.35678391959798994,-0.0032160804020100464,-0.0032160804020100464,0.31155778894472363,-0.003442211055276312,-0.003442211055276312,1.0,0.0,0.7956989247311828,1.0,0.3417085427135679,0.11865089860329214,0.16808583820605538,0.3282828282828283,0.3110367892976589,0.1040251031540863,0.1486341196647334,0.28859060402684567,22.0,-9.0,-9.0,29.0,-6.0,-6.0,34.0,-7.0,-7.0,0.0,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
