idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,nei_delta
28,1,test,1.611971586294796,0.008216622523498751,0.0072774181722798925,5.507569586507221,0.028073460288621455,0.02486451208862306,5.012684431624256,0.04101858790410429,0.03634698425904492,17.12667180804954,0.14014684200568794,0.12418552955173467,1.7311871369280407,0.011454856564924398,0.011640060830128807,4.327967842320102,0.028637141412310996,0.029100152075322683,5.647354113224703,0.06432053676693172,0.06535444265322532,14.118385283061757,0.1608013419173293,0.1633861066330624,1.6548076381651453,0.01125021422485939,0.015251700045925354,5.281300972867485,0.035904939015509285,0.04867563844444334,5.232073374136115,0.05853207972849095,0.07919256796960639,16.698106513200365,0.18680450977177898,0.25274223820087016,0.4974874371859297,-0.002512562814070307,-0.002512562814070307,0.3316582914572864,-0.0033417085427135396,-0.0033417085427135396,0.2211055276381909,-0.003894472361809065,-0.003894472361809065,0.3695652173913043,0.007285705858061431,0.007883887968039405,0.34059945504087197,0.35678391959798994,0.003400460951373363,0.007869061501161845,0.31313131313131315,0.3745819397993311,0.005633692720867001,0.008619759599108656,0.3422818791946308,15.0,-4.0,-4.0,21.0,-6.0,-6.0,29.0,-11.0,-11.0,0.0002640756929508415,0.00017228888184603165,0.00011014375770745363,-0.08294967207332071,-0.07744224649512166,-0.08045457733467476,-1.9218335151672363
8,1,test,1.4203727074012071,0.06266629051846562,0.10586775141320093,5.732829602161498,0.2529302087191079,0.42729755088460575,4.138662663040231,0.25139536424574205,0.4157551371260304,16.704240868897315,1.0146680364135356,1.6780478426171097,1.48244685264089,0.07424095027358257,0.1328584972835496,4.706180484574254,0.2356855564240723,0.42177300724936373,4.40370773286757,0.315094284628314,0.5478697639466974,13.980024548785936,1.000299316280362,1.7392690918942773,1.4038149277900773,0.0445292688836596,0.09928178313411773,5.541374714960831,0.17577342980391997,0.3919017755294121,4.070699808482515,0.1772887238269858,0.38473193032745323,16.068551875588874,0.6998239098433654,1.5186786723452101,0.35678391959798994,-0.0032160804020100464,-0.0032160804020100464,0.31658291457286436,-0.003417085427135591,-0.003417085427135591,0.2211055276381909,-0.003894472361809065,-0.003894472361809065,0.3083832335329342,0.003450498106925215,-0.02129804136746427,0.2792792792792793,0.321608040201005,0.013337363509275613,0.019437756394661054,0.2727272727272727,0.3076923076923077,0.007191472967766788,-0.01266364336442194,0.2751677852348994,14.0,-3.0,-3.0,21.0,-7.0,-7.0,26.0,-7.0,-7.0,0.0006825598077233179,0.00015048051241357434,0.00022671435133383538,-0.1510948316144578,-0.15013668597687335,-0.15060756425203525,-0.9133310317993164
86,1,test,2.5785080923825734,0.058931895583496985,0.09794838919051996,6.70412104019469,0.15322292851709207,0.2546658118953511,13.177463928426675,0.7541334279109417,1.2295140760107408,34.26140621390935,1.960746912568446,3.1967365976279254,2.477538632388091,0.10379033470869636,0.13936164975841336,5.505641405306869,0.23064518824154767,0.30969255501869686,11.911908718769778,1.1743441822384746,1.5495800906340786,26.47090826393284,2.609653738307724,3.443511312520176,2.5234330023411524,0.04134272559276253,0.11932037716604116,6.154714639856469,0.10083591607990794,0.2910253101610758,12.471337387546825,0.5050863169268212,1.4027334650152081,30.417896067187378,1.2319178461629754,3.421301134183434,0.4824120603015075,-0.012587939698492479,-0.012587939698492479,0.40703517587939697,-0.007964824120603065,-0.007964824120603065,0.39698492462311563,-0.0030150753768843908,-0.0030150753768843908,0.4267352185089974,0.004398889882553214,0.010312931118968138,0.4201030927835051,0.40201005025125625,0.011032606642233711,0.013028414191156079,0.38383838383838387,0.42140468227424754,0.004042411823496295,0.006499231773691383,0.412751677852349,28.0,-19.0,-19.0,38.0,-25.0,-25.0,43.0,-23.0,-23.0,-0.00017281516179397683,-0.00030053159492402165,-9.424036308329858e-05,-0.06747352393755968,-0.06254027289583508,-0.06565741041028161,-1.533064603805542
24,1,test,1.4271050806852266,0.0030580683705092593,0.006007446499128877,5.445964215948221,0.011669870103552249,0.022924968249548705,4.166619687952679,0.012722345064434037,0.024955709758947897,15.900203866669994,0.04854963863669148,0.09523328321805558,1.4986215176893838,0.027643168018055775,0.034300010651006296,4.105812377231189,0.07573470689878281,0.0939726319205656,4.4755153973600255,0.12202310137300465,0.1509073688160516,12.261686020164454,0.33430986677535657,0.4134448460713749,1.4630423257980858,0.021469615846828383,0.02184926709251722,5.044973537234779,0.07403315809251154,0.07534230031902478,4.31907960776217,0.09174063794599618,0.09334524783649023,14.893377957800586,0.31634702739998666,0.32188016495341465,0.44221105527638194,-0.0027889447236180143,-0.0027889447236180143,0.29145728643216084,-0.0035427135678391952,-0.0035427135678391952,0.19095477386934678,-0.004045226130653168,-0.004045226130653168,0.3595166163141994,0.009592031095496556,0.008762847469978241,0.2727272727272727,0.36180904522613067,0.015944383571995346,0.017902534374711676,0.2222222222222222,0.36789297658862874,0.017308669409997646,0.016391308068050336,0.27181208053691275,15.0,-5.0,-5.0,21.0,-8.0,-8.0,29.0,-12.0,-12.0,0.0007899355136551358,0.0003342633310298533,0.00019726884297811923,-0.09832468243583392,-0.09555919619503683,-0.09746173317119577,-1.4310413599014282
74,1,test,2.4241380939547645,0.1436866748543495,0.1776553302495154,7.541762958970378,0.4470252106579764,0.5527054718873812,11.292492156324172,1.5113973702277654,1.8380683113899074,35.1321978196752,4.702125151819711,5.718434746546375,2.5013463233583537,0.16819675816596158,0.2735432059135561,6.582490324627247,0.4426230478051627,0.7198505418777792,12.198906582754883,1.8885429718872313,2.9194487913130125,32.1023857440918,4.96984992601903,7.682759977139508,2.461063979062747,0.18995719819380907,0.31681442326599774,7.1681475118332445,0.5532733927975029,0.922760456114557,11.717271841967534,2.0271521216048747,3.1816385253097206,34.127976238740395,5.90432656778119,9.266908326144822,0.48743718592964824,-0.002562814070351749,-0.002562814070351749,0.42211055276381915,-0.0028894472361808976,-0.0028894472361808976,0.40703517587939697,-0.00296482412060306,-0.00296482412060306,0.3937360178970917,0.0004399285116167828,0.002729175277345841,0.3901345291479821,0.40703517587939697,-0.0014861273787484253,0.006367396246675816,0.40909090909090906,0.3946488294314381,0.0006588461259289247,0.01088909639473068,0.3959731543624161,21.0,-3.0,-3.0,32.0,-10.0,-10.0,38.0,-9.0,-9.0,0.00026635395935805447,0.00012056383975134996,5.2342322474148914e-05,-0.19196593567757958,-0.19704879683986487,-0.19843754125708912,-0.9092540740966797
6,1,test,1.354302208842212,0.022271491991568082,0.03291909944088678,5.0883068703643115,0.08367717705403432,0.12368175932790315,3.8740567307189755,0.08532731319608278,0.12545420993990364,14.555384573987007,0.3205869052938528,0.4713493887742093,1.3671586483567204,-0.023527825394108692,-0.0069547957391395965,4.797047888970949,-0.08255377331266178,-0.02440279206715612,3.92418485086256,-0.09342223751447731,-0.027387029287072817,13.769069652149334,-0.32779732461220235,-0.09609483960376508,1.354302208842212,0.022271491991568082,0.03291909944088678,5.0883068703643115,0.08367717705403432,0.12368175932790315,3.8740567307189755,0.08532731319608278,0.12545420993990364,14.555384573987007,0.3205869052938528,0.4713493887742093,0.29648241206030146,-0.0035175879396985854,-0.0035175879396985854,0.24120603015075381,-0.0037939698492461815,-0.0037939698492461815,0.22613065326633164,-0.003869346733668344,-0.003869346733668344,0.2557251908396947,-0.0071319520174482065,-0.018386484287208904,0.24137931034482762,0.2562814070351759,0.008161106283296138,0.012541841091937123,0.23737373737373735,0.2557251908396947,-0.0071319520174482065,-0.018386484287208904,0.24137931034482762,15.0,-4.0,-4.0,22.0,-7.0,-7.0,24.0,-3.0,-3.0,0.00018205163413941684,-2.13723924257088e-05,0.00013920556839429676,-0.1791556118654123,-0.1737991428509531,-0.17932462886595335,-1.0277338027954102
5,1,test,1.5691692216528788,0.003908651461401513,0.047308671543403236,5.344057443553671,0.013311539410999274,0.16111726818083572,4.802656592830959,0.01873527203354719,0.2219166249770419,16.356217264263925,0.06380597362368334,0.7557726567614349,1.489448953513524,-0.0051813954975266086,0.004547631166230026,4.080682064420614,-0.014195604102812176,0.012459263469123627,4.434651146651011,-0.02303731265846576,0.02012137080197629,12.14972916890688,-0.06311592509168662,0.05512704329308704,1.454868939409288,0.002921836050619575,0.007732512747772091,4.744137845899853,0.009527726252020585,0.025214715481865824,4.283921975463637,0.012498649272060014,0.032997739150526506,13.96931078955534,0.04075646501758712,0.10760132331693484,0.39698492462311563,-0.0030150753768843908,-0.0030150753768843908,0.2864321608040201,-0.003567839195979916,-0.003567839195979916,0.2211055276381909,-0.003894472361809065,-0.003894472361809065,0.35,0.0004854368932039055,4.887585532742378e-05,0.3259052924791086,0.33668341708542715,0.005856349416254236,0.007801947970235146,0.2828282828282829,0.34782608695652173,-0.001088771140306366,-0.0014508874594960641,0.3087248322147651,13.0,-2.0,-2.0,21.0,-7.0,-7.0,27.0,-8.0,-8.0,0.00011179912864137527,-0.00014313066597134797,0.00014963703425269401,-0.12266769599944904,-0.11820157477307092,-0.12042786401049987,-1.6660288572311401
79,1,test,1.4395286892836188,-0.004707689400504256,-0.011421250127870541,5.430949145933652,-0.017760828192812106,-0.04308926184605699,4.218707026533361,-0.01990718400641356,-0.04845911322336871,15.916031054648586,-0.07510437602419628,-0.1828230180699837,1.4859555049158222,-0.046850591304552935,-0.060408389135998775,4.307117405553108,-0.13579881537551586,-0.1750967801043437,4.419185949984588,-0.21196812002872623,-0.275183935936413,12.809234637636486,-0.6144003479093527,-0.7976345969171401,1.4573463532438247,-0.027921740264925887,-0.04277240705500929,5.26751693943551,-0.10092195276479288,-0.15459906164461223,4.294548180350294,-0.121601014671886,-0.18767316832718706,15.52246330247094,-0.4395217397779003,-0.6783367529898339,0.5025125628140703,-0.0024874371859296973,-0.0024874371859296973,0.31155778894472363,-0.003442211055276312,-0.003442211055276312,0.18592964824120606,-0.004070351758793889,-0.004070351758793889,0.3987915407854985,0.017192747421999277,0.02492219405183016,0.32727272727272727,0.4120603015075377,0.023589123562675507,0.028087012692846525,0.303030303030303,0.39799331103678925,0.01568947130390108,0.024244701470604646,0.3221476510067114,16.0,-6.0,-6.0,26.0,-13.0,-13.0,35.0,-16.0,-16.0,0.00023878578655268064,8.161456199736662e-05,3.6753614109475774e-05,-0.05244587589658245,-0.052509336303559806,-0.054048405661297316,-1.5538229942321777
62,1,test,1.8218276168479295,-0.015258088026997907,-0.0387805255275504,5.143159502947616,-0.04307475619929413,-0.10948040668162307,6.18314855622129,-0.09506644670576314,-0.2444959498565593,17.455504001024718,-0.26837989185396083,-0.6902308738258256,1.7764793388807594,0.02064314323304295,0.02916625160462427,4.179951385601787,0.048572101724807304,0.06862647436382208,5.909016111012227,0.12073025270082383,0.16985479607277476,13.90356732002877,0.2840711828254676,0.3996583437006471,1.83499499467703,-0.011815577271657052,-0.011637824387551676,4.7456767103716295,-0.030557527426699593,-0.030097821691944304,6.265102786494348,-0.07446486243539852,-0.07333808614865411,16.202852034037107,-0.1925815407812017,-0.1896674641775533,0.4723618090452262,-0.0026381909547738003,-0.0026381909547738003,0.3417085427135679,-0.003291457286432098,-0.003291457286432098,0.2211055276381909,-0.003894472361809065,-0.003894472361809065,0.36612021857923494,0.0037223984157471746,0.007371440475618107,0.3506849315068493,0.36180904522613067,0.006809045226130683,0.014055301465731307,0.33333333333333337,0.3612040133779264,-0.002129319955406883,0.0004936915133315622,0.3422818791946308,14.0,-1.0,-1.0,23.0,-6.0,-6.0,30.0,-5.0,-5.0,7.939224212050348e-05,1.0756085172031357e-05,-1.4661945286191898e-05,-0.06406769404688539,-0.06325458800887951,-0.06368093369008765,-1.8448853492736816
76,1,test,1.58923878767719,0.01439800686585424,0.016176271299721545,5.539632345617634,0.05018733821812038,0.056385859959029005,4.90001755457843,0.0700450220010218,0.0786263581684663,17.080061190244816,0.24415693383213366,0.27406901990151056,1.5826820919861146,-0.03486339679687789,-0.025120026019144426,4.2775191675300395,-0.09422539674831842,-0.06789196221390359,4.867994727281395,-0.1727079314617006,-0.1238329864868426,13.156742506165932,-0.46677819313973146,-0.334683747261737,1.6397154004278789,0.031230810434024647,0.0442533944487844,5.124110626337122,0.09759628260632702,0.1382918576524519,5.1537025619539,0.1584669028177732,0.22309604628075164,16.105320506105937,0.49520907130554015,0.697175144627348,0.46733668341708545,-0.002663316582914521,-0.002663316582914521,0.321608040201005,-0.0033919597989949812,-0.0033919597989949812,0.18592964824120606,-0.004070351758793889,-0.004070351758793889,0.3616438356164383,0.0032307029214998506,0.00387257461937085,0.32417582417582413,0.36180904522613067,0.0034130552511932866,0.004546941720287578,0.29292929292929293,0.36454849498327757,0.005616942395631486,0.00859743825357795,0.325503355704698,13.0,0.0,0.0,21.0,-4.0,-4.0,30.0,-10.0,-10.0,0.000624200243519795,-3.910402963466556e-06,0.0001298225233905623,-0.07543782634422147,-0.06790884125782615,-0.07256027853118763,-1.6423145532608032
