idx,membership,set_split,cut_T,cut_T_rep1_diff,cut_T_rep2_diff,cal_T,cal_T_rep1_diff,cal_T_rep2_diff,ppl_T,ppl_T_rep1_diff,ppl_T_rep2_diff,calppl_T,calppl_T_rep1_diff,calppl_T_rep2_diff,cut_200,cut_200_rep1_diff,cut_200_rep2_diff,cal_200,cal_200_rep1_diff,cal_200_rep2_diff,ppl_200,ppl_200_rep1_diff,ppl_200_rep2_diff,calppl_200,calppl_200_rep1_diff,calppl_200_rep2_diff,cut_300,cut_300_rep1_diff,cut_300_rep2_diff,cal_300,cal_300_rep1_diff,cal_300_rep2_diff,ppl_300,ppl_300_rep1_diff,ppl_300_rep2_diff,calppl_300,calppl_300_rep1_diff,calppl_300_rep2_diff,cb_const1,cb_const1_rep1_diff,cb_const1_rep2_diff,cb_const2,cb_const2_rep1_diff,cb_const2_rep2_diff,cb_const3,cb_const3_rep1_diff,cb_const3_rep2_diff,cbm_T,cbm_T_rep1_diff,cbm_T_rep2_diff,cbpm_T,cbm_200,cbm_200_rep1_diff,cbm_200_rep2_diff,cbpm_200,cbm_300,cbm_300_rep1_diff,cbm_300_rep2_diff,cbpm_300,lz_bins3,lz_bins3_rep1_diff,lz_bins3_rep2_diff,lz_bins4,lz_bins4_rep1_diff,lz_bins4_rep2_diff,lz_bins5,lz_bins5_rep1_diff,lz_bins5_rep2_diff,slope_600,slope_800,slope_1000,apen_600,apen_800,apen_1000,nei_delta
31,1,test,2.0174985687862215,-0.0463493686874088,-0.09393688861231375,6.201940044787274,-0.14248139263166415,-0.28876895388229773,7.519491896966282,-0.3567268753357018,-0.7405978886119522,23.115475090674128,-1.096604838994935,-2.2766527686959996,2.1219082890159413,-0.04498715682144239,-0.051583404264125665,5.11303202172516,-0.1084027875215483,-0.12429735967259248,8.34705088469696,-0.3840847525176727,-0.44186784992658623,20.11337562577581,-0.9255054277534285,-1.064741807052016,2.035036331919896,-0.13135447191084815,-0.14543451638773686,5.601017427302465,-0.3615260694793987,-0.4002784854708361,7.652530151540466,-1.0742004994299919,-1.1979423562698308,21.06200959139578,-2.956515136045848,-3.2970890539536626,0.4371859296482412,-0.002814070351758735,-0.002814070351758735,0.39698492462311563,-0.0030150753768843908,-0.0030150753768843908,0.371859296482412,-0.003140703517587995,-0.003140703517587995,0.3816425120772947,0.002124439788138144,0.0004108405230425216,0.36077481840193704,0.39698492462311563,0.004484924623115671,0.005969949581518308,0.3535353535353535,0.3846153846153846,0.0029487179487178716,0.0039272603090583225,0.3557046979865772,20.0,-9.0,-9.0,27.0,-6.0,-6.0,34.0,-8.0,-8.0,0.00026411940204286064,0.0001751678574720411,8.875927764702143e-05,-0.15264952249767294,-0.15551864571181806,-0.15575692935619756,-1.4714550971984863
16,1,test,0.9962364841720406,-0.08538270471246467,-0.10371123604806542,3.2259086154142267,-0.2764773295451235,-0.33582685958421177,2.7080707585868344,-0.2413806471006259,-0.29593821232648665,8.768991027804987,-0.781613523944884,-0.9582761161048143,1.067111532873213,-0.09283182070010931,-0.10050516527384001,2.8081882444031923,-0.2442942650002875,-0.26448727703642083,2.90697067228679,-0.28278191062582314,-0.30735212861570727,7.649922821807342,-0.7441629226995339,-0.8088213910939661,0.9468267476882277,-0.05268322948677295,-0.05851762485279832,3.021787492622003,-0.16813796644714785,-0.18675837718978228,2.5775175548432974,-0.13943257978185697,-0.15533067384240118,8.226119855882864,-0.4449975950484788,-0.4957361931140465,0.33668341708542715,-0.0033165829145728187,-0.0033165829145728187,0.16080402010050254,-0.004195979899497493,-0.004195979899497493,0.14070351758793975,-0.004296482412060265,-0.004296482412060265,0.31563421828908556,0.01179941002949858,0.014749262536873142,0.26331360946745563,0.31658291457286436,0.022613065326633208,0.025125628140703515,0.2525252525252525,0.31438127090301005,0.00836120401337792,0.011148272017837302,0.24832214765100669,15.0,-6.0,-6.0,22.0,-13.0,-13.0,26.0,-15.0,-15.0,0.0005330795106887875,0.0001330887332649518,0.00013957175979246016,-0.22385081252701067,-0.22057413541850934,-0.22189405509861615,-2.3399088382720947
61,1,test,1.2340013193415662,-0.04439636615154652,-0.08574540847892576,5.188414638140676,-0.1866665395008198,-0.3605204674682101,3.434946392665324,-0.15593499945823952,-0.30752700015861256,14.442388241888292,-0.655635793176689,-1.2930112506668952,1.4080921012483993,-0.09605069476672279,-0.1286411976533306,4.203260003726565,-0.2867184918409631,-0.38400357508456917,4.088148185928251,-0.41214612027016084,-0.561229124524651,12.203427420681345,-1.2302869261795841,-1.6753108194765698,1.3129178123645817,-0.14660097537220906,-0.19670445584068919,4.745486068787645,-0.5298830435140092,-0.7109799608699614,3.7170034235424443,-0.5868845227481594,-0.8080178035238954,13.434952133285943,-2.1212693593306966,-2.920546277797211,0.44723618090452266,-0.0027638190954772934,-0.0027638190954772934,0.29145728643216084,-0.0035427135678391952,-0.0035427135678391952,0.18090452261306533,-0.0040954773869347205,-0.0040954773869347205,0.3577235772357723,0.014015864109926612,0.015592589943494661,0.3152173913043478,0.3668341708542714,0.023475774864296417,0.027936007248261396,0.31313131313131315,0.36789297658862874,0.02398646573720975,0.029739472695414104,0.3221476510067114,19.0,-10.0,-10.0,31.0,-18.0,-18.0,37.0,-20.0,-20.0,0.00030993012263234426,0.00023496209533660267,0.00017114782353235743,-0.1154361284515133,-0.12376094384597902,-0.11867746481884733,-1.2139791250228882
69,1,test,1.2542980299314674,-0.05147920669445205,-0.07390837777378367,4.483184047576829,-0.1839999367989824,-0.2641675680825335,3.5053768408610364,-0.18517957402178542,-0.26889097454510447,12.529119203473606,-0.6618794675432138,-0.9610855624829977,1.2310885736204265,-0.08003598219783536,-0.11041235048593045,3.327266415190342,-0.21631346539955487,-0.298411758070082,3.424955824313756,-0.2853880314481221,-0.3998240793853802,9.256637363010151,-0.7713190039138436,-1.0806056199604868,1.2498628403255287,-0.0667436021779535,-0.09130122649553907,4.120426946128116,-0.2200338533339128,-0.3009930543808981,3.4898642559880226,-0.2408751362887398,-0.33362745971586216,11.505046997762712,-0.7940938558969446,-1.0998707463160287,0.3467336683417085,-0.003266331658291488,-0.003266331658291488,0.24120603015075381,-0.0037939698492461815,-0.0037939698492461815,0.16080402010050254,-0.004195979899497493,-0.004195979899497493,0.3222222222222222,0.00044691015564801706,0.001596611274030546,0.3036211699164345,0.31658291457286436,0.005805972216974653,0.007734834439308447,0.2828282828282829,0.31438127090301005,-0.0011446055577578607,-0.00041294489231813447,0.2919463087248322,17.0,-8.0,-8.0,27.0,-16.0,-16.0,32.0,-18.0,-18.0,0.0002575260027537481,-4.3203192446871664e-05,3.093058811418388e-05,-0.13107580445792344,-0.12158646602206513,-0.12689218694554416,-2.2255139350891113
26,1,test,1.062036555016465,-0.08672473304488593,-0.11235052659705524,3.5979197578108812,-0.29380215684594013,-0.3806160696961465,2.8922552323441395,-0.2620280080607671,-0.3439036022561237,9.798252419778105,-0.8876867211854549,-1.165061183153398,1.1782438858156452,-0.07085457534792194,-0.08512754453182647,3.0603737293912863,-0.18403785804655026,-0.22111050527747134,3.2486641653971446,-0.23853353033690583,-0.2886630934206762,8.438088741291285,-0.6195676112646904,-0.7497742686251332,1.1172367557499208,-0.06556579327435008,-0.08510911118080067,3.56564922047847,-0.20925253172664915,-0.27162482291744894,3.0563969526443255,-0.2071105858246427,-0.27151766518897746,9.754458359503166,-0.6609912313552417,-0.8665457399648204,0.36180904522613067,-0.0031909547738693256,-0.0031909547738693256,0.23115577889447236,-0.003844221105527623,-0.003844221105527623,0.16080402010050254,-0.004195979899497493,-0.004195979899497493,0.32930513595166166,0.00954646325181252,0.01473227163005364,0.2727272727272727,0.3517587939698492,0.013412929308195043,0.01286063036383922,0.2727272727272727,0.3411371237458194,0.015594552794233385,0.019668825636809384,0.2785234899328859,18.0,-9.0,-9.0,26.0,-11.0,-11.0,31.0,-13.0,-13.0,0.00033311334234677333,0.00010287660301789866,0.00018805450363796938,-0.19839459191547082,-0.20144656814923767,-0.20564988170715548,-2.41030216217041
22,1,test,0.8820640581613073,-0.13240143519153436,-0.27397827879289993,3.6601536619029944,-0.5494040862153393,-1.136881829757454,2.415881082789083,-0.34200781061056906,-0.76145246147414,10.024777577180867,-1.4191725972999318,-3.1596718962104493,1.0953157775641433,-0.20878882287671074,-0.27523106589304613,2.6715018964979107,-0.5092410314066118,-0.6712952826659664,2.9901267492694714,-0.6942618670902649,-0.9473765554970774,7.292992071388955,-1.6933216270494267,-2.3106745256026286,1.002596630185416,-0.14999454234106557,-0.2007128555362414,3.1008143201610805,-0.46390064641566653,-0.6207614088749733,2.7253493730360128,-0.44103757084813333,-0.6057736314402282,8.42891558670932,-1.364033724272577,-1.873526695175963,0.36180904522613067,-0.0031909547738693256,0.0018090452261306789,0.22613065326633164,-0.003869346733668344,-0.003869346733668344,0.1306532663316583,-0.004346733668341707,-0.004346733668341707,0.3047404063205418,0.019509290198783003,0.016372859888479252,0.26696832579185525,0.3467336683417085,0.005881538015893972,0.019521648308319484,0.31313131313131315,0.32441471571906355,0.008888839258295644,0.01184519402829598,0.28859060402684567,11.0,-1.0,-1.0,19.0,-7.0,-7.0,26.0,-10.0,-10.0,0.00020306386635658043,0.000420349332527627,0.00016941388333430288,-0.23899319402346464,-0.2578548562879357,-0.25732703086799447,-1.0487663745880127
18,1,test,1.5664620911695184,-0.0604997270946519,-0.06430698458716178,4.493573735982633,-0.17355031203064453,-0.18447186089601875,4.789672757165451,-0.2987189943629325,-0.3181287374830388,13.73971820121184,-0.8569092320046163,-0.9125882761374768,1.5277424599467964,-0.00638709916916036,-0.006049820067947742,3.4721419544245373,-0.01451613447536415,-0.013749591063517475,4.607762862539182,-0.029524425697668555,-0.027960629341766463,10.472188323952688,-0.06710096749470118,-0.06354688486764992,1.3954445257618526,-0.029427789551473404,-0.03563553235248129,3.949371299325998,-0.08328619684379301,-0.10085528024287171,4.036768621499085,-0.12055836037315881,-0.1464462465511085,11.424816853299298,-0.3412029067164877,-0.41447050910691097,0.46733668341708545,0.0023366834170854833,0.0023366834170854833,0.29648241206030146,0.001482412060301419,0.001482412060301419,0.1959798994974874,0.0009798994974874464,0.0009798994974874464,0.3571428571428571,0.01446769790718827,0.013056835637480724,0.3171355498721228,0.39698492462311563,0.013526278006574244,0.016350533972030457,0.303030303030303,0.36454849498327757,-0.002730303013383506,-0.0014136852169448488,0.2986577181208053,17.0,0.0,0.0,25.0,0.0,0.0,30.0,0.0,0.0,0.0004283423307671207,-0.0002141980962903108,0.00013228316110225035,-0.10706652309457088,-0.11523895131762618,-0.11354619449668224,-2.023632287979126
66,1,test,1.346024163909597,-0.05038258506579529,-0.07355882976298522,4.240571702228465,-0.15872743613648765,-0.23174286190816584,3.842119486379915,-0.19853527696257212,-0.29327610813139193,12.104376434966811,-0.6254739698997849,-0.9239495088033234,1.5027461265274076,-0.10975354688791739,-0.13815253399527205,3.415332105744108,-0.2494398792907213,-0.3139830318074366,4.494013269742221,-0.5213189950514128,-0.6657910720780951,10.213666522141413,-1.1848158978441194,-1.5131615274502153,1.3934445941662128,-0.029129732720690527,-0.036845543633470035,4.019551713940999,-0.08402807515583799,-0.10628522201962465,4.028703427994533,-0.11908103308898532,-0.15120833841613468,11.621259888445769,-0.34350298006438074,-0.4361778992773111,0.42211055276381915,-0.0028894472361808976,-0.0028894472361808976,0.2864321608040201,-0.003567839195979916,-0.003567839195979916,0.18090452261306533,-0.0040954773869347205,-0.0040954773869347205,0.3605633802816901,0.017384758622055796,0.02625252984180737,0.327683615819209,0.35678391959798994,0.010919257943854621,0.01287740874657095,0.3282828282828283,0.36454849498327757,0.018972535050055583,0.024170296985502215,0.325503355704698,13.0,-1.0,-1.0,20.0,-6.0,-6.0,27.0,-8.0,-8.0,0.0005133888956820401,9.228251256374071e-05,0.0001513144515114048,-0.0967366504342193,-0.1015947963127708,-0.09944463113545954,-2.341888427734375
57,1,test,1.220307685104827,-0.0765761886889138,-0.18571052144493816,6.127781601547894,-0.3845277432013203,-0.9325463818794208,3.3882300811834085,-0.2696503913215471,-0.691448501463162,17.014015568953244,-1.3540508897544363,-3.472112367562328,1.3837960187614926,-0.3043792709083939,-0.4026990537792321,4.942128638433902,-1.0870688246728353,-1.4382109063544002,3.9900191036060177,-1.4195816358777082,-1.9784775121824398,14.250068227164348,-5.069934413848959,-7.065991114937283,1.3228316702629717,-0.06986634204738618,-0.08932550651257931,5.8360220746895815,-0.3082338619737621,-0.39408311696726095,3.7540365344761275,-0.2716602591254409,-0.35076410640607136,16.561925887394683,-1.198501143200474,-1.5474887047326646,0.31155778894472363,-0.003442211055276312,-0.003442211055276312,0.26633165829145733,-0.0036683417085426884,0.001331658291457316,0.2211055276381909,-0.003894472361809065,-0.003894472361809065,0.26824034334763946,-0.0018561196748685393,-0.007419480699281333,0.24731182795698925,0.2814070351758794,0.005717812118235299,0.009286834841989555,0.24242424242424243,0.28428093645484953,0.002144041630141702,0.001744785175650465,0.25503355704697983,18.0,-9.0,-9.0,29.0,-20.0,-20.0,36.0,-27.0,-27.0,0.00028694343497568655,0.00033010761202120775,3.939517829836704e-06,-0.18956306535368128,-0.1933267161441341,-0.1939062237134479,-0.7117351293563843
32,1,test,1.1741592934235243,-0.07253667872020131,-0.04060342811767281,4.235360308420569,-0.2616501625264407,-0.14646236571017734,3.235421759788446,-0.24340803768835428,-0.13407270121993875,11.670628490665464,-0.8780075645187075,-0.4836193865433511,1.2274143599311058,-0.09155541310050941,-0.06967613556101915,3.896553523590812,-0.29065210508098227,-0.22119408114609262,3.412394894639506,-0.3271718948555362,-0.24624145342862214,10.832999665522241,-1.0386409360493207,-0.7817188997734039,1.1696551010972962,-0.08853334110358269,-0.08698821002041424,4.279225979624255,-0.3239024674521316,-0.31824954885517354,3.2208815684173966,-0.29815919542707947,-0.2927260147290598,11.783713055185599,-1.0908263247332162,-1.070948834374608,0.2562814070351759,-0.00371859296482413,-0.00371859296482413,0.2211055276381909,-0.003894472361809065,-0.003894472361809065,0.18592964824120606,0.0009296482412060048,-0.004070351758793889,0.24172185430463577,-0.0025025681376084075,-3.63874536060127e-05,0.2325581395348837,0.24623115577889443,-0.0037688442211055717,-0.003352870843401745,0.23232323232323238,0.24080267558528423,-0.004197324414715764,-0.0033704653692108177,0.23154362416107388,17.0,-5.0,-5.0,20.0,-4.0,-4.0,28.0,-9.0,-9.0,0.00014232168467317704,-4.3044487517891965e-05,3.182060613807852e-05,-0.24966230647292065,-0.2465751212238434,-0.2520314886152688,-0.8620166778564453
