feature,arxiv
apen_1000,1.2
apen_600,0.8
apen_800,0.6
cal_200,15.2
cal_200_rep1_diff,0.2
cal_200_rep2_diff,0.8
cal_300,9.0
cal_300_rep1_diff,1.2
cal_300_rep2_diff,1.2
cal_T,9.0
cal_T_rep1_diff,12.8
cal_T_rep2_diff,9.6
calppl_200,20.8
calppl_200_rep1_diff,0.2
calppl_200_rep2_diff,0.4
calppl_300,16.400000000000002
calppl_300_rep1_diff,0.8
calppl_300_rep2_diff,0.8
calppl_T,8.0
calppl_T_rep1_diff,7.199999999999999
calppl_T_rep2_diff,7.6
cb_const1,0.2
cb_const1_rep1_diff,0.0
cb_const1_rep2_diff,1.0
cb_const2,0.4
cb_const2_rep1_diff,0.6
cb_const2_rep2_diff,0.8
cb_const3,0.0
cb_const3_rep1_diff,0.6
cb_const3_rep2_diff,0.0
cbm_200,0.0
cbm_200_rep1_diff,0.2
cbm_200_rep2_diff,0.2
cbm_300,0.2
cbm_300_rep1_diff,0.8
cbm_300_rep2_diff,0.8
cbm_T,0.4
cbm_T_rep1_diff,0.2
cbm_T_rep2_diff,0.2
cbpm_200,0.0
cbpm_300,0.6
cbpm_T,0.2
cut_200,21.4
cut_200_rep1_diff,0.6
cut_200_rep2_diff,0.8
cut_300,13.200000000000001
cut_300_rep1_diff,1.6
cut_300_rep2_diff,1.6
cut_T,5.6000000000000005
cut_T_rep1_diff,8.0
cut_T_rep2_diff,7.8
lz_bins3,1.4000000000000001
lz_bins3_rep1_diff,0.0
lz_bins3_rep2_diff,0.0
lz_bins4,3.4000000000000004
lz_bins4_rep1_diff,0.0
lz_bins4_rep2_diff,0.4
lz_bins5,3.2
lz_bins5_rep1_diff,0.0
lz_bins5_rep2_diff,0.0
ppl_200,21.4
ppl_200_rep1_diff,0.2
ppl_200_rep2_diff,0.2
ppl_300,13.200000000000001
ppl_300_rep1_diff,0.4
ppl_300_rep2_diff,0.4
ppl_T,5.6000000000000005
ppl_T_rep1_diff,6.2
ppl_T_rep2_diff,6.0
slope_1000,0.4
slope_600,0.6
slope_800,1.4000000000000001
